Question,A,B,C,D,Correct Option,Subject,Topic,Category
"Which logical fallacy is used in the text?
Thanks to her enduring popularity with employees, Lucy Shepherd is the best-liked CEO in our company's history.",circular reasoning: an argument that supports a claim with the claim itself,false dichotomy: an argument that presents only two choices when more options exist,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
When I was in Seattle for a week last January, it didn't rain even once. Seattle's reputation for being rainy is obviously false.",guilt by association: a negative association intended to discredit someone or something,"false causation: the assumption that because two things happened together, one caused the other",hasty generalization: a broad claim based on too few observations,,C,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
I pulled Billy off the project because his work was sloppy. While we're at it, let's pull Maggie off the project, too. I haven't reviewed her work, but she's friends with Billy, so we cannot rely on the quality of her work either.",false dichotomy: an argument that presents only two choices when more options exist,appeal to nature: the assumption that natural things are always good,guilt by association: a negative association intended to discredit someone or something,,C,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Hazel never lies. She told me herself, so it must be true.",circular reasoning: an argument that supports a claim with the claim itself,red herring: the use of a completely unrelated topic or idea,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Marcy has no school spirit—she never comes to any of our football games.",red herring: the use of a completely unrelated topic or idea,false dichotomy: an argument that presents only two choices when more options exist,,,B,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Mr. Livingston can quit smoking because he's capable of stopping.",circular reasoning: an argument that supports a claim with the claim itself,guilt by association: a negative association intended to discredit someone or something,bandwagon fallacy: the assumption that the popular choice is automatically correct,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Why should I listen to your thoughts about lowering my cholesterol? You eat terribly, so what do you know?","ad hominem: an attack against the person making the argument, rather than the argument itself","false causation: the assumption that because two things happened together, one caused the other",hasty generalization: a broad claim based on too few observations,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
We need to raise taxes to improve our public schools. If we don't raise taxes, we are condemning our schools to failure.",appeal to nature: the assumption that natural things are always good,bandwagon fallacy: the assumption that the popular choice is automatically correct,false dichotomy: an argument that presents only two choices when more options exist,,C,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
How do I know that Lacey is the most intelligent person in our geometry class? I know because she's so smart.",ad hominem: a personal attack against one's opponent,circular reasoning: an argument that supports a claim with the claim itself,,,B,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Tim, the company you work for just filed for bankruptcy! How can I trust you with our money?",bandwagon fallacy: the assumption that the popular choice is automatically correct,guilt by association: a negative association intended to discredit someone or something,,,B,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Dillon, the company you work for just filed for bankruptcy! How can I trust you with our money?",circular reasoning: an argument that supports a claim with the claim itself,guilt by association: a negative association intended to discredit someone or something,,,B,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Sofia wants to play a guitar solo on our next recording. Her father is a horrible musician, though, so I doubt that Sofia's any good either.",circular reasoning: an argument that supports a claim with the claim itself,guilt by association: a negative association intended to discredit someone or something,,,B,Language science,Writing-strategies,Developing and supporting arguments
Which of the following contains a vague pronoun reference?,Steven's brother Jim wondered whether he ran fast enough to qualify for the Boston Marathon.,Steven's brother Jim wondered whether Steven ran fast enough to qualify for the Boston Marathon.,,,A,Language science,Writing-strategies,Pronouns
"Which logical fallacy is used in the text?
The school requires us to be on time. If you can't even obey this rule, then what's to stop you from doing something worse, like stealing?",slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,appeal to nature: the assumption that natural things are always good,bandwagon fallacy: the assumption that the popular choice is automatically correct,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Right after Raymond moved into the apartment, our washing machine broke. He'd better tell us how he broke it.","false causation: the assumption that because two things happened together, one caused the other",appeal to nature: the assumption that natural things are always good,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Complete the sentence so that it uses personification.
The ancient car () whenever someone tries to use it.",throws a fit,produces thick smoke,,,A,Language science,Writing-strategies,Creative techniques
"Which logical fallacy is used in the text?
The museum's new gemstones and precious minerals exhibit needs more security guards. If you don't agree, then you must be planning to steal a piece of the exhibit.",false dichotomy: an argument that presents only two choices when more options exist,ad hominem: a personal attack against one's opponent,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
When Carson arrived at Heathrow Airport, a British man helped him retrieve his luggage from baggage claim. British people are all so nice!",guilt by association: a negative association intended to discredit someone or something,hasty generalization: a broad claim based on too few observations,appeal to nature: the assumption that natural things are always good,,B,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
How could I possibly have time to wash the dishes when so much carbon dioxide is being spewed into the atmosphere on a daily basis?",red herring: the use of a completely unrelated topic or idea,false dichotomy: an argument that presents only two choices when more options exist,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Is there a sentence fragment?
On November 3, 1957, the Soviet Union sent the first animal into space—a dog named Laika. Which had been found as a stray living on the streets of Moscow.",no,yes,,,B,Language science,Writing-strategies,"Sentences, fragments, and run-ons"
"Complete the sentence so that it uses personification.
Tiny wildflowers () poked through the cracks in the pavement.",slowly,shyly,,,B,Language science,Writing-strategies,Creative techniques
"Which logical fallacy is used in the text?
Some people claim that William Shakespeare could have learned to write plays without formal schooling. I disagree. No one is born writing plays like that.",straw man: a misrepresentation of an opponent's position that makes it easier to argue against,appeal to nature: the assumption that natural things are always good,guilt by association: a negative association intended to discredit someone or something,,A,Language science,Writing-strategies,Developing and supporting arguments
"Is there a sentence fragment?
When it comes to seafood, Americans aren't always eating what they think they are. According to an FDA report based on DNA analysis of fish that are frequently misidentified.",no,yes,,,B,Language science,Writing-strategies,"Sentences, fragments, and run-ons"
"Which logical fallacy is used in the text?
Senator King announced today that she plans to cut funding to early childhood education programs. The last thing we need is a government official who hates children!",bandwagon fallacy: the assumption that the popular choice is automatically correct,straw man: a misrepresentation of an opponent's position that makes it easier to argue against,,,B,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
If the government is allowed to start blocking websites, then soon they'll start banning books, and all we'll have to read is propaganda.",slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,appeal to nature: the assumption that natural things are always good,circular reasoning: an argument that supports a claim with the claim itself,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
How do I know that Edna is the most intelligent person in our geometry class? I know because she's so smart.",red herring: the use of a completely unrelated topic or idea,circular reasoning: an argument that supports a claim with the claim itself,,,B,Language science,Writing-strategies,Developing and supporting arguments
"Complete the sentence so that it uses personification.
The tree branch () under the weight of all the children.",broke,groaned,,,B,Language science,Writing-strategies,Creative techniques
"Which logical fallacy is used in the text?
The number of off-leash dogs I've seen in Silvergrove is completely unacceptable. Let's make our streets safe again by addressing this dog problem, before our city becomes a haven for criminals.",false dichotomy: an argument that presents only two choices when more options exist,red herring: the use of a completely unrelated topic or idea,,,B,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Don't try to tell me that you only watch educational programming, Marie! I know for a fact that your sister only watches reality television.",hasty generalization: a very broad claim based on very little evidence,guilt by association: a negative association intended to discredit someone or something,,,B,Language science,Writing-strategies,Developing and supporting arguments
"Complete the sentence so that it uses personification.
Fine rays of sunlight () through the tangle of leaves overhead.",appeared,peered,,,B,Language science,Writing-strategies,Creative techniques
"Is this a run-on sentence?
In the 1970s, Asian carp were imported to clean ponds on aquaculture farms in the South; they are believed to have escaped and spread, negatively affecting fish populations as far north as the Great Lakes.",yes,no,,,B,Language science,Writing-strategies,"Sentences, fragments, and run-ons"
"Is this a sentence fragment?
In the early 1800s, yellow fever, a viral disease spread by mosquitoes, not by unsanitary conditions as was believed at the time.",no,yes,,,B,Language science,Writing-strategies,"Sentences, fragments, and run-ons"
"Which logical fallacy is used in the text?
Michael's definitely voting for the Conservative Party in the next election because he said there was no way he was voting for the Labour Party.",circular reasoning: an argument that supports a claim with the claim itself,appeal to nature: the assumption that natural things are always good,false dichotomy: an argument that presents only two choices when more options exist,,C,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Norma wants to play a guitar solo on our next recording. Her father is a horrible musician, though, so I doubt that Norma's any good either.",guilt by association: a negative association intended to discredit someone or something,straw man: a misrepresentation of an opponent's position that makes it easier to argue against,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Is this a sentence fragment?
Derailed by miscommunication and a lack of funding, Evan and Jon's new business venture.",yes,no,,,A,Language science,Writing-strategies,"Sentences, fragments, and run-ons"
"Which logical fallacy is used in the text?
If Mom didn't turn off the air conditioner, then clearly she must be too hot.",false dichotomy: an argument that presents only two choices when more options exist,appeal to nature: the assumption that natural things are always good,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Mr. Livingston argues that we need to do more to prevent workplace injuries and fatalities. I doubt that someone so socially awkward would know a thing about office safety.",bandwagon fallacy: the assumption that the popular choice is automatically correct,ad hominem: a personal attack against one's opponent,,,B,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
That teenager just ran a stop sign! That settles it: teenagers are bad drivers.",appeal to nature: the assumption that natural things are always good,"ad hominem: an attack against the person making the argument, rather than the argument itself",hasty generalization: a broad claim based on too few observations,,C,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Nuclear weapons are a threat to the stability and safety of the world. Like nuclear weapons, nuclear power plants rely on fission. Therefore, nuclear power plants are also a threat to the stability and safety of the world.",circular reasoning: an argument that supports a claim with the claim itself,guilt by association: a negative association intended to discredit someone or something,straw man: a misrepresentation of an opponent's position that makes it easier to argue against,,B,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
In this election, we've seen the highest voter turnout ever recorded. If you have any doubts about Brad Lloyd's qualifications, just look at how many people have come out to vote for him.",bandwagon fallacy: the assumption that the popular choice is automatically correct,red herring: the use of a completely unrelated topic or idea,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Complete the sentence so that it uses personification.
At night, when the machines were () the factory seemed to be an entirely different place.",off,asleep,,,B,Language science,Writing-strategies,Creative techniques
"Which logical fallacy is used in the text?
I've heard that fast food can lead to health problems, but I don't believe it. My grandpa ate fast food every day of his adult life, and he lived to be ninety-one.",appeal to nature: the assumption that natural things are always good,slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,hasty generalization: a broad claim based on too few observations,,C,Language science,Writing-strategies,Developing and supporting arguments
"Read the following excerpt from a student essay. How can the writer best improve his or her narrative voice?
During our last game, our pitcher Andy suddenly grabbed his wrist after throwing a fastball. Coach Becker asked him if he was OK, and Andy said that it hurt. None of us knew what was wrong with him and he was whisked off to the doctor, who ultimately diagnosed a forearm strain and wrist tendinitis. After three weeks of rehabilitation, Andy finally returned. Coach Becker said he was glad Andy was back, and Andy said he was happy and relieved.",by removing biased language,by adding dialogue,by using active voice,,B,Language science,Writing-strategies,Editing and revising
"Which logical fallacy is used in the text?
Don't ever get a ride from Ava. Her brother has been driving for only six months, and he's already gotten three speeding tickets.",guilt by association: a negative association intended to discredit someone or something,appeal to nature: the assumption that natural things are always good,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Complete the sentence so that it uses personification.
Maura finally found her phone () under the bed.",ringing,hiding,,,B,Language science,Writing-strategies,Creative techniques
"Complete the sentence so that it uses personification.
In the middle of the grueling hike, I encountered a bubbling stream that () me to stop for a drink.",enabled,invited,,,B,Language science,Writing-strategies,Creative techniques
"Which logical fallacy is used in the text?
I won't even bother to respond to Isaiah's comment on my op-ed. His profile picture is a duck wearing a top hat—he's clearly incapable of thoughtful debate.","ad hominem: an attack against the person making the argument, rather than the argument itself",circular reasoning: an argument that supports a claim with the claim itself,bandwagon fallacy: the assumption that the popular choice is automatically correct,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Did you really vote for Porter as class treasurer? Didn't you hear that his uncle was imprisoned for embezzling $1.5 million?",guilt by association: a negative association intended to discredit someone or something,circular reasoning: an argument that supports a claim with the claim itself,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Animals don't shampoo their fur, so it can't be good for you to shampoo your hair.",appeal to nature: the assumption that natural things are always good,bandwagon fallacy: the assumption that the popular choice is automatically correct,guilt by association: a negative association intended to discredit someone or something,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
In this election, we've seen the highest voter turnout ever recorded. If you have any doubts about Tommy Lynch's qualifications, just look at how many people have come out to vote for him.",bandwagon fallacy: the assumption that the popular choice is automatically correct,hasty generalization: a very broad claim based on very little evidence,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
President Ballard is an effective communicator, because he has a natural talent for speaking with people.",circular reasoning: an argument that supports a claim with the claim itself,false dichotomy: an argument that presents only two choices when more options exist,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
I don't trust Professor Chang's findings. Another researcher at her university was caught falsifying data. So, it's likely Professor Chang has, too.",straw man: a misrepresentation of an opponent's position that makes it easier to argue against,guilt by association: a negative association intended to discredit someone or something,bandwagon fallacy: the assumption that the popular choice is automatically correct,,B,Language science,Writing-strategies,Developing and supporting arguments
"Complete the sentence so that it uses personification.
The scenery () the art students, who admired it in appreciative silence.",was inspiring to,spoke to,,,B,Language science,Writing-strategies,Creative techniques
"Which logical fallacy is used in the text?
The school board voted today to adopt a program to teach teens about the dangers of drugs and alcohol. They will not be satisfied until they control every aspect of students' lives.",straw man: a misrepresentation of an opponent's position that makes it easier to argue against,circular reasoning: an argument that supports a claim with the claim itself,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Is there a sentence fragment?
During the Precambrian period, most of Earth's life forms lived in oceans. Meanwhile, land masses were mostly devoid of life.",yes,no,,,B,Language science,Writing-strategies,"Sentences, fragments, and run-ons"
Which text uses the word literally in its traditional sense?,Cara adores the classic Renaissance style of the Rialto Bridge in Venice. She was surprised to learn that the bridge remains functional even though it is literally a million years old.,Cara adores the classic Renaissance style of the Rialto Bridge in Venice. She was surprised to learn that the bridge remains functional even though it is literally hundreds of years old.,,,B,Language science,Writing-strategies,Word usage and nuance
"Which logical fallacy is used in the text?
Senator Bowen announced today that she plans to cut funding to early childhood education programs. The last thing we need is a government official who hates children!",bandwagon fallacy: the assumption that the popular choice is automatically correct,straw man: a misrepresentation of an opponent's position that makes it easier to argue against,,,B,Language science,Writing-strategies,Developing and supporting arguments
"Complete the sentence so that it uses personification.
The giant boulder () budge, no matter how hard we pushed.",would not,refused to,,,B,Language science,Writing-strategies,Creative techniques
"Which logical fallacy is used in the text?
If you don't do tonight's homework, it'll become a habit, and eventually you'll end up at a dead-end job.",guilt by association: a negative association intended to discredit someone or something,slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,bandwagon fallacy: the assumption that the popular choice is automatically correct,,B,Language science,Writing-strategies,Developing and supporting arguments
Which online professional profile is more formal?,Resourceful leader with exceptional brand and product development skills,Go-getter who will blow you away with new brand and product ideas,,,A,Language science,Writing-strategies,"Audience, purpose, and tone"
"Is this a run-on sentence?
Overcome with joy, Mrs. Cohen told her husband the exciting news about her promotion.",no,yes,,,A,Language science,Writing-strategies,"Sentences, fragments, and run-ons"
"Which logical fallacy is used in the text?
It's true that pasteurization kills harmful bacteria in milk. But pasteurization is a process that was invented by humans. Instead, we should drink milk raw, pure, and unchanged. It's better for us.",bandwagon fallacy: the assumption that the popular choice is automatically correct,appeal to nature: the assumption that natural things are always good,circular reasoning: an argument that supports a claim with the claim itself,,B,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Mayor Kelley wants to create more bicycle lanes in Greenwood. However, many citizens of Greenwood live far from work. It would not be realistic to force us to give up our cars and bike everywhere.",straw man: a misrepresentation of an opponent's position that makes it easier to argue against,appeal to nature: the assumption that natural things are always good,circular reasoning: an argument that supports a claim with the claim itself,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Last year, the city of Lanberry allocated more money to public parks. This year, however, littering increased, so the increase in park funding must have been responsible.","false causation: the assumption that because two things happened together, one caused the other",appeal to nature: the assumption that natural things are always good,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
You may be impressed by Senator Holland's work with low-income communities, but the fact remains that he graduated from an elite university. He couldn't possibly empathize with low-income constituents.",appeal to nature: the assumption that natural things are always good,guilt by association: a negative association intended to discredit someone or something,hasty generalization: a broad claim based on too few observations,,B,Language science,Writing-strategies,Developing and supporting arguments
"Read the following text from a student essay. How can the writer best improve his or her grammar and mechanics?
When I'm asked to name my favorite teacher, I immediately think of Mr. Sweeney. In fifth grade, Mr. Sweeney taught us all about architecture he had the class start by learning to measure things very accurately. We studied environmentally friendly building methods, and we designed and built our own homes of the future. Mr. Sweeney was always fun and interesting, he believed that we could do more than we thought we could do. He helped me break boundaries in my life, he was a positive influence on me and will always be one of the most inspirational people in my life.",by using correct verb tenses,by fixing run-on sentences,,,B,Language science,Writing-strategies,Editing and revising
"Which logical fallacy is used in the text?
If you have any doubts that Nick Hardin is the ideal candidate, just look at how many people have come out to vote for him.",bandwagon fallacy: the assumption that the popular choice is automatically correct,straw man: a misrepresentation of an opponent's position that makes it easier to argue against,guilt by association: a negative association intended to discredit someone or something,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
I don't trust Professor Silva's findings. Another researcher at her university was caught falsifying data. So, it's likely Professor Silva has, too.",guilt by association: a negative association intended to discredit someone or something,false dichotomy: an argument that presents only two choices when more options exist,appeal to nature: the assumption that natural things are always good,,A,Language science,Writing-strategies,Developing and supporting arguments
"Is this a run-on sentence?
Located just south of Dover, Tristan's Restaurant offers an eclectic menu in a scenic country setting.",yes,no,,,B,Language science,Writing-strategies,"Sentences, fragments, and run-ons"
"Which logical fallacy is used in the text?
Edna never lies. She told me herself, so it must be true.",circular reasoning: an argument that supports a claim with the claim itself,straw man: a misrepresentation of an opponent's position that makes it easier to argue against,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Complete the sentence so that it uses personification.
The wind () dispersed the leaves that Zack had spent so long raking.",completely,carelessly,,,B,Language science,Writing-strategies,Creative techniques
"Which logical fallacy is used in the text?
The thing that makes Santiago stand out as a remarkable cellist is that he's a marvelous musician who plays the cello splendidly.",slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,circular reasoning: an argument that supports a claim with the claim itself,"false causation: the assumption that because two things happened together, one caused the other",,B,Language science,Writing-strategies,Developing and supporting arguments
"Is this a sentence fragment?
Whereas the Spirit and Opportunity space rovers were solar powered, the Mars rover known as Curiosity is nuclear powered.",yes,no,,,B,Language science,Writing-strategies,"Sentences, fragments, and run-ons"
Which memo to a manager is more formal?,Please find attached my quarterly report.,I've attached that report that I do every quarter.,,,A,Language science,Writing-strategies,"Audience, purpose, and tone"
"Complete the sentence so that it uses personification.
""I can't believe I tripped,"" Darrell remarked. ""The curb must have ()"".",jumped out in front of me,had an uneven surface,,,A,Language science,Writing-strategies,Creative techniques
"Which logical fallacy is used in the text?
Mr. Silva argues that we need to do more to prevent workplace injuries and fatalities. I doubt that someone so socially awkward would know a thing about office safety.",ad hominem: a personal attack against one's opponent,false dichotomy: an argument that presents only two choices when more options exist,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
All of my friends are coming to my birthday party. If Tisha doesn't, she might as well tell me that she doesn't like me.",red herring: the use of a completely unrelated topic or idea,false dichotomy: an argument that presents only two choices when more options exist,,,B,Language science,Writing-strategies,Developing and supporting arguments
"Read the following excerpt from a student essay. How can the writer best improve his or her word choice?
Just about every channel on television today offers some kind of reality TV show. These reality TV shows can often be entertaining and addictive to watch, but they are hardly ever really showing ""reality."" Participants on reality TV shows often follow a script, and the reality TV shows are often based around artificial scenarios that create conflict. In addition, when people are being filmed, they often act differently from the way they would if they weren't being observed.",by fixing misused words,by reducing repetitive language,by replacing vague language,,B,Language science,Writing-strategies,Editing and revising
"Complete the sentence so that it uses personification.
Over millions of years, the glacier () the rock to yield, and a canyon was formed.",persuaded,caused,,,A,Language science,Writing-strategies,Creative techniques
"Is this a run-on sentence?
The honey mushroom, a fungus spreading over more than two thousand acres across eastern Oregon's Malheur National Forest, is thought to be the largest living organism on Earth.",yes,no,,,B,Language science,Writing-strategies,"Sentences, fragments, and run-ons"
"Which logical fallacy is used in the text?
I used to love this TV show, but then I found out that Philip likes it, too. So I changed my opinion—if someone like Philip likes a show, it can't be as good as I thought!",bandwagon fallacy: the assumption that the popular choice is automatically correct,circular reasoning: an argument that supports a claim with the claim itself,guilt by association: a negative association intended to discredit someone or something,,C,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Mrs. Hatfield, you point out that childhood obesity rates have skyrocketed, but are you aware that rainforests provide critical habitats for some of the world's rarest plants and animals?",straw man: a misrepresentation of an opponent's position that makes it easier to argue against,red herring: the use of a completely unrelated topic or idea,,,B,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
On my walk to work this morning, a woman on her bike nearly ran me off the sidewalk. I hadn't realized that cyclists were so aggressive and rude!",hasty generalization: a very broad claim based on very little evidence,guilt by association: a negative association intended to discredit someone or something,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Complete the sentence so that it uses personification.
Despite centuries of decay, the ancient structure still stands tall and ().",proud,straight,,,A,Language science,Writing-strategies,Creative techniques
"Which logical fallacy is used in the text?
Three key pieces of evidence prove that my client is innocent. First, she has not done anything wrong. Second, she is not guilty. And third, she is free from all criminal behaviors, dispositions, or inclinations.",circular reasoning: an argument that supports a claim with the claim itself,false dichotomy: an argument that presents only two choices when more options exist,"false causation: the assumption that because two things happened together, one caused the other",,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Mr. Goodman argues that we need to do more to prevent workplace injuries and fatalities. I doubt that someone so socially awkward would know a thing about office safety.",ad hominem: a personal attack against one's opponent,"false causation: the assumption that because two things happened together, one caused the other",,,A,Language science,Writing-strategies,Developing and supporting arguments
"Which logical fallacy is used in the text?
Mr. Wells argues that we need to do more to prevent workplace injuries and fatalities. I doubt that someone so socially awkward would know a thing about office safety.",ad hominem: a personal attack against one's opponent,bandwagon fallacy: the assumption that the popular choice is automatically correct,,,A,Language science,Writing-strategies,Developing and supporting arguments
"Read the following text from a student essay. How can the writer best improve his or her ideas and development?
The Servicemen's Readjustment Act, also known as the G.I. Bill, gave veterans money to pay college costs and buy books and supplies. Ex-servicemen were also eligible to receive low-interest home loans so that they could afford to buy their own homes, as well as commercial loans to set up their own businesses. One of the more controversial aspects of the bill was the provision of unemployment benefits to the veterans who were unable to find jobs.",by stating the main idea clearly,by removing a second main idea,,,A,Language science,Writing-strategies,Editing and revising
