Question,A,B,C,D
"What does the idiom in this text suggest?
In such an unfamiliar environment, Billy was a fish out of water.",Billy didn't have any friends.,Billy felt out of place.,,
"Which word would you find on a dictionary page with the following guide words?
walk - whip",week,wipe,,
"What does the hyperbole in this text suggest?
After he finished the marathon, Gordon collapsed into a chair and declared that he could no longer move a single muscle.",Gordon became paralyzed.,Gordon was very tired and sore.,,
"Which figure of speech is used in this text?
A Chicago winter separates the men from the boys, especially newcomers from milder climes. The temperature frequently plunges below zero.",verbal irony,idiom,,
"Which figure of speech is used in this text?
We don't mistrust each other because we're armed; we're armed because we mistrust each other.
—President Ronald Reagan, speaking of relations between the U.S. and the Soviet Union",chiasmus,understatement,,
Suppose Shane decides to go on the super starship. Which result would be a cost?,Shane will spend more ride tickets on the super starship than he would have spent on the Ferris wheel.,Shane will have more fun on the super starship than he would have had on the Ferris wheel.,,
"Last year, 50,000 people lived in the city of Milford. But since then, 8,000 people have moved away. What probably happened to the overall supply of houses for sale in Milford?",The supply probably went down.,The supply probably went up.,,
"Which tense does the sentence use?
Eli and Tammy will help the neighbors.",past tense,future tense,present tense,
"Would you find the word postage on a dictionary page with the following guide words?
pave - primary",no,yes,,
"What is the source of the allusion in the sentence below?
Jacob described the situation he was facing with his boss as a catch-22.",literature,a song,,
"Is this a run-on sentence?
During the Civil War, the Union blocked the port of New Orleans, preventing the shipment of coffee, devoted coffee drinkers began mixing chicory with their coffee to make it last longer.",no,yes,,
"Would you find the word material on a dictionary page with the following guide words?
mitt - mug",no,yes,,
"Which tense does the sentence use?
Uncle Brett will cook dinner for us.",past tense,present tense,future tense,
"What kind of sentence is this?
In 2013, former vice president Al Gore decided to give up eating all animal products, including meat, dairy, and eggs.",declarative,interrogative,exclamatory,
"Which tense does the sentence use?
Tim will dust off the shelf with a rag.",present tense,past tense,future tense,
"What is the source of the allusion in the sentence below?
Forced to choose between Scylla and Charybdis, Ezra threw up his hands in dismay.",the Bible,Greek mythology,,
"What does the allusion in this text suggest?
Kurt seems to have the Midas touch. Without any special experience or training, he launched a thriving business and then established a well-respected charity.",Kurt has a hands-on approach to his work.,Kurt is successful at all that he does.,,
Suppose Dana decides to make egg drop soup. Which result would be a cost?,The egg drop soup will be tastier than the chicken soup would have been.,Dana will spend more time making the egg drop soup than she would have spent making the chicken soup.,,
Is delivering mail a good or a service?,a service,a good,,
"What is the source of the allusion in the sentence below?
Cindy thinks Mr. Ferguson is a Luddite because he doesn't own a cell phone.",Roman history,British history,,
"What does the euphemism in this text suggest?
Mr. Stevenson is enjoying his golden years in a luxurious beachside community just down the street from his grandchildren.",Mr. Stevenson lives near his family.,Mr. Stevenson is old.,,
"Which figure of speech is used in this text?
The hum of the computer concerned Jacob. Was the problem with the power supply or the hard drive?",onomatopoeia,simile,,
Is paving a street a good or a service?,a service,a good,,
"Which figure of speech is used in this text?
Magnified apples appear and disappear,
Stem end and blossom end,
And every fleck of russet showing clear.
—Robert Frost, ""After Apple-Picking""",anaphora,assonance,,
"Which word would you find on a dictionary page with the following guide words?
fact - flood",fiery,fox,,
"What is the source of the allusion in the sentence below?
The sandy white beaches and turquoise waters make this Gulf of Mexico location its own little utopia.",literature,U.S. history,,
"What does this Works Cited entry indicate about the cited work?
""Taxes Introduction."" Shmoop. Shmoop University, n.d. Web. 2 Jan. 2014.",It is a print source.,It is a review.,It is an online source.,
"Read the following excerpt from a student essay. How can the writer best improve his or her narrative voice?
During our last game, our pitcher Wyatt suddenly grabbed his wrist after throwing a fastball. Coach Carey asked him if he was OK, and Wyatt said that it hurt. None of us knew what was wrong with him and he was whisked off to the doctor, who ultimately diagnosed a forearm strain and wrist tendinitis. After three weeks of rehabilitation, Wyatt finally returned. Coach Carey said he was glad Wyatt was back, and Wyatt said he was happy and relieved.",by adding dialogue,by using active voice,by removing biased language,
"Read the following text from a student essay. How can the writer best improve his or her sentence fluency?
Our school needs to serve better food for lunch. Our lunches should be delicious. Our lunches should be nutritious. Our lunches should be satisfying. One way to achieve this would be to have a salad bar available. Salad bars can contain far more than just lettuce. Fresh fruits can be included in a salad bar. Fresh vegetables can be included. Different kinds of meats and cheeses can be included, too. Even pasta can be stocked in a salad bar. With these healthy options, students can make their own tasty lunches.",by using shorter sentences,by combining sentences containing related information,,
"What is the source of the allusion in the sentence below?
Seth's Falstaffian nature makes him stand out at a party.",Shakespeare,the Bible,,
"Which figure of speech is used in this text?
The methods that failed in the past could very well be the ones that succeed in the future.",antithesis,apostrophe,,
"Is this a run-on sentence?
A helium-filled balloon called the Double Eagle II completed the first transatlantic balloon flight in history in 1978, it landed in a barley field near Paris about 140 hours after lifting off from Presque Isle, Maine.",no,yes,,
Suppose Andrew decides to buy a copy of the book. Which result would be a cost?,Andrew will spend money to buy the book.,Andrew will get to keep the book as long as he wants.,,
"Which tense does the sentence use?
The woman hammers the nails.",present tense,past tense,future tense,
"Would you find the word who on a dictionary page with the following guide words?
wake - wildlife",yes,no,,
"Which word would you find on a dictionary page with the following guide words?
led - log",laugh,lime,,
"Which logical fallacy is used in the text?
Ava said there's no way Scotland's Loch Ness Monster is real, but she's not even Scottish, so there's no way she could really know.",straw man: a misrepresentation of an opponent's position that makes it easier to argue against,false dichotomy: an argument that presents only two choices when more options exist,"ad hominem: an attack against the person making the argument, rather than the argument itself",
"What is the source of the allusion in the sentence below?
Gwen told her friends that Mark was a typical Peter Pan type.",a song,literature,,
"What is the source of the allusion in the sentence below?
Max spoke at the city council meeting, claiming the new recycling regulations were draconian.",Greek history,a fable,,
"Which figure of speech is used in this text?
Jeanette insisted that her dog wasn't fat; she said that he was merely well-fed.",euphemism,paradox,,
"What is the source of the allusion in the sentence below?
""Hugo's personality is very Jekyll and Hyde,"" Diana told her brother.",literature,U.S. history,,
"Which logical fallacy is used in the text?
All of my friends are coming to my birthday party. If Kira doesn't, she might as well tell me that she doesn't like me.","false causation: the assumption that because two things happened together, one caused the other",false dichotomy: an argument that presents only two choices when more options exist,,
"The city of Fairfax has been one of the world's biggest makers of cough drops for many years. But last month, Fairfax's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops?",The supply will probably go down.,The supply will probably go up.,,
"Which word would you find on a dictionary page with the following guide words?
kangaroo - kitten",kerosene,knight,,
"Read the following excerpt from a student essay. How can the writer best improve his or her organization?
When I worked on my grandparents' farm one summer, I spent a lot of time caring for animals—feeding chickens and pigs, milking cows, and grooming horses. I decided to become a vegetarian. As a vegetarian, I eat lots of fruit, vegetables, grains, and dairy products. At first, I thought it would be hard to eat enough food to feel full, but that hasn't been the case. Beans and cheese are my main sources of protein now, and they keep me full for hours. I'm so thankful that I can express my love of animals—all animals—by not eating them.",by making a general statement before giving specific examples,by adding a transition between the first two sentences,by reordering to keep related ideas together,
"Which figure of speech is used in this text?
Carson's room is as tidy as an overgrown garden.",verbal irony,pun,,
"Which figure of speech is used in this text?
Hear the sledges with the bells,
Silver bells!
. . . . . . . . .
How they tinkle, tinkle, tinkle,
In the icy air of night!
—Edgar Allan Poe, ""The Bells""",verbal irony,onomatopoeia,,
"Which figure of speech is used in this text?
After spending weeks in New York City, Joy was a bit unnerved by the deafening silence of her small hometown.",euphemism,oxymoron,,
"What does the euphemism in this text suggest?
Mr. Pruitt is enjoying his golden years in a luxurious beachside community just down the street from his grandchildren.",Mr. Pruitt lives near his family.,Mr. Pruitt is old.,,
Suppose Vijay decides to make vegetable soup. Which result would be a cost?,Vijay will spend more time making the vegetable soup than he would have spent making the egg drop soup.,The vegetable soup will be tastier than the egg drop soup would have been.,,
"Complete the sentence so that it uses personification.
The () sun beat down upon the heads of the construction workers.",cruel,hot,,
"Which figure of speech is used in this text?
The Conway family is going to spend two weeks in Ocean City, but for Jerry it will be a working vacation, since he'll be checking in with the office every day.",euphemism,oxymoron,,
"What kind of sentence is this?
Why did the photographer choose to shoot the sunset in black and white?",declarative,interrogative,exclamatory,
"Which figure of speech is used in this text?
. . . the report of my death was an exaggeration.
—Mark Twain, in a notice that appeared in the New York Journal",understatement,anaphora,,
"Would you find the word head on a dictionary page with the following guide words?
having - hop",no,yes,,
"Would you find the word express on a dictionary page with the following guide words?
entertain - erase",no,yes,,
"Which figure of speech is used in this text?
It's an open secret that Omar is writing a book based on his experiences living in Singapore. He never talks about it, but almost all his friends know.",hyperbole,oxymoron,,
"What kind of sentence is this?
You're an absolute genius for figuring out how to stop the leak!",interrogative,declarative,exclamatory,
"What does the euphemism in this text suggest?
Ava is between jobs right now, so she's selling some of her old jewelry to help pay the bills.",Ava is short on cash.,Ava is unemployed.,,
Is a flashlight a good or a service?,a service,a good,,
"Which figure of speech is used in this text?
There was a clear consensus in the Boyd family that they should put their dog to sleep, rather than let him continue to suffer.",euphemism,paradox,,
"Which word would you find on a dictionary page with the following guide words?
refuse - rub",rig,rascal,,
"Which figure of speech is used in this text?
The hum of the computer concerned Jamal. Was the problem with the power supply or the hard drive?",onomatopoeia,metaphor,,
"Which figure of speech is used in this text?
The old wooden rocking chair that Sasha brought home from the rummage sale was as comfortable as a bed of nails.",alliteration,verbal irony,,
"Which type of sentence is this?
Trevor always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",compound,complex,simple,compound-complex
"Which word would you find on a dictionary page with the following guide words?
ravenous - rib",ruffle,restart,,
"Which figure of speech is used in this text?
The assassination of John F. Kennedy on November 22, 1963, was as shocking as an earthquake, leaving Americans feeling shaken and vulnerable.",simile,alliteration,,
Suppose Harper decides to see the grizzly bears. Which result would be a cost?,"Harper will spend more time walking to the grizzly bears. They are on the other side of the zoo, but the gorillas are close by.",Harper will enjoy seeing the grizzly bears more than she would have enjoyed seeing the gorillas.,,
"Which logical fallacy is used in the text?
I don't trust Professor Harper's findings. Another researcher at her university was caught falsifying data. So, it's likely Professor Harper has, too.",straw man: a misrepresentation of an opponent's position that makes it easier to argue against,guilt by association: a negative association intended to discredit someone or something,circular reasoning: an argument that supports a claim with the claim itself,
"What does the idiom in this text suggest?
In such an unfamiliar environment, Leo was a fish out of water.",Leo had not visited that location before.,Leo felt out of place.,,
Was there a surplus or a shortage of videogames?,surplus,shortage,,
"Which figure of speech is used in this text?
Take care to get what you like or you will be forced to like what you get.
—George Bernard Shaw, Man and Superman",chiasmus,paradox,,
"Which word would you find on a dictionary page with the following guide words?
plead - protest",pasture,pony,,
Suppose Kelly decides to go as a superhero. Which result would be a cost?,Kelly will save some time and money. She won't have to go out and get a new costume.,Kelly will give up the chance to wear the costume she is more excited about.,,
"Which logical fallacy is used in the text?
The local government is advising everyone to remove standing water from their backyards, but none of our neighbors are doing it. If our neighbors aren't doing it, then there is no reason we should do it either.",circular reasoning: an argument that supports a claim with the claim itself,slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,bandwagon fallacy: the assumption that the popular choice is automatically correct,
"Would you find the word strain on a dictionary page with the following guide words?
shape - spray",yes,no,,
"Which word would you find on a dictionary page with the following guide words?
pasture - polish",pinch,purpose,,
"Which tense does the sentence use?
Jim will pop the popcorn.",future tense,present tense,past tense,
"What is the source of the allusion in the sentence below?
Sidney was known among her coworkers for her spartan ways.",Greek history,Shakespeare,,
"Which figure of speech is used in this text?
At twenty-one, Wesley felt overwhelmed with adult responsibilities and wished he could fly off to Neverland.",simile,allusion,,
"Which type of sentence is this?
The platypus has venom-producing glands, which are rare among mammals, but its venom is not generally lethal to humans.",simple,compound-complex,compound,complex
"What kind of sentence is this?
What is the likelihood that we will encounter bears and other wildlife in Alaska?",imperative,declarative,interrogative,
"Which tense does the sentence use?
The friends will visit Frank in Middletown.",future tense,past tense,present tense,
"Which figure of speech is used in this text?
The hum of the computer concerned David. Was the problem with the power supply or the hard drive?",simile,onomatopoeia,,
"Does the sentence use a simile or a metaphor?
Mrs. Campbell is an owl, working at night and sleeping during the day.",simile,metaphor,,
"Which word would you find on a dictionary page with the following guide words?
egg - every",easy,elf,,
"Which figure of speech is used in this text?
""There's nothing I love more than skipping lunch,"" Mr. Harper told the flight attendant when he learned that no food would be available on his cross-country flight.",personification,verbal irony,,
"Which logical fallacy is used in the text?
All of my friends are coming to my birthday party. If Camilla doesn't, she might as well tell me that she doesn't like me.",red herring: the use of a completely unrelated topic or idea,false dichotomy: an argument that presents only two choices when more options exist,,
"Would you find the word mermaid on a dictionary page with the following guide words?
marsh - muffle",yes,no,,
"Which word would you find on a dictionary page with the following guide words?
feather - fling",fabulous,fix,,
"What kind of sentence is this?
For his report, Kurt needs information about zebras.",declarative,exclamatory,,
Which brochure is more formal?,Did you know that the right landscaping can make the value of your property go through the roof?,Did you know that a well-designed landscape can significantly increase your property value?,,
"What is the source of the allusion in the sentence below?
Bryan's proclamations earned him a reputation as our neighborhood's own Nostradamus.",the Bible,history,,
"Which word would you find on a dictionary page with the following guide words?
throat - torpedo",tiger,trample,,
"Would you find the word mock on a dictionary page with the following guide words?
maintain - measles",yes,no,,
"Which tense does the sentence use?
Paula and Layla will plan their trip together.",future tense,past tense,present tense,
"What is the source of the allusion in the sentence below?
Yesterday's tennis match was a classic David and Goliath story, with Ryan playing against his former team captain, Ivan.",Greek mythology,the Bible,,
"What is the source of the allusion in the sentence below?
Nolan persisted despite his friends' attempts to tell him that this was a Gordian knot.",a song,ancient legend,,
"Would you find the word from on a dictionary page with the following guide words?
fled - fool",yes,no,,
"What does the simile in this text suggest?
Brenda rubbed coconut oil on her hands, which were like the parched earth during a drought.",Brenda's hands were dry and cracked.,Brenda's hands were hot.,,
"Which figure of speech is used in this text?
Cindy's Bistro used to be a great place to go for a delicious and carefully prepared dinner, but nobody goes there anymore: it's too crowded.",paradox,apostrophe,,
"The city of Newport has been one of the world's biggest makers of cough drops for many years. But last month, Newport's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops?",The supply will probably go up.,The supply will probably go down.,,
"Which figure of speech is used in this text?
When Carly first joined the track team, she was afraid of jumping, but she got over that hurdle.",verbal irony,pun,,
"What kind of sentence is this?
Does Kira have any hobbies?",exclamatory,interrogative,,
"Would you find the word brook on a dictionary page with the following guide words?
beaver - bless",yes,no,,
"What does the simile in this text suggest?
Isabelle rubbed coconut oil on her hands, which were like the parched earth during a drought.",Isabelle was baking something.,Isabelle's hands were dry and cracked.,,
"What does the idiom in this text suggest?
""Speak of the devil!"" Reagan declared when Elijah strolled into the room.",Reagan had just been speaking about Elijah.,Reagan didn't trust Elijah.,,
"Which tense does the sentence use?
I tell Lillian my opinions about her music.",past tense,present tense,future tense,
"Which type of sentence is this?
Cora is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",simple,complex,compound,compound-complex
Is a pair of sunglasses a good or a service?,a good,a service,,
"Would you find the word suitcase on a dictionary page with the following guide words?
salute - squirrel",no,yes,,
"Would you find the word monkey on a dictionary page with the following guide words?
material - museum",yes,no,,
"Does the sentence use a simile or a metaphor?
The football soared through the air like a rocket.",metaphor,simile,,
"Is this a sentence fragment?
Derailed by miscommunication and a lack of funding, Grayson and Erik's new business venture.",yes,no,,
"Read the following excerpt from a student essay. How can the writer best improve his or her sentence fluency?
The Western Australian pitcher plant is a carnivorous plant native to southwestern Australia. The pitcher is a perennial herb. It is approximately eight inches high. Growing in swampy or sandy soils, it obtains needed nutrients from insects and other small prey. The pitcher plant has carnivorous leaves. The leaves act as traps, or pitchers. The pitchers produce enzymes for digesting prey. Prized among collectors, the plant is considered a vulnerable species.",by combining sentences,by varying how sentences begin,by using shorter sentences,
"Read the following excerpt from a student essay. How can the writer best improve his or her grammar and mechanics?
Found in the icy waters of the Arctic Ocean the narwhal is a species of whale with a long tusk. Generally, only males have tusks but occasionally females may develop them. The tusks grow up to nine feet long and weigh more than twenty pounds. Researchers aren't exactly sure why narwhals grow these tusks. They might be used to fight other males, to impress females or to help the creatures detect changes in their environment.",by fixing misplaced modifiers,by fixing run-on sentences,by adding missing commas,
"Read the following excerpt from a student essay. How can the writer best improve his or her sentence fluency?
Our school needs to serve better food for lunch. Our lunches should be delicious. Our lunches should be nutritious. Our lunches should be satisfying. One way to achieve this would be to have a salad bar available. Salad bars can contain far more than just lettuce. Fresh fruits can be included in a salad bar. Fresh vegetables can be included. Different kinds of meats and cheeses can be included, too. Even pasta can be stocked in a salad bar. With these healthy options, students can make their own tasty lunches.",by combining sentences containing related information,by using shorter sentences,,
"What is the source of the allusion in the sentence below?
Much to our shock, Stefan chose to turn the other cheek when Nicole insulted him in a meeting.",the Bible,U.S. history,,
"Which figure of speech is used in this text?
I've heard that Suzie & Co. is downsizing, so I'm happy to see that their store in downtown Greenville will remain open for now.",euphemism,hyperbole,,
"Which word would you find on a dictionary page with the following guide words?
herring - hue",hot,haunt,,
"What is the source of the allusion in the sentence below?
By the time Betty had finished explaining to Mr. Hunt what had happened, her friends were laughingly referring to her as Scheherazade.",the Bible,ancient legend,,
"Which tense does the sentence use?
In the morning, Mrs. Harper shoveled the snow.",present tense,future tense,past tense,
"Would you find the word doubt on a dictionary page with the following guide words?
dessert - during",no,yes,,
"Is this a run-on sentence?
First completed in 1939, the Potomac Park Levee System was installed to protect the National Mall and surrounding areas in Washington, D.C., from flooding.",no,yes,,
"What does the allusion in this text suggest?
With the gutters clogged and water rising in the streets, Lillian, who was watching the storm from her window, commented, ""We're going to need an ark to get out of here.""",Lillian plans to build a boat.,Lillian thinks the storm will cause major flooding.,,
"What is the source of the allusion in the sentence below?
A Good Samaritan jumped in when my grocery bag broke and the contents spilled all over the sidewalk.",the Bible,British history,,
"Complete the sentence so that it uses personification.
Maura finally found her phone () under the bed.",ringing,hiding,,
"Which figure of speech is used in this text?
Celine's Boutique claims to have ""something for everyone,"" but it is generally understood that their target market is women of a certain age.",paradox,euphemism,,
"What is the source of the allusion in the sentence below?
Rudy persisted despite his friends' attempts to tell him that this was a Gordian knot.",ancient legend,U.S. history,,
"What kind of sentence is this?
Do you know Fernando from soccer camp, or do you have another connection with him?",imperative,interrogative,declarative,
"Would you find the word hunger on a dictionary page with the following guide words?
harness - holly",no,yes,,
"Is there a sentence fragment?
Developed in 1973, GPS is a satellite-based navigation system. Also known as Global Positioning System.",no,yes,,
"Which figure of speech is used in this text?
The city of Livingston is currently experiencing a minor crisis. Its sanitation workers are on strike, and the garbage is piling up in the streets.",paradox,oxymoron,,
"Which logical fallacy is used in the text?
Jada's shoes are superior, because they're made from one hundred percent snakeskin, not synthetic materials.",appeal to nature: the assumption that natural things are always good,"false causation: the assumption that because two things happened together, one caused the other",,
"Would you find the word ten on a dictionary page with the following guide words?
tired - trestle",no,yes,,
"What does this Works Cited entry indicate about the cited work?
Jain, Nikhil. ""The Ten Most Important Young Artists of the Year."" Message to Zachary Gorski. 11 Feb. 2015. E-mail.",It is a web page.,It is an email.,It is a magazine article.,
"What is the source of the allusion in the sentence below?
Emma was known among her coworkers for her spartan ways.",the Bible,Greek history,,
"Which type of sentence is this?
Lorraine Hansberry wrote the widely acclaimed 1959 Broadway play A Raisin in the Sun, and her accomplishment opened the door for other African American playwrights.",compound,complex,simple,compound-complex
"Is there a sentence fragment?
Which U.S. cities are doing the most to reduce greenhouse gas emissions? Tonight's news report has the details.",yes,no,,
"Which figure of speech is used in this text?
It's an open secret that Jamie is writing a book based on his experiences living in Singapore. He never talks about it, but almost all his friends know.",hyperbole,oxymoron,,
"What does the idiom in this text suggest?
Mia has a lot on her plate: she is attending college, has a full-time job as a waitress, and volunteers at the animal shelter.",Mia has worked up an appetite.,Mia has many responsibilities.,,
Suppose Tammy decides to borrow the book from the library. Which result would be a cost?,Tammy will give up the chance to keep the book as long as she wants.,Tammy will save some money by not buying the book.,,
"Which tense does the sentence use?
Uncle Brody will cook dinner for us.",future tense,past tense,present tense,
"Would you find the word whiskers on a dictionary page with the following guide words?
waste - write",yes,no,,
"What is the source of the allusion in the sentence below?
When I learned the details of Vicky's Faustian bargain, I was in disbelief.",history,literature,,
"Which tense does the sentence use?
The Swifts will stay at an inn on the island.",present tense,future tense,past tense,
"Which logical fallacy is used in the text?
In this election, we've seen the highest voter turnout ever recorded. If you have any doubts about Tommy Lynch's qualifications, just look at how many people have come out to vote for him.",bandwagon fallacy: the assumption that the popular choice is automatically correct,hasty generalization: a very broad claim based on very little evidence,,
"Which tense does the sentence use?
In the darkness, Amelia strained her eyes.",past tense,future tense,present tense,
"What does the hyperbole in this text suggest?
At that time Bogotá was a remote, lugubrious city where an insomniac rain had been falling since the beginning of the 16th century.
—Gabriel Garcia Marquez, Living to Tell the Tale, translated by Edith Grossman",It rained in Bogotá for hundreds of years.,It rained frequently and for long periods of time in Bogotá.,,
"Which logical fallacy is used in the text?
I can't believe you'd hire Bob Humphrey to watch your dog! Did you know that his friend adopted a dog but then took it back to the shelter after just one week?",guilt by association: a negative association intended to discredit someone or something,bandwagon fallacy: the assumption that the popular choice is automatically correct,,
"What does the idiom in this text suggest?
""Speak of the devil!"" Abigail declared when Craig strolled into the room.",Abigail thought Craig was a troublemaker.,Abigail had just been speaking about Craig.,,
"What does the hyperbole in this text suggest?
After he finished the marathon, Malik collapsed into a chair and declared that he could no longer move a single muscle.",Malik became paralyzed.,Malik was very tired and sore.,,
"Which figure of speech is used in this text?
It's an open secret that Rodrigo is writing a book based on his experiences living in Singapore. He never talks about it, but almost all his friends know.",euphemism,oxymoron,,
"Which tense does the sentence use?
Dad will clean the baby's bottle.",past tense,present tense,future tense,
"Which tense does the sentence use?
Owen opens the big box.",past tense,future tense,present tense,
"Which logical fallacy is used in the text?
Three key pieces of evidence prove that my client is innocent. First, she has not done anything wrong. Second, she is not guilty. And third, she is free from all criminal behaviors, dispositions, or inclinations.",circular reasoning: an argument that supports a claim with the claim itself,false dichotomy: an argument that presents only two choices when more options exist,"false causation: the assumption that because two things happened together, one caused the other",
"What kind of sentence is this?
I feel like a completely new person now that my fever has broken!",interrogative,declarative,exclamatory,
Is a flute a good or a service?,a service,a good,,
"Which word would you find on a dictionary page with the following guide words?
casual - coffee",crackle,clutch,,
"Which word would you find on a dictionary page with the following guide words?
kayak - king",knight,kept,,
"Which figure of speech is used in this text?
This movie is so predictable that I'm likely to die of boredom if I keep watching it.",euphemism,hyperbole,,
Suppose Scarlett decides to make vegetable soup. Which result would be a cost?,Scarlett will save some time. The onion soup would have taken longer to make than the vegetable soup.,"Scarlett will give up the chance to eat the onion soup, which would have been tastier than the vegetable soup.",,
"Which logical fallacy is used in the text?
Senator Quinn announced today that she plans to cut funding to early childhood education programs. The last thing we need is a government official who hates children!",straw man: a misrepresentation of an opponent's position that makes it easier to argue against,bandwagon fallacy: the assumption that the popular choice is automatically correct,,
"Which logical fallacy is used in the text?
Mom, I know you're upset that I went over my cell limit this month. The important issue here, though, is that I got an A on my algebra exam.",red herring: the use of a completely unrelated topic or idea,circular reasoning: an argument that supports a claim with the claim itself,,
"Which logical fallacy is used in the text?
Megan has no school spirit—she never comes to any of our football games.",false dichotomy: an argument that presents only two choices when more options exist,appeal to nature: the assumption that natural things are always good,,
"What kind of sentence is this?
I can't believe this is Aisha's first time seeing the Pacific Ocean!",interrogative,exclamatory,declarative,
"Which figure of speech is used in this text?
After Valeria cooked and served a scrumptious dinner, Dad boasted that she is the Julia Child of our family.",allusion,pun,,
"Which figure of speech is used in this text?
Devin and Abby have trouble working on projects together. Although Abby is very sociable and friendly, she's not exactly a team player.",euphemism,oxymoron,,
"Which word would you find on a dictionary page with the following guide words?
pecan - prospect",pantry,place,,
"Which word would you find on a dictionary page with the following guide words?
separate - snow",sidewalk,salad,,
"What kind of sentence is this?
I can't believe this is Kendra's first time seeing the Pacific Ocean!",interrogative,exclamatory,declarative,
"Which logical fallacy is used in the text?
Don't be deceived by Susan McKee's articles on rural, blue-collar workers. Her husband is a fancy investment banker, so she can't possibly understand their situation.",guilt by association: a negative association intended to discredit someone or something,straw man: a misrepresentation of an opponent's position that makes it easier to argue against,bandwagon fallacy: the assumption that the popular choice is automatically correct,
"Which type of sentence is this?
An avid reader, Mitchell attends weekly book club meetings, and he finishes several novels every month.",complex,simple,compound-complex,compound
"Which tense does the sentence use?
Mr. Griffith signed his name on the letter.",past tense,present tense,future tense,
"Does the sentence use a simile or a metaphor?
From across the room, Uncle Josh's laughter was booming thunder.",metaphor,simile,,
"Which figure of speech is used in this text?
Darell's room is as tidy as an overgrown garden.",pun,verbal irony,,
"What does the verbal irony in this text suggest?
""That fits you well,"" Tony remarked after Bonnie's cap fell over her eyes for the tenth time.",The cap was too big.,The cap was a good fit.,,
"Which tense does the sentence use?
The herd of wild horses will travel together.",future tense,present tense,past tense,
"Which figure of speech is used in this text?
Farid returned to the parking lot to find his car somewhat destroyed. Apparently someone had crashed into it while he was working and had broken the entire front windshield.",euphemism,oxymoron,,
"What kind of sentence is this?
When did Marie Curie win the Nobel Prize?",imperative,interrogative,declarative,
"Which figure of speech is used in this text?
I must have eaten too much of Toby's homemade chili, because now I'm so full I could explode!",paradox,hyperbole,,
Suppose Ernest decides to get the cake batter ice cream. Which result would be a cost?,Ernest will give up the chance to eat the praline pecan ice cream. He likes this flavor more than cake batter.,Ernest will get a free waffle cone. He will enjoy the waffle cone.,,
"What does the idiom in this text suggest?
I walked across an empty land
I knew the pathway like the back of my hand.
—Keane, ""Somewhere Only We Know""",The singer is in a strange and frightening place.,The singer has walked the path many times before.,,
"What does the metaphor in this text suggest?
Conscience is a man's compass.
—Vincent van Gogh",Your conscience shows you where you're headed.,Your conscience guides you to act the right way.,,
Suppose Finn decides to plant the violets. Which result would be a cost?,Finn will give up the chance to look at the fir tree. He thinks it would have looked more beautiful than the violets.,He will save some space. The violets will use up less space than the fir tree would have used up.,,
"Which figure of speech is used in this text?
""This mattress is as soft as concrete,"" Barry complained as he tested the bed in his hotel room.",verbal irony,pun,,
"Which word would you find on a dictionary page with the following guide words?
patient - poet",plump,preach,,
"Which word would you find on a dictionary page with the following guide words?
lens - lonesome",layer,limit,,
"What is the source of the allusion in the sentence below?
When I learned the details of Debbie's Faustian bargain, I was in disbelief.",literature,Roman mythology,,
"Which tense does the sentence use?
Lucy needs a new pair of shoes.",past tense,present tense,future tense,
"Which tense does the sentence use?
Mold will grow in a damp, dark place.",present tense,past tense,future tense,
"Would you find the word eye on a dictionary page with the following guide words?
entire - everyone",yes,no,,
Suppose Kurt decides to plant the magnolia tree. Which result would be a cost?,Kurt will get to look at the magnolia tree. He thinks it will look more beautiful than the lilacs would have looked.,The magnolia tree will use up more space than the lilacs would have used up.,,
"Which word would you find on a dictionary page with the following guide words?
herd - hungry",hand,horizon,,
"What kind of sentence is this?
This is the most beautiful scenery I've ever seen!",exclamatory,declarative,,
Suppose Eva decides to get the chocolate ice cream. Which result would be a cost?,Eva will give up the chance to get a free waffle cone. She would have enjoyed the waffle cone.,Eva will get to eat the chocolate ice cream. She likes this flavor more than mint chip.,,
"Would you find the word unusual on a dictionary page with the following guide words?
up - us",no,yes,,
Is a carton of milk a good or a service?,a good,a service,,
"Which figure of speech is used in this text?
The old wooden rocking chair that Layla brought home from the rummage sale was as comfortable as a bed of nails.",alliteration,verbal irony,,
"What does the verbal irony in this text suggest?
According to Mr. Gruber's kids, his snoring is as quiet as a jackhammer.",The snoring is subtle.,The snoring is loud.,,
"Which figure of speech is used in this text?
Justine's sweater shrank just a bit. It fits her baby sister now.",understatement,apostrophe,,
"Which logical fallacy is used in the text?
Did you really vote for Tom as class treasurer? Didn't you hear that his uncle was imprisoned for embezzling $1.5 million?",guilt by association: a negative association intended to discredit someone or something,straw man: a misrepresentation of an opponent's position that makes it easier to argue against,,
"What kind of sentence is this?
Celery, onions, and carrots are often used in sauces and soups in French cooking.",interrogative,exclamatory,declarative,
"Which word would you find on a dictionary page with the following guide words?
glee - guard",gate,grope,,
"Complete the sentence so that it uses personification.
The wild daisies () the passing hikers.",brushed against,nodded at,,
