Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch,GPT-3.5,GPT-4,Eval GPT-3.5,Eval GPT-4
"Like acetic acid, pentanoic acid is what kind of acid?",hydroxyl,carboxylic,carbonic,amino,B,Chemistry,Organic Chemistry,B,B,1,1
What is the name for unsaturated hydrocarbons that contain at least one double bond?,acids,alkenes,lipids,enzymes,B,Chemistry,Organic Chemistry,B,B,1,1
Which types of compounds are more likely to burn easily?,salty,hydroxyl,covalent,chlorophyll,C,Chemistry,Organic Chemistry,C,C,1,1
What carbohydrate from fruit juices is a gel-forming substance important in jelly making?,gelatin,pectin,potassium,cellulose,B,Chemistry,Organic Chemistry,B,B,1,1
How many years can dissolved carbon be stored in the deep ocean?,hundreds,unknown,thousands,tens,C,Chemistry,Organic Chemistry,C,C,1,1
What hydrocarbons contain only single bonds between carbon atoms?,caloric hydrocarbons,saturated hydrocarbons,simple carbohydrates,unsaturated hydrocarbons,B,Chemistry,Organic Chemistry,B,B,1,1
"Diamond, graphite and fullerene are examples of what form of carbon?",faceted,zirconia,crystalline,magnesium,C,Chemistry,Organic Chemistry,C,C,1,1
The main advantage of urea is its very low what?,temperature,cost,toxicity,energy requirement,C,Chemistry,Organic Chemistry,B,C,0,1
Amines are weak bases due to the presence of a lone pair of what on the nitrogen atom?,electrons,protons,nuclei,atoms,A,Chemistry,Organic Chemistry,A,A,1,1
An oxy-acetylene torch is an effective way to cut what?,wood,coal,metal,plastic,C,Chemistry,Organic Chemistry,C,C,1,1
What type of electrons does carbon have?,shell,ionic,gradient,valence,D,Chemistry,Organic Chemistry,D,D,1,1
What are ring-shaped hydrocarbons called?,cyclic hydrocarbons,reverse hydrocarbons,curved hydrocarbons,cylindrical hydrocarbons,A,Chemistry,Organic Chemistry,A,A,1,1
What process can be triggered by a burst of ethylene production in the fruit?,ripening,hardening,pickling,drying,A,Chemistry,Organic Chemistry,A,A,1,1
What is required for interconversion between the two forms of an isomeric pair?,couple and reforming,fixing and reforming,turn and reforming,breaking and reforming,D,Chemistry,Organic Chemistry,D,D,1,1
The reaction of calcium oxide with carbon dioxide forms what?,calcium carbonate,nitrogen carbonate,carbon monoxide,nitrogen,A,Chemistry,Organic Chemistry,A,A,1,1
The structures of both trifluoramine and hydroxylamine are similar to that of what?,hydrogen,magnesium,ammonia,nitrogen,C,Chemistry,Organic Chemistry,C,C,1,1
When wood is burned what kind of energy allows the wood to burn?,physical,chemical,radiation,carbon,B,Chemistry,Organic Chemistry,B,B,1,1
"Carboxylic acids are weak acids, meaning they are not 100% ionized in what?",ethanol,air,liquid,water,D,Chemistry,Organic Chemistry,D,D,1,1
What are hydrocarbons with double bonds called?,alkenes,aldehydes,alcohols,amines,A,Chemistry,Organic Chemistry,A,A,1,1
One gram of carbohydrates provides how many calories of energy?,one,eight,four,two,C,Chemistry,Organic Chemistry,C,C,1,1
What occurs when some substances change chemically to other substances?,spontaneous mutation,toxic reaction,chemical reaction,hormonal reaction,C,Chemistry,Organic Chemistry,C,C,1,1
What type of organism is used to produce alcoholic beverages and bread?,bacteria,yeast,larvae,insects,B,Chemistry,Organic Chemistry,B,B,1,1
What are composed of an oxygen atom that forms single bonds with two carbon atoms?,solvents,sugars,acids,ethers,D,Chemistry,Organic Chemistry,D,D,1,1
"The smallest and lightest alcohols (methanol, ethanol, propanol) are completely soluble in?",gasoline,water,oil,argon,B,Chemistry,Organic Chemistry,B,B,1,1
Name the 2 types of carbohydrates?,simple and thermal,simple and nuclear,simple and structural,simple and complex,D,Chemistry,Organic Chemistry,D,D,1,1
"What type of lipids contain the element phosphorus, carbon, hydrogen and oxygen?",phospholipids,eukaryotes,filaments,alleles,A,Chemistry,Organic Chemistry,A,A,1,1
What long molecules are composed of chains of units called monomers?,polymers,complexes,microbes,drummers,A,Chemistry,Organic Chemistry,A,A,1,1
"Different forms, or allotropes, of carbon are diamond, graphite, and what?",ligands,vesicles,carbonite,fullerenes,D,Chemistry,Organic Chemistry,D,D,1,1
Which reaction between alkyl halides and ammonia makes alkylamines?,conductive substitution reactions,nitrogen catabolism,nucleophobic reactions,nucleophilic substitution reactions,D,Chemistry,Organic Chemistry,D,D,1,1
The ability of matter to burn is called?,flammability,eccentricity,solubility,unpredictability,A,Chemistry,Organic Chemistry,A,A,1,1
What is a carbon-based compound that is found in living things called?,biological compound,organic compound,biochemical compound,genetic compound,C,Chemistry,Organic Chemistry,B,B,0,0
Binary compounds of carbon with less electronegative elements are called what?,oxides,carbides,alkaloids,carborane,B,Chemistry,Organic Chemistry,B,B,1,1
What is a byproduct from the combustion of fossil fuels like coal and gasoline?,alcohol,carbon monoxide,aluminum oxide,nitrogen dioxide,D,Chemistry,Organic Chemistry,B,B,0,0
Which theory describes the benzene molecule and other planar aromatic hydrocarbon molecules as hexagonal rings of sp2-hybridized carbon atoms with the unhybridized p orbital of each carbon atom perpendicular to the plane of the ring?,covalent bond theory,hybrid orbital theory,valence bond theory,molecular orbital theory,C,Chemistry,Organic Chemistry,C,B,1,0
"What do they call 2,2,4-trimethylpentane in the gasoline industry?",spirogyra,methane,isooctane,xerophyte,C,Chemistry,Organic Chemistry,C,C,1,1
What is a network solid and consists of carbon atoms covalently bonded to one another in a repeating three-dimensional pattern?,a ruby,a diamond,a zirconium,an agate,B,Chemistry,Organic Chemistry,B,B,1,1
What happens when alkanes are mixed with oxygen at room temperature?,single replacement,no reaction,redox,combustion,B,Chemistry,Organic Chemistry,D,B,0,1
What are made of long chains consisting almost solely of carbon and hydrogen?,nucleic acids,enzymes,lipids,proteins,C,Chemistry,Organic Chemistry,C,C,1,1
Cow manure can have a second life as a source of what gas?,methane,hydrogen,freon,ethanol,A,Chemistry,Organic Chemistry,A,A,1,1
Electrophiles have a strong tendency to react with what?,acids,neutrons,resistors,nucleophiles,D,Chemistry,Organic Chemistry,D,D,1,1
Which chemical element is the basis of all life on earth?,oxygen,carbon,nitrogen,hydrogen,B,Chemistry,Organic Chemistry,B,B,1,1
Carboxylic acids can form what with alcohols?,ketones,esters,lipids,aldehydes,B,Chemistry,Organic Chemistry,B,B,1,1
"Chemical reactions always involve energy. when methane burns, for example, it releases energy in the form of what?",movement and light,light and sound,heat and light,heat and movement,C,Chemistry,Organic Chemistry,C,C,1,1
What type of change occurs when matter changes chemically into an entirely different substance with different chemical properties?,chemical,material,physical,genetic,A,Chemistry,Organic Chemistry,A,A,1,1
Methyl groups are found within what?,DNA molecules,rna acids,peptide chains,amino acids,D,Chemistry,Organic Chemistry,A,A,0,0
What is the name of the simplest carbon molecule?,Buckminsterfullerine,graphite,methane,butane,C,Chemistry,Organic Chemistry,C,C,1,1
What  is an organic compound that is made up of only carbon and hydrogen?,a catalyst,an acid,a component,a hydrocarbon,D,Chemistry,Organic Chemistry,D,D,1,1
"Arachidic, stearic, and palmitic fatty acids are examples of what type of fatty acid?",saturated,integral,neutral,compacted,A,Chemistry,Organic Chemistry,A,A,1,1
Steam actually consists of tiny droplets of liquid what?,lead,water,methane,mercury,B,Chemistry,Physical Chemistry,B,B,1,1
How many atoms are evenly organized around a central atom?,five,six,four,seven,B,Chemistry,Physical Chemistry,C,B,0,1
Solids and liquids are phases of matter that have their own unique what?,volumes,properties,temperatures,masses,B,Chemistry,Physical Chemistry,B,B,1,1
What do ions of the same charge do?,attract each other,merge,repel each other,discard each other,C,Chemistry,Physical Chemistry,C,C,1,1
"Stirring, surface area, and temperature affect the rate at which what occurs?",solute freezes,concentration dissolves,solute dissolves,solute fragments,C,Chemistry,Physical Chemistry,C,C,1,1
What do we call the temperature at which a substance melts?,boiling point,melting point,precipitation point,evaporation point,B,Chemistry,Physical Chemistry,B,B,1,1
Solids can be divided into amorphous solids and which other group?,distinct solids,crystalline solids,morphous solids,acrystalline solids,B,Chemistry,Physical Chemistry,B,B,1,1
What's it called when gases turn back into liquids?,condensation,diffusion,dehydration,evaporation,A,Chemistry,Physical Chemistry,A,A,1,1
Motion of water molecules helps break up interactions between what?,ions or hormones,acids and bases,enzymes and acids,solid ions or molecules,D,Chemistry,Physical Chemistry,A,D,0,1
What do molecules need to do for a reaction to take place?,explode,collide,melt,separate,B,Chemistry,Physical Chemistry,B,B,1,1
"What two states of matter are included in the category ""fluids""?",liquids and gases,solids and gases,bacteria and gases,liquids and soilds,A,Chemistry,Physical Chemistry,A,A,1,1
What do all chemical reactions need to get started?,expression energy,activation energy,kinetic energy,potential energy,B,Chemistry,Physical Chemistry,B,B,1,1
Matter can exist either as a pure substance or as a combination of what?,much substances,Different Liquids,different vapors,different substances,D,Chemistry,Physical Chemistry,D,D,1,1
What two forms can fluids take?,vapor or gas,water or gas,mixture or gas,liquid or gas,D,Chemistry,Physical Chemistry,D,D,1,1
Which theory explains how materials can collide and become new materials?,pileup theory,disturbance theory,collision theory,rupture theory,C,Chemistry,Physical Chemistry,C,C,1,1
What kind of bond consists of one sigma bond and one pi bond?,covalent bond,beta bond,double bond,ionic bond,C,Chemistry,Physical Chemistry,C,C,1,1
Extensive and intensive are categories of properties that apply to what?,volume,weight,height,matter,D,Chemistry,Physical Chemistry,D,D,1,1
Molar mass is equal to density multiplied by what?,molar energy,molar weight,molar volume,molar gravity,C,Chemistry,Physical Chemistry,B,C,0,1
"Under appropriate conditions, the attractions between all molecules in what state will cause them to form liquids or solids?",soild,plasma,liquid,gas,D,Chemistry,Physical Chemistry,C,D,0,1
What is the sum of the masses of the atoms in a molecule?,mass effect,compound mass,atomic energy,molecular mass,D,Chemistry,Physical Chemistry,D,D,1,1
What effect does changing temperature have on a system at equilibrium?,the height,stress,movement,energy,B,Chemistry,Physical Chemistry,D,D,0,0
What type of molecules are found in the hydration shell of a dissolved ion?,water,carbon,iron,oxygen,A,Chemistry,Physical Chemistry,A,A,1,1
Which forces hold particles together in more ordered states?,natural,gravitational,particular,intermolecular,D,Chemistry,Physical Chemistry,D,D,1,1
The ions in ionic compounds are arranged in rigid three-dimensional patterns called what?,core lattices,lattice groups,pattern lattices,crystal lattices,D,Chemistry,Physical Chemistry,D,D,1,1
How does the solubility of gases in liquids change with increasing temperature?,it decreases,it stabilizes,it increases,no change,A,Chemistry,Physical Chemistry,C,A,0,1
What expresses the mass of substance in terms of the volume occupied by the substance?,frequency,velocity,diameter,density,D,Chemistry,Physical Chemistry,D,D,1,1
Which property can you study by comparing the mass of an object relative to its size?,density,weight,volume,motion,A,Chemistry,Physical Chemistry,A,A,1,1
The denser regions of the electron cloud are called what?,cores,orbitals,lattices,isotopes,B,Chemistry,Physical Chemistry,B,B,1,1
The oxygen regions of the water molecules have what kind of charge?,positive,neutral,certain,negative,D,Chemistry,Physical Chemistry,D,D,1,1
What are reversible physical changes in matter called?,alterations,changes of state,chemical change,transformations,B,Chemistry,Physical Chemistry,B,B,1,1
What happens when heated water is released into a body of water?,crystalline pollution,thermal pollution,gaseous pollution,geysers,B,Chemistry,Physical Chemistry,B,B,1,1
What is the term for a mixture of two or more substances that has the same composition throughout?,fluid,simple liquid,solution,structure,C,Chemistry,Physical Chemistry,C,C,1,1
What term is used to describe anything that takes up space and has mass?,size,weight,opacity,matter,D,Chemistry,Physical Chemistry,D,D,1,1
How do hydrogen bonds help ions and other polar molecules?,activate in water,solidify in water,dissolve in water,change in water,C,Chemistry,Physical Chemistry,C,C,1,1
A weak and temporary dipole that influences nearby atoms through electrostatic attraction and repulsion is known as what?,an incomplete dipole,an instantaneous dipole,a fused dipole,an debased dipole,B,Chemistry,Physical Chemistry,B,B,1,1
What happens when liquid water evaporates?,humidity happens,condensation,seawater happens,snow,A,Chemistry,Physical Chemistry,B,A,0,1
Solar cells convert the energy in sunlight to what type of energy?,active energy,radical energy,electrical energy,stellar energy,C,Chemistry,Physical Chemistry,C,C,1,1
What is the name of a branch of the chemistry that deals with the interconversion of chemical energy and electrical energy?,Inorganic chemistry,Biochemistry,Theoretical Chemistry,electrochemistry,D,Chemistry,Physical Chemistry,D,D,1,1
What are elements that generally do not conduct electricity?,nonmetals,metal,copper,iron,A,Chemistry,Physical Chemistry,A,A,1,1
What makes water change to a different state?,time,temperature,pressure,gravity,B,Chemistry,Physical Chemistry,B,B,1,1
What happens if a catalyst runs out?,variety increases,reaction slows,variety slows,reaction increases,B,Chemistry,Physical Chemistry,B,B,1,1
"Gas particles are constantly colliding with each other and the walls of a container, and these collisions are elastic, so there is no net loss of what?",heat,velocity,energy,temperature,C,Chemistry,Physical Chemistry,C,C,1,1
How is energy expressed when it is released in a chemical reaction?,as an equation,as a percentage,as negative number,as a positive number,C,Chemistry,Physical Chemistry,D,C,0,1
"What is the study of macroscopic properties, atomic properties, and phenomena in chemical systems?",differential chemistry,physical chemistry,thermal chemistry,molecular chemistry,B,Chemistry,Physical Chemistry,B,B,1,1
What change the physical properties of solvents?,cells,molecules,chemical reactions,solutes,D,Chemistry,Physical Chemistry,B,D,0,1
What are physical properties that do not depend on the substance present called?,extensive properties,multilateral properties,intensive properties,internal properties,C,Chemistry,Physical Chemistry,C,C,1,1
"Because they have free electrons, metals are able to conduct what?",light,sound,electricity,radiation,C,Chemistry,Physical Chemistry,C,C,1,1
What takes both the shape and the volume of their container?,gases,solids,tissues,fluids,A,Chemistry,Physical Chemistry,A,A,1,1
What term describes how closely packed the particles of matter are?,mass,density,range,space,B,Chemistry,Physical Chemistry,B,B,1,1
"Which state of matter lacks a fixed volume, fixed shape, and consists of charged particles?",electrons,atoms,isotopes,ions,D,Chemistry,Physical Chemistry,D,,1,0
"The atomic number of tungsten is 74. therefore, in a neutral atom of tungsten, there are 74 electrons. the atomic number of argon is 18. therefore, in a neutral atom of argon, there are how many electrons?",9,74,36,18,D,Chemistry,Physical Chemistry,C,D,0,1
Ions can be formed when atoms lose what other particles?,protons,electrons,neutrons,shells,B,Chemistry,Physical Chemistry,B,B,1,1
What cell structures capture light energy from the sun and use it with water and carbon dioxide to produce sugars for food?,fibroblasts,ribosomes,chloroplasts,nuclei,C,Chemistry,Physical Chemistry,C,C,1,1
What does liquid change to due to vaporization?,oil,gas,plasma,solid,B,Chemistry,Physical Chemistry,B,B,1,1
What is the term for a state of matter that yields to sideways or shearing forces?,solid,gravity,fluid,plasma,C,Chemistry,Physical Chemistry,C,C,1,1
"In some ways, a collection of gas molecules represents the simplest form of what?",energy,matter,life,protein,B,Chemistry,Physical Chemistry,B,B,1,1
"When struck, how are the rigid crystals of ionic compounds likely to react?",bend,shrink,grow,break,D,Chemistry,Physical Chemistry,D,D,1,1
What charge do atoms carry?,negative,static,positive,neutral,D,Chemistry,Physical Chemistry,D,D,1,1
What is the process by which a liquid changes to a solid?,freezing,vaporizing,melting,boiling,A,Chemistry,Physical Chemistry,A,A,1,1
"Luster, malleability, ductility, and conductivity are all properties of which kind of material?",metals,ores,wood,nonmetals,A,Chemistry,Physical Chemistry,A,A,1,1
"As per the kinetic-molecular theory, in what direction do the molecules and ions of liquids move?",alter directions,opposite direction,same direction,random directions,D,Chemistry,Physical Chemistry,D,D,1,1
What do you call the temperature at which a liquid boils and starts changing to a gas?,transformation point,melting point,boiling point,vapor point,C,Chemistry,Physical Chemistry,C,C,1,1
Temperature and pressure affect changes in phases or states of what?,matter,homeostasis,decay,energy,A,Chemistry,Physical Chemistry,A,A,1,1
Physical properties are characteristics that describe what as it exists?,matter,antimatter,imagination,life,A,Chemistry,Physical Chemistry,A,A,1,1
What are the three fundamental phases of matter?,"big, small. and medium","solid, liquid, and gas","fast, slow, normal","air, water, and land",B,Chemistry,Physical Chemistry,B,B,1,1
The rate of a reaction can be expressed either in terms of the decrease in the amount of what or the increase in the amount of a product per unit time?,plasma,reactant,sulfate,isotope,B,Chemistry,Physical Chemistry,B,B,1,1
What happens to a substance in a liquid state when the temperate is lowed?,it melts,it evaporates,it solidifies,it dissipates,C,Chemistry,Physical Chemistry,C,C,1,1
How are the number of moles of carbon dioxide gas calculated?,relativistic,casuistry,stoichiometry,phytochemistry,C,Chemistry,Physical Chemistry,C,C,1,1
"In order to conduct what, electrons must move from the filled valence band to the empty conduction band where they can move throughout the solid?",electricity,light,heat,matter,A,Chemistry,Physical Chemistry,A,A,1,1
"Water can be a solid, liquid, and what other form?",ooze,gas,square,plasma,B,Chemistry,Physical Chemistry,B,B,1,1
What term describes an imbalance of attractive forces between liquid molecules at the surface of a liquid?,surface tension,currents tension,molecular tension,obsolute tension,A,Chemistry,Physical Chemistry,A,A,1,1
What is the term for a substance that increases the rate of a chemical reaction but is not changed or used up in the reaction?,a catalyst,a mechanism,an acid,a contribute,A,Chemistry,Physical Chemistry,A,A,1,1
What is the name for a matter that has a fixed volume and a fixed shape?,stable,solid,gas,liquid,B,Chemistry,Physical Chemistry,B,B,1,1
"When light is absorbed by a material, what may increase?",its temperature,happiness,weight,mass,A,Chemistry,Physical Chemistry,A,A,1,1
The theory that establishes the concepts of atoms and how they compose matter is called what?,modern particle theory,modern atomic theory,unified matter theory,contemporary atomic theory,B,Chemistry,Physical Chemistry,B,B,1,1
Sublimation and deposition involve direct transitions between solid and gas without going through which state?,carbon,chemical,homeostasis,liquid,D,Chemistry,Physical Chemistry,D,D,1,1
"Hardness, density, color, and melting and boiling points are all considered what types of properties?",chemical,visible,physical,thermal,C,Chemistry,Physical Chemistry,C,C,1,1
Dalton's law and henry's law both describe aspects of what type of exchange?,energy,gas,electron,liquid,B,Chemistry,Physical Chemistry,B,B,1,1
The properties of liquids are intermediate between those of gases and solids but are more similar to?,solids,gases,oils,plasma,A,Chemistry,Physical Chemistry,A,B,1,0
Do most substances increase or decrease in size when they change from a liquid to a solid?,stay the same,increase,decrease,it is unable to be measured,C,Chemistry,Physical Chemistry,C,B,1,0
What are materials that eject electrons when illuminated with light called?,photoemissive,fragmentation,photogenic,illumination,A,Chemistry,Physical Chemistry,A,A,1,1
What is the term for the temperature at which a solid changes into a liquid?,the mixture point,the melting point,the starting point,the pressure point,B,Chemistry,Physical Chemistry,B,B,1,1
"According to which process, sublevels and orbitals are filled with electrons in order of increasing energy?",aufbau,hausen,Schrodinger's cat,particle dynamics,A,Chemistry,Physical Chemistry,A,A,1,1
What is the process in which a liquid boils and changes to a gas?,sublimation,freezing,vaporization,melting,C,Chemistry,Physical Chemistry,C,C,1,1
What is less dense then either solids or liquids?,gases,plasma,ice,dark matter,A,Chemistry,Physical Chemistry,A,A,1,1
"The anodes in each cell of a rechargeable battery are plates or grids of lead containing spongy lead metal, while the cathodes are similar grids containing powdered what?",lead dioxide,carbon dioxide,straight dioxide,coal,A,Chemistry,Physical Chemistry,A,A,1,1
What type of force allows non-polar molecules to interact?,centrifigal dispersion,experienced dispersion,graviitational force,london dispersion,D,Chemistry,Physical Chemistry,D,D,1,1
What can be used to determine the mass of a quantity of material?,gravitational mass,molar masses,inertial mass,atomic masses,B,Chemistry,Physical Chemistry,B,A,1,0
The cubic crystal system is composed of how many different types of unit cells?,four,one,five,three,D,Chemistry,Physical Chemistry,B,D,0,1
The phase transition of a substance changing from a liquid state to a gaseous state is an example of what?,spirogyra,entropoy,trichina,catostrophy,B,Chemistry,Physical Chemistry,B,B,1,1
What do you call the process that results in an animal producing offspring?,creationism,adoption,reproduction,differentiation,C,Biology,Reproductive Biology,C,C,1,1
"Each month, starting in puberty, one egg matures and is released from where?",testes,pollen,uterus,ovary,D,Biology,Reproductive Biology,D,D,1,1
What is the process of creating an exact genetic replica of an organism called?,reproducing,copying,cloning,converting,C,Biology,Reproductive Biology,C,C,1,1
"While the egg is developing, other changes are taking place in the uterus. it develops a thick lining that is full of what?",tiny blood vessels,white blood cells,large arteries,amniotic fluid,A,Biology,Reproductive Biology,A,A,1,1
The process in which a sperm unites with an egg is called?,infection,absorption,fertilization,migration,C,Biology,Reproductive Biology,C,C,1,1
What happens when a sperm and an egg cell combine?,migration,fertilization,manipulation,stimulation,B,Biology,Reproductive Biology,B,B,1,1
How do lancelets reproduce?,parthenogenesis,asexually,aerobically,sexually,D,Biology,Reproductive Biology,D,D,1,1
How do bacteria reproduce?,residual fission,binary fission,natural fission,multiple fission,B,Biology,Reproductive Biology,B,B,1,1
What causes fertilization to occur?,sperm and an egg fuse,accumulation and an egg fuse,tissue and an egg fuse,genetic and an egg fuse,A,Biology,Reproductive Biology,A,A,1,1
What causes the endometrium to thicken during a menstrual cycle?,testosterone,estradiol,blood,ovulation,B,Biology,Reproductive Biology,B,B,1,1
What occurs before the endometrium thickens in estrous cycles?,ovulation,pregnancy,fertilization,copulation,A,Biology,Reproductive Biology,A,A,1,1
The two general types of reproduction are sexual and what?,primitive,bisexual,asexual,unisexual,C,Biology,Reproductive Biology,C,C,1,1
"In species with sexual reproduction, each cell of the body has two copies of each what?",rna strand,chromosome,cell,dna strand,B,Biology,Reproductive Biology,B,B,1,1
"The ovaries produce estradiol and progesterone, which cause secondary sex characteristics and prepare the body for?",adulthood,breathing,childbirth,movement,C,Biology,Reproductive Biology,C,C,1,1
What is responsible for the physical changes of puberty?,caffeine,nicotine,adrenaline,testosterone,D,Biology,Reproductive Biology,D,D,1,1
What stimulates the changes of pubery?,sex education,mutation,parenting,sex hormones,D,Biology,Reproductive Biology,D,D,1,1
"In a monogamous pairing, a male individual is generally paired with what other type of individual in a sexual relationship?",worker,male,female,drone,C,Biology,Reproductive Biology,C,C,1,1
Which asexual reproduction method do starfish use to reproduce?,fission,spawning,budding,fragmentation,D,Biology,Reproductive Biology,B,D,0,1
What is the pairing of an adult male to an adult female to produce young?,asexual reproduction,evolution,mating,binary fission,C,Biology,Reproductive Biology,C,C,1,1
What is the shortest phase of the sexual response cycle?,plateau phase,sexual stimulation,resolution phase,the orgasm,D,Biology,Reproductive Biology,D,D,1,1
"When flagellated sperm must swim to the egg, sexual reproduction requires the presence of what substance?",air,nitrogen,water,sunshine,C,Biology,Reproductive Biology,C,C,1,1
Where in the female body does egg production take place?,uterus,testes,ovaries,endometrium,C,Biology,Reproductive Biology,C,C,1,1
"What mammalian structure allows the exchange of gases, nutrients, and other substances between the fetus and mother?",uterus,mitochondria,notochord,placenta,D,Biology,Reproductive Biology,D,D,1,1
What is the name for a series of changes in the reproductive system of mature females that repeats every month on average?,urinary cycle,periodic table,puberty,menstrual cycle,D,Biology,Reproductive Biology,D,D,1,1
The reproductive tissues of male and female humans develop similarly in utero until a low level of the hormone testosterone is released from male what?,kidneys,gonads,liver,bladder,B,Biology,Reproductive Biology,B,B,1,1
Female monotremes lack a uterus and vagina. instead they have what?,cloaca,endometrium,placenta,urethra,A,Biology,Reproductive Biology,A,A,1,1
What causes the menstrual cycle to be repeated?,uteris,gravity,ovaries,lack of fertilization,D,Biology,Reproductive Biology,C,D,0,1
"When a male directly deposits sperm in a female during mating, this is considered what type of fertilization?",internal,dual,mechanical,external,A,Biology,Reproductive Biology,A,A,1,1
"Asexual, sexual, budding, and parthenogenesis are all forms of what?",hibernation,reproduction,photosynthesis,absorption,B,Biology,Reproductive Biology,B,B,1,1
What is another word for brooding-  keeping eggs warm while the embryos develop?,fertilization,spawning,hibernation,incubation,D,Biology,Reproductive Biology,D,D,1,1
"During the typical human female ovulation cycles, how many eggs are released?",four,two,three,one,D,Biology,Reproductive Biology,D,D,1,1
What type of fertilization do most reptiles have?,budding,spawning,external,internal,D,Biology,Reproductive Biology,D,D,1,1
What are chemical messengers that control sexual development and reproduction?,proteins,sex hormones,lipids,neurotransmitters,B,Biology,Reproductive Biology,B,B,1,1
Which part of the reproductive process only contributes one set of chromosomes?,plasma,ovum,sperm,egg,C,Biology,Reproductive Biology,B,B,0,0
What is the process of producing eggs in the ovary is called?,meiosis,oogenesis,gametogenesis,morphogenesis,B,Biology,Reproductive Biology,B,B,1,1
Where does fertilization usually take place?,ovary,uterus,fallopian tubes,vagina,C,Biology,Reproductive Biology,C,C,1,1
Fertilization occurs when an egg and sperm come together to form a what?,cell,infant,zygote,eukaryote,C,Biology,Reproductive Biology,C,C,1,1
How do most fish reproduce with one another?,asexually,on land,sexually,same sex,C,Biology,Reproductive Biology,C,C,1,1
"In sexually reproducing organisms, parents pass a copy of each type of what to their offspring by producing gametes?",genome,molecule,chromosome,phenotype,C,Biology,Reproductive Biology,C,C,1,1
In what way do all vertebrates reproduce?,asexually,sexually,mitosis,biologically,B,Biology,Reproductive Biology,B,B,1,1
"What occurs when a parent organism breaks into fragments, or pieces, and each fragment develops into a new organism?",absorption,erosion,fragmentation,sollution,C,Biology,Reproductive Biology,C,C,1,1
Which gender typically experiences growth spurts first?,male,female,no difference,transgender,B,Biology,Reproductive Biology,A,B,0,1
What term is used to describe the process by which organisms give rise to offspring?,variation,reproduction,photosynthesis,osmosis,B,Biology,Reproductive Biology,B,B,1,1
In what type of reproduction do parents of different sexes mate to produce offspring?,sexual reproduction,parallel reproduction,subject reproduction,dual reproduction,A,Biology,Reproductive Biology,A,A,1,1
Spores are generally produced through what type of reproduction?,similar,asexual,hormone,sexual,D,Biology,Reproductive Biology,B,B,0,0
The process of producing mature sperm is called what?,glycogenolysis,spermatosis,ketoacidosis,spermatogenesis,D,Biology,Reproductive Biology,D,D,1,1
What type of reproduction results in genetically unique offspring?,sexual reproduction,asexual reproduction,mitosis,internal reproduction,A,Biology,Reproductive Biology,A,A,1,1
"The maturing follicle, containing a fluid-filled cavity, enlarges, forming a bulge near the surface of what?",the abdomen,the pelvis,the ovary,the vagina,C,Biology,Reproductive Biology,C,C,1,1
"Because dizygotic twins develop from two eggs fertilized by two sperm, they are no more identical than siblings born at what?",different places,other times of day,different times,other eras,C,Biology,Reproductive Biology,C,C,1,1
"All living organisms must have what ability, in order to make more organisms like themselves?",absorption,cloning,reproduction,variation,C,Biology,Reproductive Biology,C,C,1,1
What is the period during which humans become sexually mature called?,maturity,puberty,adulthood,adolescence,B,Biology,Reproductive Biology,B,B,1,1
Angiosperms possess reproductive structures that attract animals that perform what role?,evolution,vegetation,pollination,isolation,C,Biology,Reproductive Biology,C,C,1,1
What gland secretes a fluid that mixes with sperm to help form semen?,thy·mus,prostate gland,testicle,thyroid,B,Biology,Reproductive Biology,B,B,1,1
"In human females, the mammary glands are associated with, but not part of, what organ system that is used to create new humans?",immune,digestive,reproductive,endocrine,C,Biology,Reproductive Biology,C,C,1,1
What is the process of the fusion of a sperm and an egg called?,Sperm,embryo,fertilization,stimulation,C,Biology,Reproductive Biology,C,C,1,1
The male and female reproductive system is regulated by follicle-stimulating hormone (fsh) and luteinizing hormone (lh) produced by what gland?,testes,pituitary,thyroid,adrenal,B,Biology,Reproductive Biology,B,B,1,1
A life cycle continues through reproduction and what?,mechanical,response,example,development,D,Biology,Reproductive Biology,D,D,1,1
"Upon ovulation, the oocyte released by the ovary is swept into where?",placental barrier,vas deferens,umbilical cord,uterine tube,D,Biology,Reproductive Biology,D,D,1,1
"Fertilization is the union of a sperm and egg, resulting in the formation of what?",a cytoplasm,a nuclei,a zygote,a bacteriophage,C,Biology,Reproductive Biology,C,C,1,1
Cytoplasmic determinants are distributed how in unfertilized eggs?,evenly,unevenly,from left to right,symmetrically,B,Biology,Reproductive Biology,B,B,1,1
The most common mode of asexual reproduction is through the formation of asexual these?,spores,fibers,atoms,cells,A,Biology,Reproductive Biology,A,A,1,1
All gymnosperm species and many eudicot species undergo what?,mutations,exploitation,third growth,secondary growth,D,Biology,Reproductive Biology,D,D,1,1
"In angiosperms, flowers and fruits are adaptations essential for what process?",death,reproduction,variation,photosynthesis,B,Biology,Reproductive Biology,B,B,1,1
In which way do vertebrates reproduce?,sexually,unisexually,bisexually,asexually,A,Biology,Reproductive Biology,A,A,1,1
"When a sperm penetrates the egg, it triggers the egg to complete what?",fertilization,mutations,meiosis,lesions,C,Biology,Reproductive Biology,A,C,0,1
"In a single-celled organism such as chlamydomonas, there is no what after fertilization?",spawning,germination,meiosis,mitosis,D,Biology,Reproductive Biology,C,C,0,0
