Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch
"In birds, modified front legs are actually what?",tails,wings,arms,claws,B,Biology,Zoology
The number of waves that pass a fixed point in a given amount of time is called what?,frequency of a wave,wavelength of a wave,spectroscopy of a wave,spread of a wave,A,Physics,Acoustics
How does litmus paper indicate the ph value of a solution?,by shape,by texture,by smell,by color,D,Chemistry,Inorganic Chemistry
What is another term for movable joints?,fibrous,synovial,interstitial,sesamoidal,B,Biology,Anatomy/Physiology
What device is a magnetic disc that provides long-term storage for programs and data?,software,cassette,floppy drive,hard drive,D,Physics,Electromagnetism
Debroglie proposed in 1924 that any object exhibits a wavelength that is inversely proportional to its?,inertia,frequency,velocity,momentum,D,Physics,Acoustics
What travels at the interface between the sea surface and the atmosphere?,ocean currents,ocean tides,ocean breeze,ocean waves,D,Earth Sciences,Oceanography
What is the only light that humans can see?,visible light,distinct light,dark light,bright light,A,Physics,Optics
What directs the amino acids to be introduced into the growing protein chain in the proper sequence?,organism template,rna template,gene template,organelle template,B,Biology,Biochemistry
Cellular respiration in humans involves the combustion of what simple sugar?,starch,glutamate,glucose,insulin,C,Biology,Cell Biology
What still causes fatal lung disease in nonsmokers?,tobacco smoke,nicotine,chewing tobacco,alcohol,A,Biology,Anatomy/Physiology
"Like ants and termites, they grow fungi inside the bark of trees and use it to help do what?",digest food,kill prey,clean the nest,weaken enemies,A,Biology,Ecology
"For fertilization to occur in angiosperms, pollen has to be transferred to the stigma of what?",flower,leaf,stem,root,A,Biology,Botany
Exothermic reactions in organisms are called what?,nuclear reactions,catabolic reactions,nebular reactions,biogenic reactions,B,Biology,Biochemistry
At what point during a chemical reaction is there no net change?,equilibrium,formation,bonding,ionization,A,Chemistry,Inorganic Chemistry
The solution with the higher solute concentration is called what?,unsaturated,hypotonic,acetic,hypertonic,D,Chemistry,Inorganic Chemistry
"The three stages of transcription are initiation, elongation, and what?",separation,termination,prolongation,degradation,B,Biology,Genetics
A rounded hollow carved in the side of a mountain by a glacier is known as?,a crater,a cirque,a cavern,a crest,B,Earth Sciences,Geology
Where do most cnidarians live?,grass,hills,rocks,ocean,D,Biology,Marine Biology
What do a group of cells that work together form?,tissue,organelle,molecule,organ,A,Biology,Anatomy/Physiology
Plants alternate between haploid and what?,monoplooid,diploid,triploid,monoxoid,B,Biology,Botany
Temperature is a measure of the motion (kinetic energy) of what?,molecules,nucleus,particles,electrons,A,Physics,Thermodynamics
What is the natural selection that favors altruistic behavior by enhancing reproductive success of relatives known as?,diversifying selection,kin selection,directional selection,stabilizing selection,B,Biology,Evolutionary Biology
"When a male directly deposits sperm in a female during mating, this is considered what type of fertilization?",internal,dual,mechanical,external,A,Biology,Reproductive Biology
What helps regulate the production of urine?,the pituitary gland,the temporal gland,the discrete gland,the fetal gland,A,Biology,Anatomy/Physiology
"In celsius, what is the temperature at which water freezes?",100 degrees,zero degrees,32 degrees,absolute zero,B,Chemistry,Physical Chemistry
Which theory explains how materials can collide and become new materials?,pileup theory,disturbance theory,collision theory,rupture theory,C,Chemistry,Physical Chemistry
What 3 types of friction occur between solid surfaces?,"static,desending,sliding","static , arching , rolling","static, sliding, rolling","static , ascending , rolling",C,Physics,Mechanics
Name the 3 ocean zones.,"coral, intertidal, apogean","amphidromic, cotidal, benthic","intertidal, pelagic, benthic","cotidal, intertidal, exotidal",C,Earth Sciences,Oceanography
Secondary consumers are usually carnivores that eat what?,plants,soil,primary consumers,dead material,C,Biology,Ecology
What is the term for a period when temperatures are cooler than normal causing glaciers to spread to lower latitudes?,ice age,cold age,cooling era,freezing point,A,Earth Sciences,Geology
Cody's velocity is zero so therefore he doesn't have what?,weight,mass,momentum,temperature,C,Physics,Mechanics
"Human population is growing exponentially and humans have increased what normally limiting factor through technology, urbanization, and harnessing the energy of fossil fuels?",zero population growth,mass extinction,carrying capacity,habitat loss,C,Environmental Science,Environmental Science
Amides are carbonyls attached to one nitrogen atom and one carbon or which other atom?,helium,nitrogen,hydrogen,calcium,C,Chemistry,Organic Chemistry
The epidermis of the leaf consists of a single layer of which cells?,insular cells,endothermic cells,dermal cells,chloroplasm,C,Biology,Botany
What is beneath the cerebrum and includes the thalamus and hypothalamus?,diencephalon,brain stem,rendalen,subvocalization,A,Biology,Neuroscience
What is the raw material for evolution by natural selection called?,mutation,pattern variation,comparable variation,genetic variation,D,Biology,Evolutionary Biology
The changing of a light ray’s direction (loosely called bending) when it passes through variations in matter is called this?,refraction,wavelength,resonance,vibration,A,Physics,Optics
What decreases with the loss of subsequent protons?,Movement strength,example strength,seawater strength,acid strength,D,Physics,Atomic Physics
What is defined as a loss of hydrogen atoms?,oxidation,Reduction,evaporation,conduction,A,Chemistry,Inorganic Chemistry
Natural gas is often found along with what other fossil fuels in underground deposits?,coal and oil,methane and oil,coal and methane,repository and oil,A,Earth Sciences,Geology
What term is used to describe cells without a nucleus?,Simple,prokaryotic,unicellular,monophyletic,B,Biology,Cell Biology
"If solutions of differing osmolarities are present on opposite sides of a semipermeable membrane, solvent will transfer from what to what, in terms of osmolarity of the solution?",low to low,high to high,low to high,high to low,C,Biology,Cell Biology
What do populations gain through births and immigration?,humans,individuals,Over Population,Over Crowding,B,Earth Sciences,Geography
"What do you call the atomic ""ingredients"" that go into a chemical reaction?",complexes,reactants,propellants,Starters,B,Chemistry,Inorganic Chemistry
"What is stacked in layers in ""layer cake geology""?",soil,sediment,horizontal stata,rock stata,D,Earth Sciences,Geology
A spontaneous change process called neutrino oscillations can occur only if neutrinos have what property?,temperature,mass,velocity,color,B,Physics,Nuclear and Particle Physics
What type of plate is an island arc found on?,oceanic,continental,coastal,shear,A,Earth Sciences,Geology
How do you calculate the atomic mass of an element?,count the electrons,add neutrons and electrons,add the protons and neutrons together,multiply protons by neutrons,C,Physics,Atomic Physics
"The cytoskeleton is a cellular ""scaffolding"" or ""skeleton"" that crisscrosses what?",cerebellum,golgi apparatus,cell membrane,cytoplasm,D,Biology,Cell Biology
"In animal cells, what arises from the centrosomes and includes spindle microtubules and asters?",the spindle,Golgi apparatus,ribosomes,DNA helix,A,Biology,Cell Biology
What's the term for a relationship between two organisms where at least one benefits?,dermatitis,symbiosis,morphogenesis,meiosis,B,Biology,Ecology
What term refers to a wall or partition that divides the heart into chambers?,cartilage,valve,cysts,septum,D,Biology,Anatomy/Physiology
What mammal is the most intelligent?,humans,monkey,dog,lion,A,Biology,Zoology
"Mercury is small, rocky and covered with what objects?",rivers,volcanoes,craters,diamonds,C,Physics,Astronomy
"Heat expansion is a result of the increase of what type of energy, exhibited by molecules bumping together?",light energy,kinetic energy,radioactivity,harmonic energy,B,Physics,Thermodynamics
What is the molecular formula of carbon dioxide?,co 2,h2o,c2o,cl2,A,Chemistry,Inorganic Chemistry
"What organism constitutes frothy green ""pond scum""?",bacteria,sponges,algae,protozoa,C,Biology,Botany
"Spontaneous reactions release what type of energy, meaning it is available to do work?",radioactive energy,potential energy,free energy,kinetic energy,C,Chemistry,Inorganic Chemistry
Why do butterfly fish have fake eyespots?,mating purposes,confuse predators,aerodynamic purposes,random evolution,B,Biology,Marine Biology
Is urea or salt reabsorbed faster?,salt,neither is reabsorbed,same speed,urea,A,Chemistry,Inorganic Chemistry
Glucose is an example of what simple carboyhydrates with relatively few carbon atoms?,mixtures,solvents,acids,sugars,D,Chemistry,Organic Chemistry
Chemical energy results from the particular arrangement of atoms in a chemical compound; the heat and light produced in this reaction are due to energy released during the breaking and reforming of what?,chemical bonds,acid bonds,atom bonds,carbon bonds,A,Chemistry,Inorganic Chemistry
The visible surface of the sun is called what?,Corona,Radiative Zone,Chromosphere,photosphere,D,Physics,Astronomy
Which system is capable of responding quickly to changing situations?,endocrine system,reproductive system,circulatory system,nervous system,D,Biology,Neuroscience
What two substances do plants give off when they make food?,water and oil,oxygen and water,carbon dioxide and oxygen,chlorophyll and nitrogen,B,Biology,Botany
What kind of energy positions do electrons occupy during ground state?,closest energy positions,relative energy positions,highest energy positions,lowest energy positions,D,Physics,Atomic Physics
What are metals and good electrical conductors that tend to lose their valence electrons in chemical reactions called?,conservants,stable metals,precious metals,reductants,D,Chemistry,Inorganic Chemistry
What is the term for liquid water falling from the sky?,wind,fire,rain,mud,C,Earth Sciences,Geography
What term did schrödinger use for regions around the nucleus where electrons are most likely to be?,arrays,isotopes,ellipses,orbitals,D,Physics,Atomic Physics
What exactly happens during rna translation?,protein is synthesized,membrane is synthesized,carbohydrate is synthesized,chromosome is synthesized,A,Biology,Biochemistry
How long are microfilaments?,9 nm,4 nm,7 nm,7 m,C,Biology,Cell Biology
"What is the area around the nucleus of an atom where electrons are likely to be, called?",electron cloud,electron membrane,electron wave,electron pocket,A,Physics,Atomic Physics
What type of matter in the spinal cord has the appearance of an ink-blot test and is subdivided into regions that are referred to as horns?,wet matter,bright matter,gray matter,dark matter,C,Biology,Anatomy/Physiology
What type of sedimentary rocks are made of minerals that precipitate from saline water?,chemical sedimentary rocks,limestone,shale,sandstone,A,Earth Sciences,Geology
Sexual reproduction involves the production of haploid gametes by what?,lesions,meiosis,mutations,mitosis,B,Biology,Reproductive Biology
"What is emitted by nuclei in alpha, beta, and gamma decay?",convection,radiation,solar energy,magnetic field,B,Physics,Nuclear and Particle Physics
What do we call the recycling of inorganic matter between living organisms and their environment?,phosphorus cycle,nutrient cycle,biogeochemical cycle,water cycle,C,Biology,Ecology
"The tensor fascia latae acts as what, in relation to the gluteus medius and iliopsoas, for the purpose of flexing and abducting the thigh?",antagonist,synergist,spicule,symbiotic,B,Biology,Anatomy/Physiology
What cellular process is controlled by allosteric enzymes at key points in glycolysis and the citric acid cycle?,cellular respiration,Metabolism,photosynthesis,mitosis,A,Biology,Biochemistry
What happens to water when it is heated in the broiler?,it evolves,it contracts,it introduces,it expands,D,Physics,Thermodynamics
What atoms make up a water molecule?,alumhg and oxygen,hydrogen and oxygen,One Hydrogen,Sodium and Oxygen,B,Chemistry,Inorganic Chemistry
"Precipitation, evaporation, transpiration, and condensation are part of what cycle?",water cycle,air cycle,life cycle,cold cycle,A,Earth Sciences,Geography
"Life span is distinct from what, which means the sequence of stages a plant goes through from seed germination to seed production of the mature plant?",life cycle,feeding cycle,society cycle,spin cycle,A,Biology,Botany
What is it called when the soils of the arctic tundra remain in a perennially frozen state?,permafrost,permafreeze,concentrated freeze,glacial domination,A,Earth Sciences,Geography
"The three classes of elements are metals, nonmetals, and what?",molecules,ionic compounds,metalloids,atoms,C,Chemistry,Inorganic Chemistry
What do you call the fixed point of a lever?,caliper,base,fulcrum,apex,C,Physics,Mechanics
What process tends to be external in aquatic species and internal in terrestrial species?,pollination,fertilization,infection,migration,B,Biology,Reproductive Biology
Which electromagnetic radiation is used to kill cancer cells?,ultraviolet rays,X-rays,plasma rays,gamma rays,D,Physics,Electromagnetism
What is the term for going into a dormant state during the winter?,gestation,fermentation,hibernation,homeostasis,C,Biology,Ecology
Shrimp are an example of what group within the arthropods?,insect,myriapods,crustaceans,scorpion,C,Biology,Marine Biology
Many enzymes are simple proteins consisting entirely of one or more of these?,interaction acid chains,alkali acid chains,amino acid chains,proteins acid chains,C,Biology,Biochemistry
"What property of carbon and other elements can be used to date fossils and rocks, among other things?",full-life,half-life,mass,magnetic force,B,Earth Sciences,Geology
"A solution is what type of mixture, where the dissolved particles are spread evenly through the mixture?",homogeneous,gaseous,saline,heterogeneous,A,Chemistry,Inorganic Chemistry
The base in an antacid reacts to do what to excess stomach acid?,neutralize it,expel it,oxidize it,repel it,A,Biology,Biochemistry
"In single-celled organisms, what does the plasma membrane extensions help the organisms to do?",inspect,increase,prevent,move,D,Biology,Microbiology
Red-green color blindness is an example of a sex-linked condition caused by what?,phenotype,dominant gene,genetic disorder,recessive allele,D,Biology,Genetics
What can be switched off by a protein called the trp repressor?,the operon,the chaperone protein,the cytokine,the genetic precursor,A,Biology,Biochemistry
What is the name of vesicles that are formed by the golgi apparatus?,lysosomes,vessels,lymphocytes,capillaries,A,Biology,Cell Biology
What is the term for the arrangement of veins in a leaf?,dorsal pattern,vein pattern,venation pattern,cerebellum pattern,C,Biology,Botany
"Anabolic reactions require energy, so they are considered what type of reaction?",autotrophic,endothermic,exothermic,hydrostatic,B,Biology,Biochemistry
Lack of which attachment makes ester molecules incapable of intermolecular hydrogen bonding?,carbon sulfur atom,carbon fluorine atom,hydrogen-oxygen atom,carbon oxygen atom,C,Chemistry,Inorganic Chemistry
Viruses need what kind of cell in order to help themselves reproduce?,host,side,round,double,A,Biology,Microbiology
What is the science of how living things interact with each other and their environment?,biology,zoology,ecology,compatibility,C,Biology,Ecology
What function does a vacuole do for a cell?,transfer,storage,division,reproduction,B,Biology,Cell Biology
"Sight, hearing, balance, taste, smell, and touch are types of what?",senses,memories,sensation types,temperaments,A,Biology,Neuroscience
"During grafting, the part of the plant that is grafted is called?",stock,roots,scion,stem,C,Biology,Botany
What is a winding ridge of sand deposited by a stream of meltwater called?,esker,sand dune,desert,oasis,A,Earth Sciences,Geology
What is a measure of the change in velocity of a moving object?,acceleration,vibration,inclination,kinetic energy,A,Physics,Mechanics
Sympatric type of what occurs when a single population of organisms splits into two reproductively isolated communities within the same physical region?,biodiversity,extraction,speciation,accumulation,C,Biology,Ecology
Each atom has a required number of what?,matrix bonds,accretion bonds,acceleration bonds,covalent bonds,D,Chemistry,Inorganic Chemistry
"When the volume of a gas is decreased, what happens to its pressure?",LOWERS,increases,drops,STAYS THE SAME,B,Physics,Thermodynamics
What colorful phenomenon occurs in the northern sky when particles from the sun energize ions in the thermosphere?,meteor shower,Coriolis effect,aurora nervosa,northern lights,D,Physics,Astronomy
By what processes does the ocean modify landforms?,splash and deposition,shape and deposition,sweeping and deposition,erosion and deposition,D,Earth Sciences,Geology
"Hypertension, or high blood pressure, can increase the risk of what?",cardiovascular disease,bone disease,physiological disease,abnormal disease,A,Biology,Anatomy/Physiology
"The carbon atoms are bonded together, with each carbon also being bonded to two of what kind of atoms?",helium,calcium,ions,hydrogen,D,Chemistry,Organic Chemistry
What is the final stage of cell division in eukaryotes as well as prokaryotes?,electrolysis,cytokinesis,mitosis,anaphase,B,Biology,Cell Biology
The metacarpophalangeal joints in the finger are examples of what kind of joints?,condyloid,fibrous,saddle,hinge,A,Biology,Anatomy/Physiology
What does the kyoto protocol focus on controlling?,carbonate gas emissions,Helium emissions,greenhouse gas emissions,Ozone emissions,C,Environmental Science,Environmental Science
"A van de graff generator produces what type of charge on its dome, causing the tendency to give up electrons?",positive charge,negative charge,similar charge,no charge,B,Physics,Electromagnetism
"In order to conduct what, electrons must move from the filled valence band to the empty conduction band where they can move throughout the solid?",electricity,light,heat,matter,A,Chemistry,Physical Chemistry
What is the term for the fast-moving air currents high in the troposphere?,ocean streams,gale force winds,jet streams,global winds,C,Earth Sciences,Atmospheric Science
Vibrating electric and magnetic fields make up what kinds of waves?,seismic,eletrical,mechanical,electromagnetic,D,Physics,Electromagnetism
The electric and magnetic fields are closely related and propagate as what?,electromagnetic wave,mechanical wave,thermal energy,sound wave,A,Physics,Electromagnetism
Plant-like protists are autotrophs capable of what process?,photosynthesis,sexual reproduction,microevolution,regeneration,A,Biology,Botany
Bilaterally symmetrical animals have both dorsal and what type of sides?,anterior,ventral,exterior,posterior,B,Biology,Zoology
Which state of matter is not common on earth?,respiration,liquid,plasma,gas,C,Chemistry,Physical Chemistry
Which system of the body is responsible for bringing air into the body?,respiratory system,excretory system,vascular system,digestive system,A,Biology,Anatomy/Physiology
"The photoreceptive cells of the eye, where transduction of light to nervous impulses occurs, are located in this?",retina,pupil,cornea,sclera,A,Biology,Anatomy/Physiology
E. coli need what kind of acids to survive?,hydrochloric,amino,bacterial,boric,B,Biology,Biochemistry
"Elements are defined by their atomic number, a number that describes the amount of what in the element?",electrons,bonds,neutrons,protons,D,Chemistry,Physical Chemistry
"Through a succession of mitotic cell divisions, what gives rise to a large number of cells?",condensation,air,cytoplasm,zygote,D,Biology,Cell Biology
Contour tillage helps slow water run-off and what process that causes topsoil loss?,soil erosion,ice shelf erosion,water erosion,plate tectonics,A,Earth Sciences,Geology
Cells must also be able to separate their relatively stable interior from what?,predators,the external environment,their habitat,competition and chaos,B,Biology,Cell Biology
"For any given species, what term means the maximum population that can be supported by the environment?",mass extinction,carrying capacity,zero population growth,tipping point,B,Biology,Ecology
"With an increased understanding of gene regulation and gene function, medicines can be designed to specifically target diseased cells without harming these?",healthy cells,hosts,stem cells,pathogens,A,Biology,Genetics
The rate of a reaction can be expressed either in terms of the decrease in the amount of what or the increase in the amount of a product per unit time?,plasma,reactant,sulfate,isotope,B,Chemistry,Physical Chemistry
What do molecules need to do for a reaction to take place?,explode,collide,melt,separate,B,Chemistry,Physical Chemistry
What is the term for the change in temperature with distance?,temperature gradient,distance gradient,heat gradient,temperature volatility,A,Physics,Thermodynamics
How many classes of biochemical compounds are there?,one,five,four,three,C,Biology,Biochemistry
The fact that all animals have certain traits in common shows that they share what?,a common gene,a common brain,a common planet,a common ancestor,D,Biology,Evolutionary Biology
Organisms that live in freshwater environments often possess a contractile vacuole that prevents cells from taking in too much water through what process?,glycolysis,electrolysis,hemostasis,osmosis,D,Biology,Zoology
What is the condition in which the thyroid gland is overactive is known as?,hypothyroidism,susceptibility,hepatic,hyperthyroidism,D,Biology,Neuroscience
Where do amphibians lay their eggs?,in caves,in water,on land,in airborne nests,B,Biology,Zoology
The food particles are caught by the collar of the choanocyte and brought into the cell by what process?,hippocampus,cellular respiration,phototropism,phagocytosis,D,Biology,Zoology
"In seedless vascular plants such as ferns, the sporophyte releases spores from the undersides of what basic plant structures?",fruits,roots,stems,leaves,D,Biology,Botany
There are two basic body plans in cnidarians which are called the polyp and what else?,spore,hydra,stoma,medusa,D,Biology,Marine Biology
Change in what equals the average net external force multiplied by the time this force acts?,height,lag,momentum,rate,C,Physics,Mechanics
"What type of mammals are characterized by detailed development of the hands and feet, a shortened snout, and a large brain?",amphibians,primates,apes,mammles,B,Biology,Zoology
What process allows an individual to develop from a single cell into an organism with trillions of cells?,cell division,cell transition,Cell multiplication,cell function,A,Biology,Reproductive Biology
What do you call the membrane-bounded droplets that have some properties of cells?,membranes.,rods,sporozoans,protocells,D,Biology,Cell Biology
Bees are naturalized on every continent except which?,North America,Australia,Africa,antarctica,D,Biology,Zoology
"In arthropods, coxal glands and malphigian tubules perform what role?",ingestion,excretion,reproduction,photosynthesis,B,Biology,Zoology
What is the ultimate source of energy for all life on earth?,the sun,Mars,its core,the moon,A,Biology,Ecology
What do you call compounds whose properties are different because their atoms are bonded together in different arrangements?,isotopes,isomers,mixtures,ionic compounds,B,Chemistry,Inorganic Chemistry
What celestial object has been visited by manned spacecraft and is easily seen from earth?,venus,the Sun,Jupiter,moon,D,Physics,Astronomy
What do you call a condition caused by mutations in one or more genes?,genetic disorder,mutation disorder,intrinsic disorder,evolutionary disorder,A,Biology,Genetics
"What is the common term for erythrocytesare, specialized cells that circulate delivering oxygen to cells and are formed from stem cells in the bone marrow?",white blood cells,plateletes,monocytes,red blood cells,D,Biology,Cell Biology
When do glaciers deposit their sediment?,when they move,when they form,when they melt,when they are new,C,Earth Sciences,Geology
Terrestrial biomes are determined mainly by what?,population,climate,landscape,element,B,Biology,Ecology
What are scientists able to determine about stars using emission and absorption spectra?,shape,size,distance,composition,D,Physics,Astronomy
What transmits nerve impulses to other cells?,fats,neurons,muscles,ions,B,Biology,Neuroscience
The active transport of ions across the membrane causes an electrical gradient to build up across the what?,colloidal membrane,plasma membrane,components membrane,cells membrane,B,Biology,Cell Biology
What process determines which of two fossils is older or younger than the other?,difference dating,relative dating,differential dating,curve dating,B,Earth Sciences,Geology
Under which process do living things with beneficial traits produce more offspring?,differentiation,migration,evolution,natural selection,D,Biology,Evolutionary Biology
"Biceps brachii, brachialis, and brachioradialis work to flex what part of the body?",forearm,foot,leg,lungs,A,Biology,Anatomy/Physiology
"Glucose, fructose, and galactose are hexose sugars, which contain six atoms of what element?",carbon,hydrogen,oxygen,nitrogen,A,Biology,Biochemistry
"When an action and reaction occur, what is transferred from one object to the other, yet in combination it remains the same?",momentum,matter,force,energy,A,Physics,Mechanics
Which two planetary bodies have humans walked on?,Mars and Jupiter,The Sun and Mars,Earth and Saturn,earth and the moon,D,Physics,Astronomy
The pion can only be created by violating the conservation of what?,quantum physics,mass-energy,time-space,momentum,B,Physics,Nuclear and Particle Physics
What are named for their “spiny skin”?,echinoderms,reptiles,arachnids,amphibians,A,Biology,Zoology
What is formed when sperm mixes with secretions from the various other glands of the reproductive system?,testosterone,semen,urine,hormone,B,Biology,Reproductive Biology
"Some plants have stolons, or stems, that run along the ground and are commonly called what?",shoots,stages,runners,roots,C,Biology,Botany
"What in the skin dilates, or widens, in order to increase blood flow to the bodys surface?",veins,pores,tear ducts,blood vessels,D,Biology,Anatomy/Physiology
What burns to produce the white light in fireworks displays?,magnesium in air,helium in air,nitrogen in air,oxygen in air,A,Chemistry,Inorganic Chemistry
Solids can be divided into amorphous solids and which other group?,distinct solids,crystalline solids,morphous solids,acrystalline solids,B,Chemistry,Physical Chemistry
Some earthworms can also reproduce asexually by fragmentation followed by what?,germination,regeneration,fertilization,digestion,B,Biology,Reproductive Biology
"Most crustaceans have separate sexes, so they reproduce sexually using what?",pod and eggs,eggs and pod,eggs and sperm,asexual reproduction,C,Biology,Reproductive Biology
Visible light is one type of this radiation?,neutron,electromagnetic,Ionizing,Gamma,B,Physics,Optics
Double-replacement reactions generally occur between substances in what kind of solution?,solid,reactive,aqueous,saline,C,Chemistry,Inorganic Chemistry
What happens to the recessive traits in the offspring of a hybridization?,they disappear,remain recessive,they dominate,they replicate,A,Biology,Genetics
"What is a small, spherical compartment separated by at least one lipid layer from the cytosol?",cuticle,capillary,cortex,vesicle,D,Biology,Cell Biology
How can natural resources be classified from a human point of view?,renewable or reversible,renewable or nonrenewable,recyclable or reusable,present or nonrenewable,B,Environmental Science,Environmental Science
What are the two types of endoplasmic reticulum?,rough & smooth,thick & smooth,rough & thin,rough & thick,A,Biology,Cell Biology
We know from what type of waves produced by earthquakes that parts of the interior of the earth are liquid?,volcanic,seismic,electromagnetic,kinetic,B,Earth Sciences,Geology
Radiocarbon is useful for dating relatively young materials with what element as their base?,oxygen,hydrogen,nitrogen,carbon,D,Earth Sciences,Geology
Why are eutherian mammals sometimes called placental mammals?,reacts placental connection,complex placental connection,identical placental connection,minor placental connection,B,Biology,Zoology
"What is the name for the division of the cytoplasm in eukaryotic cells, resulting in two genetically identical daughter cells?",cytokinesis,vegetative division,mitosis,metamorphosis,A,Biology,Cell Biology
Ground tissue forms the interior of the stem. the large central vacuoles of ground tissue cells fill with water to support the plant. the cells may also store what?,fuel,Water,energy,food,D,Biology,Cell Biology
Insect wings are part of the exoskeleton and attached to the what?,neck,head,spines,thorax,D,Biology,Zoology
What was the informal female name given to the adult fossil found in ethiopia and thought to be over 3 million years old?,aunt,alice,linda,lucy,D,Earth Sciences,Geology
What is defined as the spreading of white light into its full spectrum of wavelengths?,dispersion,saturation,immersion,combustion,A,Physics,Optics
"What is used in the growth, development, functioning and reproduction of all known living organisms and many viruses?",viruses,dna,bacteria,enzymes,B,Biology,Genetics
"When methane burns, what is produced along with carbon dioxide?",hydrogen,nitrogen,water,oxygen,C,Chemistry,Organic Chemistry
What land mammal has the longest gestation period?,african elephant,Rhino,Giraffe,Asian elephant,A,Biology,Zoology
"Two kinds of sex hormones are of particular importance in females: progesterone, which prepares the uterus for pregnancy and prevents the further release of eggs from the ovaries during pregnancy, and the estrogens, which are mainly responsible for the development of female secondary sexual characteristics, such as breast development and increased deposition of this?",muscle,blood,bone,fat,D,Biology,Reproductive Biology
Restriction enzymes or restriction endonucleases are prokaryotic enzymes that recognize and cut what at specific sequences?,mitochondria,bacteria,dna,rna,C,Biology,Biochemistry
What are chemical reactions represented by?,liquid equations,nuclear equations,carbon equations,chemical equations,D,Chemistry,Organic Chemistry
The length of the sloped surface of a ramp is referred to as what?,output distance,input distance,accumulation distance,furlong,B,Physics,Mechanics
"Producers, primary consumers, higher-level consumers, and decomposers are levels in what?",food chain,food model,energy chain,food flowchart,A,Biology,Ecology
"Parthenogenis in komodo dragons is an example of what kind of reproduction, whereby offspring are created from just one parent?",natural reproduction,organic reproduction,asexual reproduction,benthic reproduction,C,Biology,Reproductive Biology
"Over time, deposited sediments may harden into what?",fossils,rocks,coral,deltas,B,Earth Sciences,Geology
What is the most useful quantity for counting particles?,the mole,the coefficient,the periodic table,the vector,A,Physics,Nuclear and Particle Physics
What is the failure of replicated chromosomes during meiosis to separate known as?,regression,pollenation,nondisjunction,separation,C,Biology,Genetics
"In angiosperms, flowers and fruits are adaptations essential for what process?",death,reproduction,variation,photosynthesis,B,Biology,Reproductive Biology
Through what part do exocrine glands discharge their contents?,tubular ducts,capillaries,follicles,urethra,A,Biology,Anatomy/Physiology
"Where do plankton, nekton, and benthos live?",in the oceans,deserts,arctic,forests,A,Biology,Marine Biology
What gland is a butterfly-shaped organ located in the neck anterior to the trachea?,pineal gland,thyroid gland,pituitary gland,adrenal gland,B,Biology,Anatomy/Physiology
What cause the rippled surface of the ocean?,waves,tides,winds,earthquakes,A,Earth Sciences,Oceanography
What small glands are abundant within the mucous membranes of the mouth and tongue?,hypothalamus glands,retinal glands,localized glands,salivary glands,D,Biology,Anatomy/Physiology
What is the term for the development of an embryo inside an egg within the mother’s body until it hatches?,ovovivipary,asexual reproduction,pregnancy,spawning,A,Biology,Reproductive Biology
Where does carbohydrate digestion begin in the body?,stomach,mouth,intestines,throat,B,Biology,Anatomy/Physiology
When did new plants start sprouting after the forest fire?,two weeks later,two months later,five months later,two days later,B,Biology,Botany
What are the largest known proteins called?,titins,sporozoans,obscures,aminos,A,Biology,Biochemistry
"Metals, fossil fuels, and water are all examples of what type of resource?",ores,recyclables,natural resources,renewable resources,C,Environmental Science,Environmental Science
What is the force that causes centripetal acceleration?,pressure,centripetal force,gravity,Tension Force,B,Physics,Mechanics
Pressure and ________ are directly proportional at a constant volume?,precipitation,heating,temperature,speed,C,Physics,Thermodynamics
What is the process by which plants capture the energy of sunlight and use carbon dioxide from the air (and water) to make their own food called?,photochemistry,spermatogenesis,atherosclerosis,photosynthesis,D,Biology,Botany
"Categorized based on how they produce their mrna using the baltimore classification method, what consist of a nucleic acid core surrounded by a protein capsid with or without an outer lipid envelope?",viruses,bacteria,amphibians,parasites,A,Biology,Biochemistry
Primary alcohols are oxidized to form what?,aldehydes,oxides,alloys,enzymes,A,Chemistry,Organic Chemistry
What type of fertilization do most reptiles use to reproduce?,mechanical,external,internal,asexual,C,Biology,Reproductive Biology
Visible light is part of what spectrum?,mechanical spectrum,electromagnetic spectrum,eclipse spectrum,molecular spectrum,B,Physics,Optics
Amino acids are made by which kind of plastid?,leucoplasts,glucoplasts,neuroplasts,sporozoans,A,Biology,Biochemistry
The cell starting meiosis is called a what?,secondary oocyte,primary oocyte,primary gamete,zygote,B,Biology,Cell Biology
A wave is the transfer of energy through what else?,matter,air,liquid,gas,A,Physics,Acoustics
What nest of cells protect the egg as it matures in the ovary?,the follicle,the tube,the clump,the epidermis,A,Biology,Cell Biology
Why do beer brewers add yeast to the wort?,reduce alcohol,add carbonation,increase longevity,to make alcohol,D,Biology,Microbiology
Amino acids broken down by metabolic process are mostly recycled into new what?,hormones,lipids,enzymes,proteins,D,Biology,Biochemistry
Screws move objects to a higher elevation by increasing what?,torque,velocity,force applied,kinetic energy,C,Physics,Mechanics
What is the second state of photosynthesis?,glover cycle,Phillip cycle,calvin cycle,morton cycle,C,Biology,Biochemistry
What is the only amphibian without legs?,frogs,alligators,newts,caecilians,D,Biology,Zoology
Most organisms could not survive without what being present to speed up biochemical reactions?,enzymes,lipids,vitamins,hormones,A,Biology,Biochemistry
