Question,A,B,C,D,E,Correct Option,Sub-Branch
a coin is tossed 8 times . what is the probability of getting exactly 7 heads ?, 1 / 8 , 1 / 16 , 1 / 32 , 1 / 64 , 1 / 128,C,Probability
"when 3 fair coins are tossed together , what is the probability of getting 2 tails ?", 1 / 2 , 1 / 3 , 1 / 4 , 3 / 4 , 2 / 3,A,Probability
find the probability that a leap year selected at random will have 53 mondays, 6 / 7 , 5 / 7 , 4 / 7 , 3 / 7 , 2 / 7,E,Probability
lola rolls a die 3 times . what is the probability that she gets a 4 on the last one of the 3 rolls ?, 215 / 216 , 216 , 1 / 216 , none , 2,A,Probability
"a bag contains 3 blue and 5 white marbles . one by one , marbles are drawn out randomly until only two are left in the bag . what is the probability c that out of the two , one is white and one is blue ?", 15 / 56 , 41 / 56 , 13 / 28 , 15 / 28 , 5 / 14,D,Probability
there are 9 pairs of socks and 2 socks are worn from that such that the pair of socks worn are not of the same pair . what is the number of pair that can be formed ., 62 , 70 , 72 , 71 , 76,C,Probability
"if 4 people are selected from a group of 7 married couples , what is the probability that none of them would be married to each other ?", 1 / 33 , 2 / 33 , 1 / 3 , 16 / 33 , 47 / 84,E,Probability
a bag contains 6 black and 5 white balls . one ball is drawn at random . what is the probability that the ball drawn is white ?, 3 / 4 , 5 / 11 , 1 / 7 , 1 / 8 , 4 / 3,B,Probability
jane and thomas are among the 8 people from which a committee of 3 people is to be selected . how many different possible committees of 3 people can be selected from these 8 people if at least one of either jane or thomas is to be selected ?, 24 , 28 , 32 , 36 , 40,D,Probability
"a basket contains 7 apples , of which 1 is spoiled and the rest are good . if we select 2 apples from the basket simultaneously and at random , what is the probability that the 2 apples selected will include the spoiled apple ?", 1 / 5 , 2 / 7 , 2 / 9 , 3 / 5 , 4 / 11,B,Probability
two unbiased coins are tossed . find the probability of getting two heads ?, 1 / 2 , 1 / 3 , 1 / 4 , 2 / 3 , 3 / 5,C,Probability
"when you draw 2 dices together , find the probability of getting a total of 6 ?", 3 / 13 , 2 / 31 , 5 / 36 , 7 / 41 , 7 / 43,C,Probability
three unbiased coins are tossed . what is the probability of getting at least 2 tails ?, 0.75 , 0.5 , 0.25 , 0.2 , 0.3,B,Probability
three unbiased coins are tossed . what is the probability of getting all tails ?, 7 / 8 , 1 / 2 , 3 / 8 , 1 / 4 , 1 / 8,E,Probability
how many cubes of 4 cm edge can be cut out of a cube of 28 cm edge, 343 , 232 , 216 , 484 , none of these,A,Probability
three coins are tossed . find the probability of at least 1 head and 1 tail ?, 1 / 2 , 1 / 4 , 3 / 4 , 7 / 8 , 1 / 8,C,Probability
"a certain junior class has 1,200 students and a certain senior class has 800 students . among these students , there are 60 siblings pairs , each consisting of 1 junior and 1 senior . if 1 student is to be selected at random from each class , what is the probability that the 2 students selected at will be a sibling pair ?"," 3 / 40,000 "," 1 / 3,600 "," 9 / 2,000 ", 1 / 60 ," 1 / 16,000",E,Probability
"a box contains 24 electric bulbs , out of which 4 are defective . two bulbs are chosen at random from this box . the probability that at least one of these is defective is", 4 / 19 , 7 / 19 , 12 / 19 , 24 / 77 , none,D,Probability
"a meeting has to be conducted with 5 managers . find the number of ways in which the managers may be selected from among 7 managers , if there are 2 managers who refuse to attend the meeting together .", 6 , 8 , 10 , 11 , 15,D,Probability
"what is the probability that a number selected from number 1 to 30 is prime number , when each of the given numbers is equally likely to be selected ?", 10 / 30 , 20 / 30 , 1 , 5 / 30 , 15 / 30,A,Probability
two mba admissions committees are to be formed randomly from 6 second year mbas with 3 members each . what is the probability e that jane will be on the same committee as albert ?, 12 % , 20 % , 33 % , 40 % , 50 %,D,Probability
"from a pack of cards , two cards are drawn one after the other , with replacement . what is the probability that the first card is a club and the second card is a king or queen ?", 2 / 13 , 3 / 13 , 1 / 26 , 1 / 52 , 3 / 52,C,Probability
in a throw of dice what is the probability of ge æ « ing number greater than 2, 2 / 3 , 1 / 3 , 1 / 5 , 1 / 6 , none of these,A,Probability
"if a coin has an equal probability of landing heads up or tails up each time it is flipped , what is the probability that the coin will land tails up exactly once in 3 consecutive flips ?", 0.125 , 0.375 , 0.325 , 0.5 , 0.666,B,Probability
"there is a 20 % chance sandy will visit china this year , while there is a 60 % chance that she will visit malaysia this year . what is the probability that sandy will visit either china or malaysia this year , but not both ?", 40 % , 48 % , 56 % , 64 % , 72 %,C,Probability
"a bag contains 6 white marbles and 6 black marbles . if each of 6 girls and 6 boys randomly selects and keeps a marble , what is the probability that all of the girls select the same colored marble ?", 1 / 35 , 1 / 10 , 1 / 3 , 1 / 462 , 1 / 252,D,Probability
a fair coin is tossed 13 times . what is the probability of getting more heads than tails in 13 tosses ?, 1 / 2 , 63 / 128 , 4 / 7 , 61 / 256 , 63 / 64,A,Probability
what is the probability that company g ' s advertisement will be one of the first two be shown during the first commercial break ?, 1 / 225 , 1 / 30 , 1 / 15 , 2 / 15 , 4 / 15,D,Probability
what is the probability of drawn an ace or a space or both from a dew of cards ., 14 / 52 , 15 / 52 , 16 / 52 , 17 / 52 , 18 / 52,C,Probability
there are 4 red shoes & 4 green shoes . if two of red shoes are drawn what is the probability of getting red shoes, 1 / 3 , 1 / 14 , 3 / 14 , 1 / 15 , 1 / 16,C,Probability
"how many different pairs of numbers ( s , t ) such that s = 3 t can be obtained if s and t are selected from the set of number { 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 11 , 12 }", 1 , 2 , 3 , 4 , 5,E,Probability
a number is selected at random from the first 30 natural numbers . what is the probability that the number is a multiple of either 5 or 12 ?, 17 / 30 , 2 / 5 , 7 / 15 , 4 / 15 , 11 / 30,D,Probability
"a meeting has to be conducted with 5 managers . find the number of ways in which the managers be selected from among 9 managers , if 2 managers will not attend the meeting together ?", 35 , 91 , 120 , 126 , 150,B,Probability
"a bag contains 10 red jellybeans and 10 blue jellybeans . if 3 jellybeans are removed one at a time , at random and are not replaced , what is the probability q that all 3 jellybeans removed from the bag are blue ?", 9 / 100 , 2 / 19 , 1 / 8 , 3 / 20 , 3 / 10,B,Probability
"a box contains 100 balls , numbered from 1 to 100 . if 3 balls are selected at random and with replacement from the box . if the 3 numbers on the balls selected contain two odd and one even . what is the probability g that the first ball picked up is odd numbered ?", 0 , 1 / 3 , 1 / 2 , 2 / 3 , 1,D,Probability
"a bag contains 6 red , 3 yellow and 4 green balls . 3 balls are drawn randomly . what is the probability that the balls drawn contain balls of different colours ?", 2 / 7 , 3 / 5 , 3 / 11 , 1 / 4 , 7 / 16,D,Probability
there are 8 pairs of socks and 2 socks are worn from that such that the pair of socks worn are not of the same pair . what is the number of pair that can be formed ., 53 , 54 , 55 , 56 , 57,D,Probability
"30 ladies and 60 gentlemen are present at a party . there are 23 couples among them . if a lady and a gentleman is selected at random , what is the probability that they will be a couple ?", 1 / 200 , 1 / 100 , 1 / 50 , 1 / 40 , 23 / 1800,E,Probability
"if 4 people are selected from a group of 5 married couples , what is the probability that none of them would be married to each other ?", 1 / 33 , 2 / 33 , 1 / 3 , 16 / 33 , 8 / 21,E,Probability
in how many ways 7 boys and 7 girls can be seated in a row so that boys and girls are alternate ?, 50803200 , 50328000 , 50003280 , 50703200 , 50603200,A,Probability
"if two integers x , y ( x > y ) are selected from - 10 to 5 ( inclusive ) , how many possible cases are there ?", 105 , 120 , 190 , 210 , 240,B,Probability
"john and peter are among the 9 players a volleyball coach can choose from to field a 6 - player team . if all 6 players are chosen at random , what is the probability of choosing a team that includes john and peter ?", 3 / 10 , 4 / 11 , 5 / 12 , 6 / 13 , 7 / 15,C,Probability
a bag contains 6 black and 9 white balls . one ball is drawn at random . what is the probability that the ball drawn is white ?, 4 , 4 / 3 , 4 / 5 , 4 / 9 , 3 / 5,E,Probability
"what is the probability that the sum of two dice will yield a 7 , and then when both are thrown again , their sum will again yield a 7 ? assume that each die has 6 sides with faces numbered 1 to 6 .", 1 / 144 , 1 / 36 , 1 / 12 , 1 / 6 , 1 / 3,B,Probability
"how many positive integers less than 600 can be formed using the numbers 1 , 2 , 3 , 5 and 6 for the digits ?", 48 , 130 , 66 , 68 , 84,B,Probability
"there is a 20 % chance sandy will visit china this year , while there is a 70 % chance that she will visit malaysia this year . what is the probability that sandy will visit either china or malaysia this year , but not both ?", 44 % , 48 % , 54 % , 62 % , 70 %,D,Probability
"a box contains 3 red balls and 3 black balls . one by one , every ball is selected at random without replacement . what is the probability that the fourth ball selected is black ?", 1 / 4 , 1 / 2 , 1 / 2 , 2 , 2 / 3,D,Probability
a father purchased dress for his 3 daughters . the dresses are of same color but diff size and they are kept in dark room . what is probability that all the 3 will not choose there own dress ?, 1 / 3 , 2 / 3 , 1 / 2 , 3 / 4 , 3 / 7,A,Probability
the probability that a number selected at random from the first 100 natural numbers is a composite number is ?, 2 / 3 , 3 / 5 , 3 / 4 , 3 / 2 , 5 / 2,D,Probability
"a meeting has to be conducted with 4 managers . find the number of ways in which the managers be selected from among 7 managers , if 2 managers will not attend the meeting together ?", 25 , 20 , 35 , 36 , 38,A,Probability
the chance of rain on any given day in tel - aviv is 50 % . what is the probability q that it rained in tel - aviv on exactly 4 out of 6 randomly chosen days ?, 15 / 64 , 30 / 64 , 1 / 2 , 1 / 4 , 52 / 64,A,Probability
find the probability that a leap year selected at random will not have 53 sundays or mondays ., 6 / 7 , 5 / 7 , 4 / 7 , 3 / 7 , 2 / 7,C,Probability
what is the probability of getting a sum 9 from two throw of a dice ?, 1 / 6 , 1 / 8 , 1 / 9 , 1 / 12 , 1 / 13,C,Probability
"how many positive integers less than 500 can be formed using the numbers 1 , 2,3 , and 5 for digits , each digit being used only once .", 34 , 677 , 197 , 177 , 191,A,Probability
two mba admissions committees are to be formed randomly from 6 second year mbas with 3 members each . what is the probability w that jane will be on the same committee as albert ?, 12 % , 20 % , 33 % , 40 % , 50 %,D,Probability
"kim has 9 pairs of shoes ; each pair is a different color . if kim randomly selects 2 shoes without replacement from the 18 shoes , what is the probability that she will select 2 shoes of the same color ?", 2 / 5 , 11 / 5 , 1 / 9 , 1 / 17 , 1 / 5,D,Probability
what is the probability of getting exactly 2 heads in a single throw of five fair coins ?, 1 / 4 , 3 / 8 , 3 / 16 , 5 / 16 , 11 / 32,D,Probability
"potato chips are on sale , buy 2 get 1 free . there are only 9 bags of chips left ( 4 plain and 5 bbq ) . a shopper randomly grabs 3 bags . what is the probability the shopper will grab exactly 3 bags of bbq chips ?", 2 / 3 , 1 / 3 , 1 / 5 , 5 / 42 , 7 / 42,D,Probability
"in a bag containing 3 balls , a white ball was placed and then 1 ball was taken out at random . what isthe probability that theextracted ball would turn on to be white , if all possible hypothesis concerning the color of the balls that initially in the bag were equally possible ?", 2 / 3 , 5 / 8 , 3 / 5 , 4 / 7 , 5 / 8,B,Probability
"6 students are equally divided into 3 groups , then , the 3 groups were assigned to 3 different topics . how many different arrangements w are possible ?", 30 , 60 , 90 , 180 , 540,C,Probability
"if a card is drawn from a well shuffled pack of cards , the probability of drawing a spade or a king is ?", 4 / 15 , 4 / 10 , 4 / 18 , 4 / 13 , 4 / 11,D,Probability
"45 girls and 60 boys are present at a party . there are 17 girl - boy are in relationship among them . if a girl and a boy is selected at random , what is the probability that they will be not a couple ?", 17 / 2900 , 2683 / 2700 , 2496 / 2700 , 2369 / 2700 , 198 / 270,B,Probability
"x , y , and z are all unique numbers . if x is chosen randomly from the set { 9 , 10 , 11 } and y and z are chosen randomly from the set { 20 , 21 , 22 , 23 } , what is the probability that x and y are prime and z is not ?", 1 / 20 , 1 / 12 , 2 / 15 , 3 / 10 , 1 / 7,B,Probability
there is a 75 % chance that tigers will not win at all during the whole season . there is a 25 % chance that germany will not play at all in the whole season . what is the greatest possible probability that the tigers will win and germany will play during the season ?, 55 % , 60 % , 70 % , 75 % , 80 %,D,Probability
"wink , inc . follows a certain procedure that requires two tasks to be finished independently in order for a job to be done . on any given day , there is a 7 / 8 probability that task 1 will be completed on time , and a 1 / 5 probability that task 2 will be completed on time . on a certain day , what is the probability that task 1 will be completed on time , but task 2 will not ?", 1 / 20 , 3 / 40 , 13 / 40 , 7 / 10 , 13 / 22,D,Probability
"in a bag containing 5 balls , a white ball was placed and then 1 ball was taken out at random . what is the probability that the extracted ball would turn on to be white , if all possible hypothesis concerning the color of the balls that initiallyin the bag wereequally possible ?", 2 / 3 , 5 / 8 , 5 / 4 , 5 / 6 , 6 / 7,B,Probability
"a box contains 2 red balls and 5 black balls . one by one , every ball is selected at random without replacement . what is the probability that the fourth ball selected is black ?", 1 / 4 , 7 / 5 , 1 / 2 , 5 / 8 , 2 / 3,B,Probability
"in a certain animal population , for each of the first 3 months of life , the probability that an animal will die during that month is 1 / 10 . for a group of 500 newborn members of the population , approximately how many would be expected to survive the first 3 months of life ?", 340 , 346 , 352 , 365 , 370,D,Probability
three unbiased coins are tossed . what is the probability of getting 1 heads and 1 tail ?, 3 / 4 , 1 / 4 , 3 / 8 , 7 / 8 , 1 / 8,B,Probability
"in a certain animal population , for each of the first 3 months of life , the probability that an animal will die during that month is 1 / 10 . for a group of 400 newborn members of the population , approximately how many would be expected to survive the first 3 months of life ?", 240 , 246 , 252 , 292 , 298,D,Probability
in how many ways 6 boys and 6 girls can be seated in a row so that boys and girls are alternate ?, 1063800 , 1083600 , 1036800 , 1053800 , 1073600,C,Probability
"a meeting has to be conducted with 5 managers . find the number of ways in which the managers may be selected from among 8 managers , if 2 managers will not attend the meeting together .", 1.35 , 2.91 , 3.12 , 4.36 , 5.15,D,Probability
"if x is to be chosen at random from the set { 1 , 2 , 3 } and y is to be chosen at random from the set { 5 , 6 , 7 } , what is the probability that xy will be even ?", 1 / 6 , 1 / 3 , 1 / 2 , 2 / 3 , 5 / 6,E,Probability
"there are 6 red balls and 4 blue balls in a jar . if 3 balls are selected from the jar , what is the probability that all 3 balls selected are red balls ?", 1 / 3 , 1 / 6 , 5 / 12 , 5 / 24 , 7 / 24,B,Probability
"a bag contains 3 red , 2 yellow and 4 green balls . 3 balls are drawn randomly . what is the probability that the balls drawn contain balls of different colours ?", 2 / 7 , 3 / 5 , 3 / 11 , 1 / 4 , 7 / 16,A,Probability
rhoda tosses a coin 5 times . find the probability of getting exactly 4 heads ., 5 / 32 , 6 / 32 , 5 / 16 , 4 / 32 , 8 / 32,A,Probability
"in a certain animal population , for each of the first 3 months of life , the probability that an animal will die during that month is 1 / 10 . for a group of 600 newborn members of the population , approximately how many would be expected to survive the first 3 months of life ?", 438 , 446 , 452 , 462 , 470,A,Probability
"a box contains 3 red balls and 4 black balls . one by one , every ball is selected at random without replacement . what is the probability that the fourth ball selected is black ?", 7 / 4 , 1 / 2 , 1 / 2 , 5 / 8 , 2 / 3,A,Probability
"when tossed , a certain coin has an equal probability of landing on either side . if the coin is tossed 4 times , what is the probability that it will land on the same side each time ?", 1 / 4 , 1 / 6 , 1 / 8 , 1 / 12 , 1 / 16,C,Probability
"from a pack of 52 cards , two cards are drawn at random together at random what is the probability of both the cards being kings ?", 1 / 221 , 8 / 221 , 4 / 589 , 4 / 587 , 7 / 654,A,Probability
two unbiased coins are tossed . what is the probability of getting two heads ?, 1 / 2 , 1 / 4 , 2 / 3 , 1 / 5 , 2 / 7,B,Probability
"if a certain coin is flipped , the probability that the coin will land heads is 1 / 2 . if the coin is flipped 5 times , what is the probability that it will land heads up on the first 2 flips but not on the last 3 flips ?", 1 / 2 , 1 / 4 , 1 / 8 , 1 / 16 , 1 / 32,E,Probability
"a bag contains 15 red jellybeans and 15 blue jellybeans . if 3 jellybeans are removed one at a time , at random and are not replaced , what is the probability that all 3 jellybeans removed from the bag are blue ?", 9 / 100 , 2 / 19 , 1 / 8 , 3 / 20 , 3 / 10,E,Probability
"in a single throw of a die , what is the probability of getting a number greater than 4 ?", 1 / 3 , 1 / 4 , 2 / 3 , 2 / 5 , 3 / 7,A,Probability
in how many ways can 22 books on english and 20 books on hindi be placed in a row on a shelf so that two books on hindi may not be together ?, 4586 , 5896 , 2415 , 1771 , 1881,D,Probability
jane and thomas are among the 6 people from which a committee of 3 people is to be selected . how many different possible committees of 3 people can be selected from these 6 people if at least one of either jane or thomas is to be selected ?, 12 , 14 , 16 , 18 , 20,C,Probability
in how many ways 6 boys and 4 girls can be seated in a row so that they are alternative ?, 14420 , 12620 , 17280 , 21200 , 24560,C,Probability
"there is a 50 % chance jen will visit chile this year , while there is a 50 % chance that she will visit madagascar this year . what is the probability that jen will visit either chile or madagascar this year , but not both ?", 25.0 % , 50.0 % , 62.5 % , 75.0 % , 80.0 %,B,Probability
