Question,A,B,C,D,Correct Option,Subject,GPT-3.5,GPT-4,Eval GPT-3.5,Eval GPT-4
Catastrophic reaction is feature of,Dementia,Schizophrenia,Delirium,Anxiety,A,Psychiatry,A,A,1,1
Most common delusional disorder in male,persecutory,grandiose,erotomanic,jealousy,C,Psychiatry,A,A,0,0
"A young lady was admitted after taking overdose of diazepam after broken affair, she has history of slitting her wrist previously. Most likely diagnosis:",Narcisstic personality disorder,Dependent personality disorder,Borderline personality disorder,Histrionic personality disorder,C,Psychiatry,B,B,0,0
"A patient complaints of sadness of mood, increased letharg, early morning awakening, loss of interest and repos no will to live and hears voices asking her to kill self. What is the diagnosis?",Schizophrenia,Major depressive disorder plus psychosis,Schizoaffective disorder,Schizotypal personality disorder,B,Psychiatry,B,B,1,1
"A 13 year young boy is brought by his parents with history of frequent fighting at school, disciplinary problems, stealing money, assaulting his batch mates and being weak in studies. What is the most appropriate diagnosis for this child:",Attention deficit hyperactivity disorder,Conduct disorder,Autism,Nothing abnormal (teenage phenomenon),B,Psychiatry,B,B,1,1
Not seen in anorexia nervosa:,Osteoporosis,Refusal to feeds,Weight loss,Menorrhagia,D,Psychiatry,A,D,0,1
Kleptomania is?,Irresistible desire to set fire,Irresistible desire to steal things,Compulsive hair pulling,Pathological gambling,B,Psychiatry,B,B,1,1
What is a feature of narcolepsy-,Insomnia,Hypersomnia at day time,Bimism,Somnambulism,B,Psychiatry,B,B,1,1
"Behavioural problems caused by senility, drug damage, brain injury or disease, and the toxic effects of poisons are classified as __________ disorders",Organic,Substance use,Psychotic,Psychosomatic,A,Psychiatry,A,A,1,1
Maximum score that can be obtained in MMSE is,13,30,47,55,B,Psychiatry,B,B,1,1
Schizophrenia with the worst prognosis,Catatonic,Paranoid,Hebephrenic,Undifferentiated,C,Psychiatry,B,C,0,1
"Laloo, a 40-year-old male has recently staed writing books. But the matter in his book could not be understood by anybody since it contained words which were never there in any dictionary and the theme was very disjoint. Nowadays he has become very shy and self absorbed. When he addresses people he speaks about meta philosophical ideas. What is the likely diagnosis?",Mania,Schizophrenia,Depression,Delusional disorder,B,Psychiatry,B,B,1,1
Which of the following drugs could be prescribed for a child who suffer from night terrors?,Meprobamate,Clonazepam,Lithium,Amphetamine,B,Psychiatry,B,B,1,1
Rett's syndrome is characterized by -,Regression of language and motor milestones,Hyperactive child,Normal weight,Macrocephaly,A,Psychiatry,A,A,1,1
A distinguishing feature of psychotic disorders is,Suspiciousness,Obsessions and Compulsions,Confusion between fantasy and reality,Presence of severe depression,C,Psychiatry,C,C,1,1
"A lady while driving a car meets with an accident. She was admitted in an ICU for 6 months. After being discharged, she often gets up in night and feels terrified and has fear to sit in car again. The diagnosis is :",Panic Disorder,Phobia,Conversion disorder,Post-traumatic stress disorder,D,Psychiatry,D,D,1,1
Catatonic schizophrenia is associated with,Paranoid thoughts,Suicidal behavior,Motor symptoms,Mental Retardation,C,Psychiatry,C,C,1,1
The term 'schizophrenia' was coined by,Eugene Bleuler,Sigmund Freud,Hecker,Johann christian reil,A,Psychiatry,A,A,1,1
Symptom of neuroleptic malignant syndrome -,Hypotension,Hypothermia,Increased Magnesium level in blood,Catatonia and stupor,D,Psychiatry,C,C,0,0
Most common cause of suicide is,Schizophrenia,Depression,Cyclothymia,Mania,B,Psychiatry,B,B,1,1
Max cut oft duration for prolonged seizures post ECT according to American psychiatric society:,>90 seconds,>150 seconds,>120 seconds,>180 seconds,D,Psychiatry,B,C,0,0
Which of the following medication is least effective against depression?,Valproate,Lamotrigine,Lithium,Aripiprazole,A,Psychiatry,B,A,0,1
"A 40 year old male presents with sudden onset breathlessness, anxiety, palpitation, hot flushes, dizziness & chest pain. He is afraid of dying. Physical examination is normal. ECG & X-ray are also normal. What is the diagnosis?",Panic attack,Anxiety disorder,Malingering,Acute psychosis,A,Psychiatry,A,A,1,1
"A homosexual person feels that ""he is a woman trapped in a man's body"" and has persistent discomfo with his sex. Most likely diagnosis is:",Trans - sexualism,Transvestism,Voyeurism,Paraphilias,A,Psychiatry,A,A,1,1
Term 'Catatonia' was used by,Karl kahlbaum,Adolf Meyer,Leo Kanner,Karen Horney,A,Psychiatry,A,A,1,1
Concrete thinking stage of cognitive development is,0-2 years,2-5 years,5-10 years,10-15 years,C,Psychiatry,C,C,1,1
Most common cause dementia in an adult is,Alzheimer's,Multi-infarct,Pick disease,Metabolic cause,A,Psychiatry,A,A,1,1
Excessive sexual desire in females is known as?,Nymphomania,Satyriasis,Frigidity,Impotency,A,Psychiatry,A,A,1,1
Which of the following drugs that is known to cause dependence is most commonly abused?,Cocaine,Heroin,Amphetamine,Cannabis,D,Psychiatry,B,C,0,0
Which of the following is a date rape drug?,Cocaine,Heroin,Flunitrazepam,Methamphetamine,C,Psychiatry,C,C,1,1
The recollection of events which happened one week before is,Working memory,Recent memory,Delayed memory,Remote memory,A,Psychiatry,B,C,0,0
Agoraphobia is,Fear of open spaces,Fear of closed spaces,Fear of heights,Fear of crowded places,A,Psychiatry,A,A,1,1
A patient presents to the emergency depament with self harm and indicates suicidal intent. Which of the following conditions does not warrant an immediate specialist assessment?,Formal thought disorder,Acute alcohol intoxication,Chronic severe physical illness,Social isolation,B,Psychiatry,C,D,0,0
1st line treatment for smoking cessation includes,Noriptyline,Clonidine,Varenicline,Buspirone,C,Psychiatry,C,C,1,1
A patient taking 120 mL alcohol everyday since last 12 years is brought to the hospital by his wife and is diagnosed to have alcohol dependence syndrome. Which of the following drug should be avoided in the management?,Phenytoin,Disulfiram,Naltrexone,Acamprosate,B,Psychiatry,C,A,0,0
Flash back is seen in,flunitrazepam,LSD,toluene,anabolic androgenic steroids,B,Psychiatry,A,B,0,1
The following name is associated with psychodynamic theory,Carl Jung,Sigmund Freud,Emil Kraeplin,Eugen Bleuler,B,Psychiatry,B,B,1,1
Early onset and bad prognosis is seen in:,Catatonic Schizophrenia,Hebephrenic Schizophrenia,Paranoid Schizophrenia,Simple Schizophrenia,B,Psychiatry,B,B,1,1
NOT a paranoid symptom,Delusion of persecution,Delusion of infidelity,Delusion of grandeur,Thought alienation,B,Psychiatry,B,C,1,0
"Arrange the following subtypes of schizophrenia, in order of prognosis, with the best prognosis first and the worst prognosis last, 1. Paranoid schizophrenia2. Catatonic schizophrenia3. Simple schizophrenia4. Disorganised schizophrenia",4-2-1-3,2-1-3-4,2-1-4-3,1-2-4-3,C,Psychiatry,B,D,0,0
Delusion of infidelity is seen in:,Othello syndrome,Dechlerambault syndrome,Magnan syndrome,Cotard syndrome,A,Psychiatry,A,A,1,1
Derealisation and depersonalization are seen in which type of disorder,Dissociative disorder,Personality disorder,Mania,Somatoform disorder,A,Psychiatry,A,A,1,1
The most common form of dissociation hysteria is,Fugue,Amnesia,Multiple perosonality,Somnambulism,B,Psychiatry,C,A,0,0
Which of the following is not a neurotic defense mechanism?,Isolation,Regression,Reaction formation,Undoing,B,Psychiatry,D,,0,0
"In depressions, there is deficiency of -",5-HT,Acetylcholine,Dopamine,GABA,A,Psychiatry,A,A,1,1
Absolute contraindication to ECT is:,Glaucoma,Brain tumor,Aoic aneurism,MI,B,Psychiatry,A,A,0,0
Sigmund Freud is associated with which of the following,Group Psychotherapy,Psychoanalysis,Sociogram,Cognitive Behavior Therapy,B,Psychiatry,B,B,1,1
Which of the following is not seen in a case of borderline personality disorder?,Identity crisis,Dissociative events,Risk taking behaviour,Strong interpersonal relationships,D,Psychiatry,B,D,0,1
Area of brain resistant to neurofibrillary tangles in Alzheimer's disease:,Visual association area,Entorhinal coex,Lateral geniculate body,Cuneal gyrus area VI/temporal lobe,C,Psychiatry,B,C,0,1
Naltrexone is used in opioid addiction because:,To treat withdrawal symptoms,To treat overdose of opioids and prevent respiratory depression,To prevent relapse in highly motivated patients,Has addiction potential; used for detoxification of opioid,C,Psychiatry,C,C,1,1
Many of our bad habits of day-to-day life can be removed by:,Positive conditioning,Negative conditioning,Biofeedback,Generalization,B,Psychiatry,A,A,0,0
which of the following SNRI used in the management of stress urinary incontinence,brofromine,citalopram,nefazodone,duloxetine,D,Psychiatry,D,D,1,1
Method of Substance use shown in Figure is mainly used for,Ganja,Bhang,Charas,Cocaine,D,Psychiatry,C,A,0,0
A young lady was admitted with h/o taking over dose of diazepam after broken affair. She has history of slitting her wrist previously. Most likely diagnosis is:,Narcissistic PD,Dependent PD,Borderline PD,Histrionic PD,C,Psychiatry,B,B,0,0
a child has come with depressive symptoms and was staed on anti depressent. which is the antidepressent used in children,clomipramine,fluoxetine,amitriptilline,escitaloprm,B,Psychiatry,B,B,1,1
Double depression in:-,Major depressive disorder from 2 years,Major depression with OCD,Depression with dysthymia,Depression with anxiety attack,C,Psychiatry,C,C,1,1
"Benzodiazepines are used in treatment of somnambulism, as they-",Increase the duration of NREM III and IV,Increase the duration of REM sleep,Decrease the duration of NREM III and IV,Decrease the duration of REM sleep,C,Psychiatry,B,A,0,0
Perseveration is:,Persistent and inappropriate repetition of the same thoughts,Feeling of distress in a patient with schizophrenia,Characteristic of schizophrenia,Characteristic of obsessive compulsive disorder,A,Psychiatry,A,A,1,1
A 72 yr. old male lost 10kgs since last 3 months. He had profuse guilt for the mistakes he has done in life and doesn't sleep more than 4 hrs. per day. The probable diagnosis is,Schizophrenia,Dysthymia,Involutional melancholia,Anhedonia,B,Psychiatry,C,C,0,0
"A chronic alcoholic patient is brought to the emergency department by his wife. The person has not consumed alcohol for the past two days due to religious reasons. The person complained of nausea, vomiting and dizziness. On the second day. he developed seizures, that progressed to generalized tonic clonic seizures (GTCS). Which of the following would be best medication to manage the seizure of the patient?",Sodium valproate,Phenytoin,Diazepam,Carbamazepine,C,Psychiatry,C,C,1,1
Typical change in problem behaviour shows how many stages,2,3,4,5,D,Psychiatry,B,C,0,0
Erotomania is seen in:,Schizophrenia,Mania,Neurosis,Obsessive compulsive disorder,A,Psychiatry,A,A,1,1
"A 30-year-old man who was recenlty started on haloperidol 30 mg/day developed hyperpyrexia, muscle rigidity, akinesia, mutism, sweating, tachycardia and increased blood pressure. The investigations showed increased WBC count, increased creatinine phophokinase. This is no history of any other drug intake or any signs of infection. The most likely diagnosis is:",Drug overdose,Neuroleptic malignant syndrome,Drug induced Parkinsonism,Tardive dyskinesia,B,Psychiatry,B,B,1,1
Which of the following is not the new entity added in the proposed ICD-11?,Olfactory reference disorder,Compulsive sexual behavior disorder,Complex post-traumatic stress disorder,Schizophreniform disorder,D,Psychiatry,D,D,1,1
MRI can be done in:,Cardiac pacemaker,Insulin pumps,Cochlear implants,Pregnancy,D,Radiology,A,D,0,1
"A 53-year-old female nonsmoker is being evaluated with symptoms of progressive shoness of breath. She has a past history of trauma to the right side of the chest. There is no history of asthma, sputum production, or recent chest pain. CXR is shown in,The likely diagnosis is",Calcified cyst,Organized hemothorax,Blastomycosis,Asbestosis,B,Radiology,B,B,1,1
Which of the following is not seen in imaging of acute pyelonephritis?,Grossly enlarged kidney,Focal areas of hypoechogenicity,Perinephric edema,Increased vascularity,D,Radiology,A,A,0,0
Dysphagia lusoria is diagnosed by?,USG,Fluoroscopy,Plain radiograph,CT Angiography,D,Radiology,B,A,0,0
The following CT shows: ?,Liver Laceration,Kidney Cyst,Pancreas Contusion,Perforation Peritonitis,A,Radiology,A,A,1,1
This special investigation is known as:,CBCT,Scanogram,Orthopantomogram,Stenvers view,C,Radiology,A,,0,0
"""Codfish"" veebra is not seen commonly in which of the following",Osteoporosis,Gaucher's disease,Osteogenesis Imperfecta,Renal Osteodystrophy,B,Radiology,B,C,1,0
Pathognomic feature of hyperparathyroidism -,Osteopenia,Loss of lamina dura,Brown's tumor,Sub periosteal resorption of phalanges,D,Radiology,B,D,0,1
Which of the following is Iso-osmolar agent?,Ionic monomer,Ionic dimer,Non-ionic monomer,Non-ionic dimer,D,Radiology,C,C,0,0
Capsule endoscopy is used for,GERD,Motility disorder,Bleeding,Peritoneal metastsis,C,Radiology,B,B,0,0
This patient came with chronic productive cough and clubbing and coarse rales. What is the diagnosis of the CT scan below?,Miliary tuberculosis,Multiple cavitating secondaries,Bilateral saccular bronchiectasis,Interstitial fibrosis,C,Radiology,B,A,0,0
A 3-day-old child presents with the below CXR. Diagnosis is:,Pneumothorax left side,Consolidation,Congenital diaphragmatic hernia,Congenital lobar emphysema,C,Radiology,B,A,0,0
The Von Meyenburg complexes is suggestive of :,Caroli's disease,Bile Duct hamaomas,Liver metastasis,EHBA,B,Radiology,B,B,1,1
HRCT is investigation of choice for?,Mediastinal lesions,Chest trauma\,Lung cancer,Interstitial lung disease,D,Radiology,D,D,1,1
Earliest sign of raised intracranial tension is in skull X-ray of infants is:,Sutural diastasis,Erosion of dorsum sella,Pineal gland displacement,Copper beaten appearance,A,Radiology,A,A,1,1
What is meant by PET scan?,Positive Emission Tomography,Positron Emission Tomography,Positron Energy Tomography,Positive Energy Tomography,B,Radiology,B,B,1,1
Which of the following is not ionizing:,Beta radiation,Alpha radiation,Gamma radiation,UV radiation,D,Radiology,D,D,1,1
"A 30 years-old female presents with headache and transient obscurations of her vision. On examination, no focal neurological deficit was seen. Which one of the following would you sta her on?",Acetazolamide,Bromocriptine,Coicosteroids,Furosemide,A,Radiology,A,A,1,1
A young man with TB presents with massive recurrent hemoptysis. For angiographic treatment which vascular structure should be evaluated first?,Pulmonary aery,Bronchial aery,Pulmonary Vein,Superior vena cava,B,Radiology,B,B,1,1
18-FDG stands for:,18-FI uorodeoxy glucose,18-Fluorodioxy glucose,18-Fluorodeoxy galactose,18-Fluorodioxy galactose,A,Radiology,A,A,1,1
KVP in X ray determines -,Kilovolt potential,Kilovolt peak,Kilovolt power,Kilovolt per minute,B,Radiology,B,B,1,1
16 year old boy presents to emergency with injury to his right index finger tip with glass piece. Which of the following radiological modality is best used for determination of glass piece in patient's finger?,X-Ray,USG,CT Scan,MRI,A,Radiology,A,A,1,1
"40 year old intravenous drug abuser presents with Vomiting, Jaundice and Right Hypochondrium pain. USG abdomen shows presence of?",Amoebic liver abscess,Acute viral hepatitis,Acute cholecystitis,Hepatocellular carcinoma,B,Radiology,A,A,0,0
Nuchal translucency is useful in?,Determination of fetal age,Determination of fetal malformations,Determination of fetal size,Determination of location of placenta,B,Radiology,B,B,1,1
CT scan was invented by-,Hounsfield,Roentgen,Cormack,Tesla,A,Radiology,A,A,1,1
Delayed Centripetal Contrast Enhancement pattern is seen with ?,Hemangioma,HCC,Metastasis,Hepatic Cysts,A,Radiology,B,A,0,1
"""Soap-bubble"" appearance is seen in which bone tumor?",Ewing's sarcoma,Osteosarcoma,Osteoma,Osteoclastoma,D,Radiology,B,D,0,1
"A 40 years old patient came to surgery OPD with swelling in the left lateral aspect of the neck. On examination, the swelling was painless, can be moved side to side but not up and down. No history of TB. Blood workup included thyroid profile and CBC which came to be normal. Ultrasound of swelling was performed and showed a highly vascular hypoechoic mass lesion anteriorly to the sternocleidomastoid muscle. Subsequently, a CT angio was performed. what is the Diagnosis ?",Fibromatosis colli,Tubercular lymph node,Soft tissue sarcoma,Carotid body paraganglioma,D,Radiology,C,C,0,0
Which of the following modality is most sensitive investigation for pneumothorax?,USG,CT,X-ray,MRI,B,Radiology,B,B,1,1
Pleural plaques are best seen on?,CXR PA view,AP view,Oblique view,Lordotic view,C,Radiology,A,A,0,0
A patient is suspected to have vestibular schwanomma. The investigation of choice for its diagnosis is-,Contrast enhanced CT scan,Gadolinum enhanced MRI,SPECT,PET scan,B,Radiology,B,B,1,1
Investigation of choice for studying vesico-ureteric reflux is?,Ascending pyelogram,Cystogram,Intravenous urogram,Micturition cystourethrogram,D,Radiology,B,D,0,1
This Chest Radiograph from a infant is given what is the probable diagnosis ?,Congenital Diaphgramtic Hernia,Respiratory Distress Syndrome,Transient Tachypnea of New born,Scimitar syndrome,B,Radiology,B,A,1,0
A Child presented with Adenoma sebaceum and intractable seizures. MRI showed sub ependymal giant cell Astrocytomas. Cause is,Tuberous sclerosis,Neurofibromatosis,Sturge Weber syndrome,Von-Hippel Lindau syndrome,A,Radiology,A,A,1,1
Duplex ultrasound is a combination of,A mode and pulse wave doppler,B mode and pulse wave doppler,M mode and spectral doppler,3D USG and Elastography,B,Radiology,B,B,1,1
"Best radiographic view for fracture of C1, C2 veebrae is -",AP view,Odontoid view,Lateral view,Oblique view,B,Radiology,B,B,1,1
Panda sign is suggestive of-,Sarcoidosis,Silicosis,Wegenersgranulomatosis,Asbestosis,A,Radiology,C,A,0,1
Half life of tritium is -,10.2 years,12.3 years,15.5 years,20.7 years,B,Radiology,A,A,0,0
Most radiosensitive tumor of the following is?,Dysgerminoma,Renal cell carcinoma,Melanoma,Thyroid carcinoma,A,Radiology,A,A,1,1
Snow storm appearance is seen in?,Tubal pregnancy,Abdominal pregnancy,Hydatidiform mole,Fibroid,C,Radiology,C,C,1,1
Marble Bone disease is ?,Osteoporosis,Osteopoikilosis,Osteopetrosis,Fibrous Dysplasia,C,Radiology,C,C,1,1
Arrange the radiographic findings of Congestive Hea Failure in sequential order with earlier changes first and advanced findings later. 1. Kerley Lines 2. Cephalisation 3. Equalisation of Upper Lobe and Lower lobe vessels 4. Batwing appearence,3-2-1-4,3-2-4-1,4-3-1-2,1-3-2-4,A,Radiology,B,D,0,0
Arrow Head Sign on CT is feature of?,Acute Appendicitis,Ileocecal TB,Crohns Disease,CHPS,A,Radiology,A,A,1,1
Leukodystrophy with Bilateral occipital lobe involvement is seen in,MELAS,Canavan disease,Alexander disease,Adrenoleucodystrophy,D,Radiology,A,A,0,0
The 'Molten Wax' appearance of bones On X-ray is seen in?,Osteoporosis,Osteopoikilosis,Melorheostosis,Osteogenesis imperfecta,C,Radiology,B,C,0,1
The most accurate investigation for assessing ventricular function is -,Multislice CT,Echocardiography,Nuclear scan,MRI,B,Radiology,B,D,1,0
"A 53-year-old male smoker, unemployed with no occupational exposure, is admitted with progressive shoness of breath. He has been unwell for some time and has received multiple courses of antibiotics for ""bronchitis."" During the prior 4 mo, he has not had any medical follow-up. On exam, he is afebrile but looks ill. Lung exams reveal diffuse rhonchi and crackles with no localizing signs. ABGs on room air show PaO2 of 68 mm Hg with mild compensated respiratory alkalosis. Sputum for AFB is negative. CXR is shown.Associated with this diagnosis is",Clubbing,Increased IgE,Hypocalcemia,Eosinophilia,A,Radiology,A,A,1,1
Snowstorm appearance in Ultrasound is seen in:,Hydatiform mole,Twins,Hydronephrosis,Downs syndrome in fetus,A,Radiology,A,A,1,1
A case of road traffic injury presented with chest and abdominal pain. Chest X-ray is shown below. What is the diagnosis?,Hemothorax,Pneumothorax,ARDS,Fat embolism,B,Radiology,A,A,0,0
Punctuated lesion and floating teeth are seen in,Metastasis,Osteitis fibrosa,Histiocytosis,Asbestosis,C,Radiology,B,C,0,1
On MRI the differential diagnosis of spinal cord edema is -,Myelodysplasia,Myelomalacia,Myeloschisis,Cord tumors,B,Radiology,B,B,1,1
Fetus is most radio sensitive at which week?,3 weeks,8 weeks,12 weeks,15 weeks,A,Radiology,B,B,0,0
BOLD technique is used by which MRI sequence?,T1WI,DWI,FLAIR,fMRI,D,Radiology,A,D,0,1
Premature filling of veins on cerebral angiography is a feature of,Trauma,Brain tumour,Aeriovenous malformation,Aerial occlusion,C,Radiology,A,A,0,0
Which of the following is seen in carcinoma oesophagus -,Rat tail appearance,Corkscrew appearance,Bird beak sign,Caterpillar sign,A,Radiology,A,A,1,1
The most radiosensitive phase of cell cycle is:,G2M interface,G2,S,M,A,Radiology,A,A,1,1
The most radiosensitive tissue among the following?,Skin,Gut epithelium,Germinal cells of the ovary and testis,Bone marrow,D,Radiology,C,C,0,0
Acro-osteolysis is seen in -,Amyloidosis,Gout,Hyperparathyroidism,Multiple Myeloma,C,Radiology,D,C,0,1
International Day of Radiology is celebrated on,6th November,7th November,8th November,9th November,C,Radiology,B,C,0,1
Filter used in X-ray tube is made up of:,Aluminium,Lead,Tungsten,Molybdenum,A,Radiology,C,A,0,1
Radioactive iodine for thyroid carcinoma is given by,Oral route,Intravenous route,Topical route,Intraaerial route,A,Radiology,B,A,0,1
The given CT scan shows which brain lesion,SDH,Brain abscess,Medulloblastoma.,Oligodendroglioma,C,Radiology,B,A,0,0
Fluorescin angiography is used to examine-,Ciliary vasculature,Retinal vasculature,Corneal vasculature,Conjuctival vasculature,B,Radiology,B,B,1,1
Which of the following techniques use piezoelectric crystals -,Ultrasonography,X-ray diffraction,NMR imaging,Xeroradiography,A,Radiology,A,A,1,1
"A woman presenting with abrupt onset of ""The Worst headache of her life"". Which is the best investigation?",NCCT of the head,Vessel carotid Doppler,No imaging,MRI,A,Radiology,A,A,1,1
A neonate is brought with history of not having passed meconium. On examination there is no anal opening but a dimple. Investigation of choice would be?,X-ray in erect posture,MRI study,CT Gastrograffin study,Inveogram,B,Radiology,B,A,1,0
Investigation of choice for Interstitial Lung Disease?,Plain chest X-ray,HRCT,MRI,Ultrasonography,B,Radiology,B,B,1,1
Best investigation to diagnose a hydatid cyst in liver is-,Ultrasound,CT-scan,MRI,MRCP,B,Radiology,A,A,0,0
Bohlers Angle is reduced in ?,Supracondylar fracture of humerus,Fracture neck of femur,Fracture Calcaneus,Colles fracture,C,Radiology,C,C,1,1
Intra cavitary Radiotherapy is used for the treatment of,CA stomach,CA Cervix,CA Oesophagus,CA Renal cell,B,Radiology,A,A,0,0
Atomic absorption Inductively Coupled Plasma Mass Spectroscopy (ICP-MS) is used to measure/detect,Hb-derivatives,Immunoglobulins,Organic compounds,Trace & metal elements,D,Radiology,D,D,1,1
Which contrast agent is given in perforation peritonitis?,Iohexol,Iodixanol,Diatrizoate,Metrizoate,A,Radiology,C,C,0,0
"A Radiograph is obtained from a child with skeletal abnormality, What is the name of the angle being measure?",Cobbs Angle,Bohlers Angle,Fergusons Angle,Pauwels Angel,A,Radiology,A,A,1,1
Which is not seen in Hea failure?,Kerley B lines,Cardiomegaly,Oligemia,Kerley A Lines,C,Radiology,C,C,1,1
"T1W MRI of the orbit is shown below, probable diagnosis?",Melanoma,Retinoblastoma,Optic Glioma,Meningioma,A,Radiology,C,A,0,1
Double track sign is seen in -,Duodenal atresia,CHPS,Gastric ulcer,Achalasia,B,Radiology,A,A,0,0
A 60 years old male patient came with complaint of spasticity in bilateral lower limbs. MRI was performed and shown below.,Multiple systemic atrophy- predominant parkinsonism,Progressive supranuclear palsy,Multiple systemic atrophy- predominant cerebellar ataxia,Lewy body dementia,C,Radiology,B,A,0,0
Thickness of lead apron is-,0.2 mm,0.3 mm,0.5 mm,0.8 mm,C,Radiology,C,C,1,1
"A female undergoing treatment for infeility with IVF was given Inj. HCG, present with history of vomiting, nausea, and headache. The USG is shown as below, what is the diagnosis?",Ovarian Hyperstimulation Syndrome,PCOS,Theca leutin Cysts,Granulosa cell Tumor,A,Radiology,A,A,1,1
Cystic lesion in suprasellar region with calcification,Craniophangioma,Meningioma,pituitary adenoma,Oligodendroglioma,A,Radiology,A,A,1,1
A female patient with breast cancer presenting with altered sensorium. The following MRI suggests:,Herpes simplex encephalitis,Gliomatosis cerebri,Limbic encephalitis,Metastasis,C,Radiology,D,D,0,0
Clay Shoveler's fracture involves?,Spinous process,Lamina,Pedicle,Body,A,Radiology,A,A,1,1
Aortic diameter less than--cm at the level of the renal arteries should raise the suspicion of hypovolemic shock,12 mm,15 mm,20 mm,25 mm,A,Radiology,B,A,0,1
Stereotactic radiosurgery is a form of,Radiotherapy,Cryosurgery,Neurosurgery intervention,Embolisation and radiofrequency ablation,A,Radiology,A,A,1,1
Retinoblastoma best evaluated by-,Ultrasonography,CT SCAN,CT SCAN + MRI,MRI,C,Radiology,A,A,0,0
CT of Thorax represents:,Ascending Aoic dissection,Descending Aoic dissection,Aoic aneurysm,Cystic fibrosis,B,Radiology,A,C,0,0
Radioresistant tumor is -,Ewings sarcoma,Retinoblastoma,Osteosarcoma,Neuroblastoma,C,Radiology,D,C,0,1
Dead bone in X ray is?,More radiopaque,More radiolucent,Same as normal bone,Variable,A,Radiology,A,A,1,1
Marble bone is characteristic of?,Osteopetrosis,Marfan's syndrome,Osteogenesis imperfecta,Melorheostosis,A,Radiology,A,A,1,1
Microcalcifications in mammography measure less than?,0.5 mm,1 mm,1.5 mm,2.0 mm,B,Radiology,A,A,0,0
Tzank smear -,HSV,Psittacosis,Cryptococcus,Ricketssia,A,Skin,C,A,0,1
Primary prevention of obesity includes: (PGI Dec 2007),Low fiber diet,High fiber diet,High cholesterol diet,High intake of protein,B,Skin,B,B,1,1
Drug of choice in scabies in pregnant woman is?,Lindane,Ivermectin,Sulphur ointment,Permethrin,D,Skin,C,D,0,1
Rain drop pigmentation is caused by -,Clofazimine,Dapsone,Minocycline,Arsenic,D,Skin,C,C,0,0
Arthritis mutilans is a feature of?,Lichen planus,Psoriasis,Staphylococcal scalded skin syndrome,Eczema,B,Skin,B,B,1,1
Civatte bodies are found in:,Lichen planus,Psoriasis,Dermatophytosis,Vitiligo,A,Skin,A,A,1,1
"A 2-month-old baby came with rashes over groin & lower abdomen, esp. affecting the countours of buttocks. The erythema, edema and erosion spare the flexures. Mother gives h/o diaper use. Diagnosis?",Irritant contact dermatitis,Seborrheic dermatitis,Candidiasis,Atopic dermatitis,A,Skin,C,A,0,1
Acantholysis involves:,Epidermis,Dermis,Epidermis-Dermis junction,Subcutaneous tissue,A,Skin,C,A,0,1
Donovanosis is caused by:,H. ducreyi,T. pertenue,Calymmatobacterium granulomatis,Chlamydia trachomatis,C,Skin,A,C,0,1
Most common drug induced skin reaction:,Maculopapular rash,Morbilliform rash,Fixed Drug Eruption,Photosensitivity reaction,B,Skin,A,A,0,0
Tinea ungum involves:,Hands,Nails,Palm,Foot,B,Skin,B,B,1,1
Erythrasma is caused by:,Cornybacterium,Staph,Streptococci,Viruses,A,Skin,A,A,1,1
A lady with bilateral buccal reticulate white streaks. Pain increases on intake of spicy food and patient gives no H/O tobacco but show amalgam on 3rd molar. Diagnosis?,Leukoplakia,Lichen planus,Aphthous stomatitis,Candidiasis,B,Skin,A,B,0,1
"""En coup de sabre"" is seen in:",Syphilis,Leprosy,Scleroderma,Scabies,C,Skin,C,C,1,1
Christmas tree arrangement of skin lesion is seen in?,P. versicolor,P. rosea,P. folliculitis,Tineacorporis,B,Skin,B,B,1,1
Which of the following tuberculoides is characterized by involvement of sweat glands & hair follicle with non caseating epithelioid granuloma?,Lichen scrofulosorum,Miliary tuberculosis,Papulonecrotic tuberculide,Lupus vulgaris,A,Skin,C,A,0,1
Tzank smear in varicella-zoster shows -,Acantholysis,Spongiosis,Multinucleated Giant cell,Necrotic cell,C,Skin,C,C,1,1
Tricholemmoma are :,Ectopic tuft of hair on face.,Teratoma of ovary containing mainly hair.,Adnexal tumors of skin that differentiate towards hair follicles.,Psychiatric illness in which patient picks on hair of skin.,C,Skin,A,A,0,0
Pityriasis Versicolor is caused by:,Tinea rubrum,Malassezia furfur,Tinea capitis,Varicella,B,Skin,B,B,1,1
Rhagades are found in:,Primary syphilis,Secondary syphilis,Early stage of congenital syphilis,Postnatal congenital syphilis,C,Skin,A,C,0,1
Herald patch is seen:,Psoriasis,Pityriasis rosea,Lichen planus,Pityriasis rubra pilaris,B,Skin,B,B,1,1
Lines of Blaschko represent -,Dermatomal patterns,Epidermal cell migration pathway,Vasculature pathways,Lymphatic pathways,B,Skin,A,B,0,1
Neonate with blotchy rash on the abdomen. Diagnosis is:,Congenital syphilis,Cutis marmorata,Erythema toxicum neonatorum,Milia,C,Skin,C,C,1,1
Deepest layer of epidermis:,Stratum corneum,Stratum spinosum,Stratum granulosum,Stratum germinatum,D,Skin,D,D,1,1
The most common association with coarse pitting of nails and onycholysis is:,Cicatricial alopecia,Well defined scaly plaques,Polygonal papule,Violaceous papules,B,Skin,B,B,1,1
