Question,A,B,C,D,Correct Option,Subject,GPT-3.5,GPT-4
Derealisation and depersonalization are seen in which type of disorder,Dissociative disorder,Personality disorder,Mania,Somatoform disorder,A,Psychiatry,A,A
The most common form of dissociation hysteria is,Fugue,Amnesia,Multiple perosonality,Somnambulism,B,Psychiatry,C,A
Which of the following is not a neurotic defense mechanism?,Isolation,Regression,Reaction formation,Undoing,B,Psychiatry,D,
"In depressions, there is deficiency of -",5-HT,Acetylcholine,Dopamine,GABA,A,Psychiatry,A,A
Absolute contraindication to ECT is:,Glaucoma,Brain tumor,Aoic aneurism,MI,B,Psychiatry,A,A
Sigmund Freud is associated with which of the following,Group Psychotherapy,Psychoanalysis,Sociogram,Cognitive Behavior Therapy,B,Psychiatry,B,B
Which of the following is not seen in a case of borderline personality disorder?,Identity crisis,Dissociative events,Risk taking behaviour,Strong interpersonal relationships,D,Psychiatry,B,D
Area of brain resistant to neurofibrillary tangles in Alzheimer's disease:,Visual association area,Entorhinal coex,Lateral geniculate body,Cuneal gyrus area VI/temporal lobe,C,Psychiatry,B,C
Naltrexone is used in opioid addiction because:,To treat withdrawal symptoms,To treat overdose of opioids and prevent respiratory depression,To prevent relapse in highly motivated patients,Has addiction potential; used for detoxification of opioid,C,Psychiatry,C,C
Many of our bad habits of day-to-day life can be removed by:,Positive conditioning,Negative conditioning,Biofeedback,Generalization,B,Psychiatry,A,A
which of the following SNRI used in the management of stress urinary incontinence,brofromine,citalopram,nefazodone,duloxetine,D,Psychiatry,D,D
Method of Substance use shown in Figure is mainly used for,Ganja,Bhang,Charas,Cocaine,D,Psychiatry,C,A
A young lady was admitted with h/o taking over dose of diazepam after broken affair. She has history of slitting her wrist previously. Most likely diagnosis is:,Narcissistic PD,Dependent PD,Borderline PD,Histrionic PD,C,Psychiatry,B,B
a child has come with depressive symptoms and was staed on anti depressent. which is the antidepressent used in children,clomipramine,fluoxetine,amitriptilline,escitaloprm,B,Psychiatry,B,B
Double depression in:-,Major depressive disorder from 2 years,Major depression with OCD,Depression with dysthymia,Depression with anxiety attack,C,Psychiatry,C,C
"Benzodiazepines are used in treatment of somnambulism, as they-",Increase the duration of NREM III and IV,Increase the duration of REM sleep,Decrease the duration of NREM III and IV,Decrease the duration of REM sleep,C,Psychiatry,B,A
Perseveration is:,Persistent and inappropriate repetition of the same thoughts,Feeling of distress in a patient with schizophrenia,Characteristic of schizophrenia,Characteristic of obsessive compulsive disorder,A,Psychiatry,A,A
A 72 yr. old male lost 10kgs since last 3 months. He had profuse guilt for the mistakes he has done in life and doesn't sleep more than 4 hrs. per day. The probable diagnosis is,Schizophrenia,Dysthymia,Involutional melancholia,Anhedonia,B,Psychiatry,C,C
"A chronic alcoholic patient is brought to the emergency department by his wife. The person has not consumed alcohol for the past two days due to religious reasons. The person complained of nausea, vomiting and dizziness. On the second day. he developed seizures, that progressed to generalized tonic clonic seizures (GTCS). Which of the following would be best medication to manage the seizure of the patient?",Sodium valproate,Phenytoin,Diazepam,Carbamazepine,C,Psychiatry,C,C
Typical change in problem behaviour shows how many stages,2,3,4,5,D,Psychiatry,B,C
Erotomania is seen in:,Schizophrenia,Mania,Neurosis,Obsessive compulsive disorder,A,Psychiatry,A,A
"A 30-year-old man who was recenlty started on haloperidol 30 mg/day developed hyperpyrexia, muscle rigidity, akinesia, mutism, sweating, tachycardia and increased blood pressure. The investigations showed increased WBC count, increased creatinine phophokinase. This is no history of any other drug intake or any signs of infection. The most likely diagnosis is:",Drug overdose,Neuroleptic malignant syndrome,Drug induced Parkinsonism,Tardive dyskinesia,B,Psychiatry,B,B
Which of the following is not the new entity added in the proposed ICD-11?,Olfactory reference disorder,Compulsive sexual behavior disorder,Complex post-traumatic stress disorder,Schizophreniform disorder,D,Psychiatry,D,D
MRI can be done in:,Cardiac pacemaker,Insulin pumps,Cochlear implants,Pregnancy,D,Radiology,A,D
"A 53-year-old female nonsmoker is being evaluated with symptoms of progressive shoness of breath. She has a past history of trauma to the right side of the chest. There is no history of asthma, sputum production, or recent chest pain. CXR is shown in,The likely diagnosis is",Calcified cyst,Organized hemothorax,Blastomycosis,Asbestosis,B,Radiology,B,B
Which of the following is not seen in imaging of acute pyelonephritis?,Grossly enlarged kidney,Focal areas of hypoechogenicity,Perinephric edema,Increased vascularity,D,Radiology,A,A
Dysphagia lusoria is diagnosed by?,USG,Fluoroscopy,Plain radiograph,CT Angiography,D,Radiology,B,A
The following CT shows: ?,Liver Laceration,Kidney Cyst,Pancreas Contusion,Perforation Peritonitis,A,Radiology,A,A
This special investigation is known as:,CBCT,Scanogram,Orthopantomogram,Stenvers view,C,Radiology,A,
"""Codfish"" veebra is not seen commonly in which of the following",Osteoporosis,Gaucher's disease,Osteogenesis Imperfecta,Renal Osteodystrophy,B,Radiology,B,C
Pathognomic feature of hyperparathyroidism -,Osteopenia,Loss of lamina dura,Brown's tumor,Sub periosteal resorption of phalanges,D,Radiology,B,D
Which of the following is Iso-osmolar agent?,Ionic monomer,Ionic dimer,Non-ionic monomer,Non-ionic dimer,D,Radiology,C,C
Capsule endoscopy is used for,GERD,Motility disorder,Bleeding,Peritoneal metastsis,C,Radiology,B,B
This patient came with chronic productive cough and clubbing and coarse rales. What is the diagnosis of the CT scan below?,Miliary tuberculosis,Multiple cavitating secondaries,Bilateral saccular bronchiectasis,Interstitial fibrosis,C,Radiology,B,A
A 3-day-old child presents with the below CXR. Diagnosis is:,Pneumothorax left side,Consolidation,Congenital diaphragmatic hernia,Congenital lobar emphysema,C,Radiology,B,A
The Von Meyenburg complexes is suggestive of :,Caroli's disease,Bile Duct hamaomas,Liver metastasis,EHBA,B,Radiology,B,B
HRCT is investigation of choice for?,Mediastinal lesions,Chest trauma\,Lung cancer,Interstitial lung disease,D,Radiology,D,D
Earliest sign of raised intracranial tension is in skull X-ray of infants is:,Sutural diastasis,Erosion of dorsum sella,Pineal gland displacement,Copper beaten appearance,A,Radiology,A,A
What is meant by PET scan?,Positive Emission Tomography,Positron Emission Tomography,Positron Energy Tomography,Positive Energy Tomography,B,Radiology,B,B
Which of the following is not ionizing:,Beta radiation,Alpha radiation,Gamma radiation,UV radiation,D,Radiology,D,D
"A 30 years-old female presents with headache and transient obscurations of her vision. On examination, no focal neurological deficit was seen. Which one of the following would you sta her on?",Acetazolamide,Bromocriptine,Coicosteroids,Furosemide,A,Radiology,A,A
A young man with TB presents with massive recurrent hemoptysis. For angiographic treatment which vascular structure should be evaluated first?,Pulmonary aery,Bronchial aery,Pulmonary Vein,Superior vena cava,B,Radiology,B,B
18-FDG stands for:,18-FI uorodeoxy glucose,18-Fluorodioxy glucose,18-Fluorodeoxy galactose,18-Fluorodioxy galactose,A,Radiology,A,A
KVP in X ray determines -,Kilovolt potential,Kilovolt peak,Kilovolt power,Kilovolt per minute,B,Radiology,B,B
16 year old boy presents to emergency with injury to his right index finger tip with glass piece. Which of the following radiological modality is best used for determination of glass piece in patient's finger?,X-Ray,USG,CT Scan,MRI,A,Radiology,A,A
"40 year old intravenous drug abuser presents with Vomiting, Jaundice and Right Hypochondrium pain. USG abdomen shows presence of?",Amoebic liver abscess,Acute viral hepatitis,Acute cholecystitis,Hepatocellular carcinoma,B,Radiology,A,A
Nuchal translucency is useful in?,Determination of fetal age,Determination of fetal malformations,Determination of fetal size,Determination of location of placenta,B,Radiology,B,B
CT scan was invented by-,Hounsfield,Roentgen,Cormack,Tesla,A,Radiology,A,A
Delayed Centripetal Contrast Enhancement pattern is seen with ?,Hemangioma,HCC,Metastasis,Hepatic Cysts,A,Radiology,B,A
"""Soap-bubble"" appearance is seen in which bone tumor?",Ewing's sarcoma,Osteosarcoma,Osteoma,Osteoclastoma,D,Radiology,B,D
"A 40 years old patient came to surgery OPD with swelling in the left lateral aspect of the neck. On examination, the swelling was painless, can be moved side to side but not up and down. No history of TB. Blood workup included thyroid profile and CBC which came to be normal. Ultrasound of swelling was performed and showed a highly vascular hypoechoic mass lesion anteriorly to the sternocleidomastoid muscle. Subsequently, a CT angio was performed. what is the Diagnosis ?",Fibromatosis colli,Tubercular lymph node,Soft tissue sarcoma,Carotid body paraganglioma,D,Radiology,C,C
Which of the following modality is most sensitive investigation for pneumothorax?,USG,CT,X-ray,MRI,B,Radiology,B,B
Pleural plaques are best seen on?,CXR PA view,AP view,Oblique view,Lordotic view,C,Radiology,A,A
A patient is suspected to have vestibular schwanomma. The investigation of choice for its diagnosis is-,Contrast enhanced CT scan,Gadolinum enhanced MRI,SPECT,PET scan,B,Radiology,B,B
Investigation of choice for studying vesico-ureteric reflux is?,Ascending pyelogram,Cystogram,Intravenous urogram,Micturition cystourethrogram,D,Radiology,B,D
This Chest Radiograph from a infant is given what is the probable diagnosis ?,Congenital Diaphgramtic Hernia,Respiratory Distress Syndrome,Transient Tachypnea of New born,Scimitar syndrome,B,Radiology,B,A
A Child presented with Adenoma sebaceum and intractable seizures. MRI showed sub ependymal giant cell Astrocytomas. Cause is,Tuberous sclerosis,Neurofibromatosis,Sturge Weber syndrome,Von-Hippel Lindau syndrome,A,Radiology,A,A
Duplex ultrasound is a combination of,A mode and pulse wave doppler,B mode and pulse wave doppler,M mode and spectral doppler,3D USG and Elastography,B,Radiology,B,B
"Best radiographic view for fracture of C1, C2 veebrae is -",AP view,Odontoid view,Lateral view,Oblique view,B,Radiology,B,B
Panda sign is suggestive of-,Sarcoidosis,Silicosis,Wegenersgranulomatosis,Asbestosis,A,Radiology,C,A
Half life of tritium is -,10.2 years,12.3 years,15.5 years,20.7 years,B,Radiology,A,A
Most radiosensitive tumor of the following is?,Dysgerminoma,Renal cell carcinoma,Melanoma,Thyroid carcinoma,A,Radiology,A,A
Snow storm appearance is seen in?,Tubal pregnancy,Abdominal pregnancy,Hydatidiform mole,Fibroid,C,Radiology,C,C
Marble Bone disease is ?,Osteoporosis,Osteopoikilosis,Osteopetrosis,Fibrous Dysplasia,C,Radiology,C,C
Arrange the radiographic findings of Congestive Hea Failure in sequential order with earlier changes first and advanced findings later. 1. Kerley Lines 2. Cephalisation 3. Equalisation of Upper Lobe and Lower lobe vessels 4. Batwing appearence,3-2-1-4,3-2-4-1,4-3-1-2,1-3-2-4,A,Radiology,B,D
Arrow Head Sign on CT is feature of?,Acute Appendicitis,Ileocecal TB,Crohns Disease,CHPS,A,Radiology,A,A
Leukodystrophy with Bilateral occipital lobe involvement is seen in,MELAS,Canavan disease,Alexander disease,Adrenoleucodystrophy,D,Radiology,A,A
The 'Molten Wax' appearance of bones On X-ray is seen in?,Osteoporosis,Osteopoikilosis,Melorheostosis,Osteogenesis imperfecta,C,Radiology,B,C
The most accurate investigation for assessing ventricular function is -,Multislice CT,Echocardiography,Nuclear scan,MRI,B,Radiology,B,D
"A 53-year-old male smoker, unemployed with no occupational exposure, is admitted with progressive shoness of breath. He has been unwell for some time and has received multiple courses of antibiotics for ""bronchitis."" During the prior 4 mo, he has not had any medical follow-up. On exam, he is afebrile but looks ill. Lung exams reveal diffuse rhonchi and crackles with no localizing signs. ABGs on room air show PaO2 of 68 mm Hg with mild compensated respiratory alkalosis. Sputum for AFB is negative. CXR is shown.Associated with this diagnosis is",Clubbing,Increased IgE,Hypocalcemia,Eosinophilia,A,Radiology,A,A
Snowstorm appearance in Ultrasound is seen in:,Hydatiform mole,Twins,Hydronephrosis,Downs syndrome in fetus,A,Radiology,A,A
A case of road traffic injury presented with chest and abdominal pain. Chest X-ray is shown below. What is the diagnosis?,Hemothorax,Pneumothorax,ARDS,Fat embolism,B,Radiology,A,A
Punctuated lesion and floating teeth are seen in,Metastasis,Osteitis fibrosa,Histiocytosis,Asbestosis,C,Radiology,B,C
On MRI the differential diagnosis of spinal cord edema is -,Myelodysplasia,Myelomalacia,Myeloschisis,Cord tumors,B,Radiology,B,B
Fetus is most radio sensitive at which week?,3 weeks,8 weeks,12 weeks,15 weeks,A,Radiology,B,B
BOLD technique is used by which MRI sequence?,T1WI,DWI,FLAIR,fMRI,D,Radiology,A,D
Premature filling of veins on cerebral angiography is a feature of,Trauma,Brain tumour,Aeriovenous malformation,Aerial occlusion,C,Radiology,A,A
Which of the following is seen in carcinoma oesophagus -,Rat tail appearance,Corkscrew appearance,Bird beak sign,Caterpillar sign,A,Radiology,A,A
The most radiosensitive phase of cell cycle is:,G2M interface,G2,S,M,A,Radiology,A,A
The most radiosensitive tissue among the following?,Skin,Gut epithelium,Germinal cells of the ovary and testis,Bone marrow,D,Radiology,C,C
Acro-osteolysis is seen in -,Amyloidosis,Gout,Hyperparathyroidism,Multiple Myeloma,C,Radiology,D,C
International Day of Radiology is celebrated on,6th November,7th November,8th November,9th November,C,Radiology,B,C
Filter used in X-ray tube is made up of:,Aluminium,Lead,Tungsten,Molybdenum,A,Radiology,C,A
Radioactive iodine for thyroid carcinoma is given by,Oral route,Intravenous route,Topical route,Intraaerial route,A,Radiology,B,A
The given CT scan shows which brain lesion,SDH,Brain abscess,Medulloblastoma.,Oligodendroglioma,C,Radiology,B,A
Fluorescin angiography is used to examine-,Ciliary vasculature,Retinal vasculature,Corneal vasculature,Conjuctival vasculature,B,Radiology,B,B
Which of the following techniques use piezoelectric crystals -,Ultrasonography,X-ray diffraction,NMR imaging,Xeroradiography,A,Radiology,A,A
"A woman presenting with abrupt onset of ""The Worst headache of her life"". Which is the best investigation?",NCCT of the head,Vessel carotid Doppler,No imaging,MRI,A,Radiology,A,A
A neonate is brought with history of not having passed meconium. On examination there is no anal opening but a dimple. Investigation of choice would be?,X-ray in erect posture,MRI study,CT Gastrograffin study,Inveogram,B,Radiology,B,A
Investigation of choice for Interstitial Lung Disease?,Plain chest X-ray,HRCT,MRI,Ultrasonography,B,Radiology,B,B
Best investigation to diagnose a hydatid cyst in liver is-,Ultrasound,CT-scan,MRI,MRCP,B,Radiology,A,A
Bohlers Angle is reduced in ?,Supracondylar fracture of humerus,Fracture neck of femur,Fracture Calcaneus,Colles fracture,C,Radiology,C,C
Intra cavitary Radiotherapy is used for the treatment of,CA stomach,CA Cervix,CA Oesophagus,CA Renal cell,B,Radiology,A,A
Atomic absorption Inductively Coupled Plasma Mass Spectroscopy (ICP-MS) is used to measure/detect,Hb-derivatives,Immunoglobulins,Organic compounds,Trace & metal elements,D,Radiology,D,D
Which contrast agent is given in perforation peritonitis?,Iohexol,Iodixanol,Diatrizoate,Metrizoate,A,Radiology,C,C
"A Radiograph is obtained from a child with skeletal abnormality, What is the name of the angle being measure?",Cobbs Angle,Bohlers Angle,Fergusons Angle,Pauwels Angel,A,Radiology,A,A
Which is not seen in Hea failure?,Kerley B lines,Cardiomegaly,Oligemia,Kerley A Lines,C,Radiology,C,C
"T1W MRI of the orbit is shown below, probable diagnosis?",Melanoma,Retinoblastoma,Optic Glioma,Meningioma,A,Radiology,C,A
Double track sign is seen in -,Duodenal atresia,CHPS,Gastric ulcer,Achalasia,B,Radiology,A,A
A 60 years old male patient came with complaint of spasticity in bilateral lower limbs. MRI was performed and shown below.,Multiple systemic atrophy- predominant parkinsonism,Progressive supranuclear palsy,Multiple systemic atrophy- predominant cerebellar ataxia,Lewy body dementia,C,Radiology,B,A
Thickness of lead apron is-,0.2 mm,0.3 mm,0.5 mm,0.8 mm,C,Radiology,C,C
"A female undergoing treatment for infeility with IVF was given Inj. HCG, present with history of vomiting, nausea, and headache. The USG is shown as below, what is the diagnosis?",Ovarian Hyperstimulation Syndrome,PCOS,Theca leutin Cysts,Granulosa cell Tumor,A,Radiology,A,A
Cystic lesion in suprasellar region with calcification,Craniophangioma,Meningioma,pituitary adenoma,Oligodendroglioma,A,Radiology,A,A
A female patient with breast cancer presenting with altered sensorium. The following MRI suggests:,Herpes simplex encephalitis,Gliomatosis cerebri,Limbic encephalitis,Metastasis,C,Radiology,D,D
Clay Shoveler's fracture involves?,Spinous process,Lamina,Pedicle,Body,A,Radiology,A,A
Aortic diameter less than--cm at the level of the renal arteries should raise the suspicion of hypovolemic shock,12 mm,15 mm,20 mm,25 mm,A,Radiology,B,A
Stereotactic radiosurgery is a form of,Radiotherapy,Cryosurgery,Neurosurgery intervention,Embolisation and radiofrequency ablation,A,Radiology,A,A
Retinoblastoma best evaluated by-,Ultrasonography,CT SCAN,CT SCAN + MRI,MRI,C,Radiology,A,A
CT of Thorax represents:,Ascending Aoic dissection,Descending Aoic dissection,Aoic aneurysm,Cystic fibrosis,B,Radiology,A,C
Radioresistant tumor is -,Ewings sarcoma,Retinoblastoma,Osteosarcoma,Neuroblastoma,C,Radiology,D,C
Dead bone in X ray is?,More radiopaque,More radiolucent,Same as normal bone,Variable,A,Radiology,A,A
Marble bone is characteristic of?,Osteopetrosis,Marfan's syndrome,Osteogenesis imperfecta,Melorheostosis,A,Radiology,A,A
Microcalcifications in mammography measure less than?,0.5 mm,1 mm,1.5 mm,2.0 mm,B,Radiology,A,A
Tzank smear -,HSV,Psittacosis,Cryptococcus,Ricketssia,A,Skin,C,A
Primary prevention of obesity includes: (PGI Dec 2007),Low fiber diet,High fiber diet,High cholesterol diet,High intake of protein,B,Skin,B,B
Drug of choice in scabies in pregnant woman is?,Lindane,Ivermectin,Sulphur ointment,Permethrin,D,Skin,C,D
Rain drop pigmentation is caused by -,Clofazimine,Dapsone,Minocycline,Arsenic,D,Skin,C,C
Arthritis mutilans is a feature of?,Lichen planus,Psoriasis,Staphylococcal scalded skin syndrome,Eczema,B,Skin,B,B
Civatte bodies are found in:,Lichen planus,Psoriasis,Dermatophytosis,Vitiligo,A,Skin,A,A
"A 2-month-old baby came with rashes over groin & lower abdomen, esp. affecting the countours of buttocks. The erythema, edema and erosion spare the flexures. Mother gives h/o diaper use. Diagnosis?",Irritant contact dermatitis,Seborrheic dermatitis,Candidiasis,Atopic dermatitis,A,Skin,C,A
Acantholysis involves:,Epidermis,Dermis,Epidermis-Dermis junction,Subcutaneous tissue,A,Skin,C,A
Donovanosis is caused by:,H. ducreyi,T. pertenue,Calymmatobacterium granulomatis,Chlamydia trachomatis,C,Skin,A,C
Most common drug induced skin reaction:,Maculopapular rash,Morbilliform rash,Fixed Drug Eruption,Photosensitivity reaction,B,Skin,A,A
Tinea ungum involves:,Hands,Nails,Palm,Foot,B,Skin,B,B
Erythrasma is caused by:,Cornybacterium,Staph,Streptococci,Viruses,A,Skin,A,A
A lady with bilateral buccal reticulate white streaks. Pain increases on intake of spicy food and patient gives no H/O tobacco but show amalgam on 3rd molar. Diagnosis?,Leukoplakia,Lichen planus,Aphthous stomatitis,Candidiasis,B,Skin,A,B
"""En coup de sabre"" is seen in:",Syphilis,Leprosy,Scleroderma,Scabies,C,Skin,C,C
Christmas tree arrangement of skin lesion is seen in?,P. versicolor,P. rosea,P. folliculitis,Tineacorporis,B,Skin,B,B
Which of the following tuberculoides is characterized by involvement of sweat glands & hair follicle with non caseating epithelioid granuloma?,Lichen scrofulosorum,Miliary tuberculosis,Papulonecrotic tuberculide,Lupus vulgaris,A,Skin,C,A
Tzank smear in varicella-zoster shows -,Acantholysis,Spongiosis,Multinucleated Giant cell,Necrotic cell,C,Skin,C,C
Tricholemmoma are :,Ectopic tuft of hair on face.,Teratoma of ovary containing mainly hair.,Adnexal tumors of skin that differentiate towards hair follicles.,Psychiatric illness in which patient picks on hair of skin.,C,Skin,A,A
Pityriasis Versicolor is caused by:,Tinea rubrum,Malassezia furfur,Tinea capitis,Varicella,B,Skin,B,B
Rhagades are found in:,Primary syphilis,Secondary syphilis,Early stage of congenital syphilis,Postnatal congenital syphilis,C,Skin,A,C
Herald patch is seen:,Psoriasis,Pityriasis rosea,Lichen planus,Pityriasis rubra pilaris,B,Skin,B,B
Lines of Blaschko represent -,Dermatomal patterns,Epidermal cell migration pathway,Vasculature pathways,Lymphatic pathways,B,Skin,A,B
Neonate with blotchy rash on the abdomen. Diagnosis is:,Congenital syphilis,Cutis marmorata,Erythema toxicum neonatorum,Milia,C,Skin,C,C
Deepest layer of epidermis:,Stratum corneum,Stratum spinosum,Stratum granulosum,Stratum germinatum,D,Skin,D,D
The most common association with coarse pitting of nails and onycholysis is:,Cicatricial alopecia,Well defined scaly plaques,Polygonal papule,Violaceous papules,B,Skin,B,B
Anagen phase of the hair indicates:,The phase of activity and growth,The phase of transition,The phase of resting,The phase of degeneration,A,Skin,A,A
Frequency of woods lamp is -,365 nm,400 nm,320 nm,200 nm,A,Skin,A,A
In which condition mucocutaneous candidiasis is an important clinical feature?,Auto immune hypoparathyroid,Digeorge syndrome,Pseudo hypoparathyroid,Post-surgical hypoparathyroid,A,Skin,B,A
A 45-year-old obese patient presents with these lesions over her neck. What is your diagnosis?,Acanthosis nigricans,Lichen Planus,Atopic dermatitis,Contact dermatitis,A,Skin,A,A
Oculo-orogenital syndrome is a feature of,Behcet's disease,Lichen planus,SLE,Psoriasis,A,Skin,A,A
Volcano sign is seen in?,Leprosy,Leishmaniasis,Lupus vulgaris,DLE,B,Skin,C,C
Pathergy test is positive in?,Richter's disease,Behcet's disease,Ritter's disease,Erythema multiforme,B,Skin,B,B
Intercellular antibodies deposition on immunofluorescence is seen in:,Psoriasis,Pemphigus,Pemphigoid,Porphyria,B,Skin,C,B
"On back, big black patch diagnosis is -",Seborrheic melanosis,Becker nevus,Lichen planus pigmentosus,Pityriasis versicolor,B,Skin,B,B
Condyloma acuminatum is caused by,HPV,CMV,LGV,HBV,A,Skin,A,A
A 16-year-old patient was recently diagnosed with HIV. Which of the following could be associated?,Distal onychomycosis,Proximal subungual onychomycosis,White superficial onychomycosis,Paronychia with Candida onychomycosis,B,Skin,A,B
Which layer of epidermis is underdeveloped in pre-term baby?,Stratum germinativum,Stratum granulosum,Stratum lucidum,Stratum corneum,D,Skin,A,D
Drug of choice for dermatitis herpetiformis:,Dapsone,Rifampicin,Ketokonazole,Azithromycin,A,Skin,A,A
Acrodermatitis enteropathica is due to deficiency of:,Iron,Copper,Zinc,Magnesium,C,Skin,C,C
Coral-red fluorescence with Wood's light strongly suggests the diagnosis of?,Ash leaf macules,Acanthosis nigricans,Erysipeloid,Erythrasma,D,Skin,D,D
Auspitz sign is seen in -,Plaque psoriasis,Lichen planus,Pustular psoriasis,Icthyosis,A,Skin,A,A
"A 40 year old farmer with a history of recurrent attacks of porphyria complains of itching when exposes to the sun and maculopapular rash on sun exposed areas, his symptoms are exaggerated in the summer. The diagnosis is :",Seborrheic dermatitis,Contact dermatitis,Psoriasis,Porphyria cutanea tarda,D,Skin,D,D
Epidermal Melanin unit is?,26 keratinocytes : 1 melanocyte,36 keratinocytes : 2 melanocytes,16 keratinocytes : 1 melanocytes,36 keratinocytes : 1 melanocyte,D,Skin,C,A
"A 27-year-old male had burning micturition and urethral discharge. After 4 weeks he developed joint pains involving the knees and ankles, redness of the eye and skin lesion. The most probable clinical diagnosis is:",Psoriasis vulgaris,Reiter's syndrome,Behcet's syndrome,Sarcoidosis,B,Skin,B,B
"A child aged 8 months presented with itchy, exudative lesions on the face, palms and soles. The siblings also have similar complaints. Which among the following represents the Management of Choice?",Systemic ampicillin,Topical permethrin,Systemic prednisolone,Topical betamethasone,B,Skin,B,B
Annular herald patch is seen in:,Psoriasis,Nocardiasis,P. alba,P. rosea,D,Skin,D,D
Which of the following is not a part of P. versicolor treatment -,Selenium sulfide,Ketoconazole,Griseofulvin,Clotrimazole,C,Skin,C,A
A middle aged female has flaccid bullae in the skin and oral erosion. Histopathology shows intraepidermalacantholoytic blisters. The most likely diagnosis is:,Bullous pemphigoid,Paraneoplastic pemphigus,Dermatitis herpetiformis,Pemphigus vulgaris,D,Skin,D,D
Ritter's disease is caused by:,S. aureus,S. epidermidis,S. albus,S. saprophyticus,A,Skin,A,A
Treatment of choice for mycosis fungoides in tumor stage is?,PUVA therapy,Chemotherapy,Electron beam therapy,Topical corticosteroids,B,Skin,C,C
The given condition is caused due to deficiency of which of the following?,Niacin,Iron,Zinc,Selenium,C,Skin,A,
The following skin condition is associated with:,Diabetes,Hypothyroidism,Hyperthyroidism,Sarcoidosis,A,Skin,A,
"A 50-year-old woman develops pink macules and papules on her hands and forearms in association with a sore throat. The lesions are targetlike, with the centers a dusky violet. A diagnosis of erythema multiforme is made. The most important information obtained from this patient's history is",The patient has been using tampons,The patient is taking phenytoin,The patient has never had measles,No other family members have a sore throat,B,Skin,B,B
Which of the following tests is used in the diagnosis of Tinea faciei?,Gram's stain,KOH mount,Tissue smear,Wood's lamp,B,Skin,B,B
Parakeratosis is:,Absence of nucleus in stratum corneum,Persistence of nucleus in stratum corneum,Thickening of corneum layer,Thickening of prickle cell layer,B,Skin,B,B
A 5 year old child presents with itchy excoriated papules and elevated Ig E levels. Most probable diagnosis is?,Scabies,Seborrhic dermatitis,Atopic dermatitis,Urticaria,C,Skin,A,A
Sago grain like vesicular eruption is seen in-,Pompholyx,Seborrhoeic dermatitis,Atopic dermatitis,Syphilis,A,Skin,A,A
"A 6-year-old child presents with lesions on face, covered with honey colored crusts. Pruritus is present. The possible cause can be:",Impetigo,Herpes,Chickenpox,Molluscum contagiosum,A,Skin,A,A
Apple jelly nodules are seen in -,Syphilis,Scleroma,Lupusvulgaris,Leprosy,C,Skin,C,C
Podophyllum resin is indicated in the treatment of:,Psoriasis.,Pemphigus.,Condyloma acuminata.,Condylomata lata.,C,Skin,C,C
Gluten-free diet is useful in management of,Dermatitis herpetiformis,Erythema multiforme,Epidermolysis bullosa acquisita,Toxic epidermal necrolysis (TEN),A,Skin,A,A
Hair infection with scutula formation is seen in case of-,Tenia capitis,Jock itch,Tenia glabrosa,Tenia barbae,A,Skin,A,A
"Mother presents with pearly white lesions on forehead. She lives with her 2-year-old daughter, also having similar lesions. What can be the causative agent?",Poxvirus,HSV,HPV,VZV,A,Skin,A,A
Principal cell of epidermis:,Melanocytes,Langerhan cell,Keratinocytes,Merkel cell,C,Skin,C,C
"A 24-year-old male presented with following lesion on his genitalia, following intercourse with multiple sexual partners, and multiple times. Which human papilloma virus is the causative agent?","HPV 6, 11","HPV 16, 18","HPV 31, 33","HPV 35, 45",A,Skin,B,A
Which of the following is the causative organism of Verruca vulgaris:,CMV,Human immunodeficiency virus,Human papilloma virus,Ebstein barr virus .,C,Skin,C,C
A 17-year-old male was to be started with Oral Isotretinoin. What parameter should be measured before instituting therapy?,Liver function test and serum electroytes,LFT and lipid profile,Serum electrolytes and lipid profile,Platelet counts,B,Skin,B,B
Fungus causing hair skin and nail infection is?,T. rubrum,E. floculossum,M. Canis,M. Ayouni,A,Skin,A,A
Green color at bruise site is due to:,Hemotidin,Bilirubin,Hemosiderin,Biliverdin,D,Skin,B,B
Plaques with silvery scales over back are a characteristic feature of lesion of?,Lichen planus,Psoriasis,Pemphigus,Leprosy,B,Skin,B,B
"In Pemphigus vulgaris, tzank smear shows -",Acantholytic cells,Macrophages,fibroblasts,Neutrophils,A,Skin,A,A
Desmoglein is an Autoantigen in,Pemphigus,Eczema,Sarcoidosis,Vitiligo,A,Skin,A,A
The blister pack used in MDT of leprosy Is shown in PLATE. Which drug is not supplied in it?,Rifampacin,Clofazamine,Dapsone,Minocycline,D,Skin,A,D
"On membrane removal of a lesion, Sign (Arrows) seen in Psoriasis",Gottroris sign,Darier's sign,Auspitzsign,Crowe's sign,C,Skin,A,A
A young lady presents with white lacy lesions in oral cavity and her proximal nail fold has extended onto the nail bed. What is the likely diagnosis?,Psoriasis,Geographic tongue,Lichen planus,Candidiasis,C,Skin,C,C
Bacillary angiomatosis is caused by:,B. henselae,B. pertussis,R. Conorii,A. action mycetemcomitans,A,Skin,A,A
Which among the following organisms causes Buruli ulcer?,M. Marinum,M. Ulcerans,M. kansasii,M. Smegmatis,B,Skin,B,B
"A young boy presented to OPD with multiple shiny pinhead size white papules over dorsum of head, forearm and penis. What would be the diagnosis?",Lichen planus,Lichen nitidus,Scabies,MC,B,Skin,B,B
